spec,code,name,variant,counted,route,original_kg_co2eq,rebuilt_kg_co2eq,deviation_pct
specs/015cd7db-polyvinylchloride-emulsion-polymerised-at-plant.json,015cd7db-8a64-3f0b-ba15-6ff81e3d1eb4,"Polyvinylchloride, emulsion polymerised, at plant",,True,S3,2.8214,2.3085,-18.2
specs/05a10e4b-polystyrene-expandable-at-plant-chained.json,05a10e4b-a919-33b6-b017-7c0bf7f7a7f9,"Polystyrene, expandable, at plant",chained,False,S3,2.7122,2.3681,-12.7
specs/05a10e4b-polystyrene-expandable-at-plant.json,05a10e4b-a919-33b6-b017-7c0bf7f7a7f9,"Polystyrene, expandable, at plant",,True,S3,2.7122,4.5771,68.8
specs/09913ea6-polymethyl-methacrylate-sheet-at-plant.json,09913ea6-df42-3720-8981-e46d587a30d8,"Polymethyl methacrylate, sheet, at plant",,True,S3,8.6506,6.9021,-20.2
specs/09cda8b1-polypropylene-granulate-at-plant.json,09cda8b1-b652-39b2-8761-c93aecc29f70,"Polypropylene, granulate, at plant",,True,S3,2.1039,1.5276,-27.4
specs/0f667d2d-hydrogen-cyanide-at-plant.draft.json,0f667d2d-2007-3185-8aeb-0b8e6fbdfb5c,"Hydrogen cyanide, at plant",draft,True,S3,7.7696,6.6254,-14.7
specs/1235438d-polystyrene-general-purpose-gpps-at-plant-chained.json,1235438d-3385-3bd1-8921-17951c10c464,"Polystyrene, general purpose, GPPS, at plant",chained,False,S3,3.6503,2.3681,-35.1
specs/1235438d-polystyrene-general-purpose-gpps-at-plant.json,1235438d-3385-3bd1-8921-17951c10c464,"Polystyrene, general purpose, GPPS, at plant",,True,S3,3.6503,4.5747,25.3
specs/1b7a81dc-wood-preservative-organic-salt-cr-free-at-plant.draft.json,1b7a81dc-1797-3c93-ae60-f239501da3c3,"Wood preservative, organic salt, Cr-free, at plant",draft,True,S3,3.1647,0.18907,-94.0
specs/22f39631-xx-packaging-glass-white-at-plant.json,22f39631-187e-3cce-b067-be74006bb52a,"xx Packaging glass, white, at plant",,True,S2,0.58099,0.73031,25.7
specs/291b03c4-methyl-methacrylate-at-plant.json,291b03c4-2679-3b22-afb9-60c0228619f2,"Methyl methacrylate, at plant",,True,S3,6.8988,3.8862,-43.7
specs/2b7663df-xxx-wood-wool-boards-cement-bonded-at-plant.draft.json,2b7663df-e40b-3aa9-b7ee-2ae098409a40,"xxx Wood wool boards, cement bonded, at plant",draft,False,S3,203.65,143.49,-29.5
specs/2b7663df-xxx-wood-wool-boards-cement-bonded-at-plant.json,2b7663df-e40b-3aa9-b7ee-2ae098409a40,"xxx Wood wool boards, cement bonded, at plant",,True,S2,203.65,87.157,-57.2
specs/330e6ef1-nylon-66-glass-filled-at-plant.json,330e6ef1-e66d-3745-8b7f-eca35c8869a6,"Nylon 66, glass-filled, at plant",,True,S3,7.1613,8.2036,14.6
specs/350909e9-toluene-diisocyanate-at-plant.json,350909e9-9a74-33ff-a033-7d15c95e97dc,"Toluene diisocyanate, at plant",,True,S3,6.586,4.393,-33.3
specs/48985f3e-polyvinylchloride-suspension-polymerised-at-plant.json,48985f3e-97b4-3128-a1a8-a5ba91a1cb88,"Polyvinylchloride, suspension polymerised, at plant",,True,S3,2.2588,1.9643,-13.0
specs/53117f8b-polycarbonate-at-plant.json,53117f8b-9311-37b3-bf5b-6e14b2ae711c,"Polycarbonate, at plant",,True,S3,8.1018,4.7811,-41.0
specs/582ad303-ethylene-glycol-at-plant.json,582ad303-7f18-3110-83c2-bccca0dc995f,"Ethylene glycol, at plant",,True,S2,1.8349,1.5806,-13.9
specs/5e272c8e-polybutadiene-at-plant.json,5e272c8e-e9bc-3aa1-829e-035140910236,"Polybutadiene, at plant",,True,S3,3.9867,1.1962,-70.0
