spec,code,name,variant,strategy,status,top_flows_within_10pct,top_flow_median_abs_delta_pct,kg_mass_covered_pct,flows_within_10pct,flows_within_10pct_share,flow_median_abs_delta_pct,flows_missing,note,report
specs/015cd7db-polyvinylchloride-emulsion-polymerised-at-plant.json,015cd7db-8a64-3f0b-ba15-6ff81e3d1eb4,"Polyvinylchloride, emulsion polymerised, at plant",,S3,rebuilt,14/50,30.4,25.9,268/1678,16%,83.1,11,,results/checks/015cd7db-8a64-3f0b-ba15-6ff81e3d1eb4.md
specs/05a10e4b-polystyrene-expandable-at-plant.json,05a10e4b-a919-33b6-b017-7c0bf7f7a7f9,"Polystyrene, expandable, at plant",,S3,rebuilt,0/50,97.8,0.0,20/1670,1%,100.0,0,,results/checks/05a10e4b-a919-33b6-b017-7c0bf7f7a7f9.md
specs/09913ea6-polymethyl-methacrylate-sheet-at-plant.json,09913ea6-df42-3720-8981-e46d587a30d8,"Polymethyl methacrylate, sheet, at plant",,S3,rebuilt,4/50,29.7,0.5,442/1668,26%,18.7,0,,results/checks/09913ea6-df42-3720-8981-e46d587a30d8.md
specs/09cda8b1-polypropylene-granulate-at-plant.json,09cda8b1-b652-39b2-8761-c93aecc29f70,"Polypropylene, granulate, at plant",,S3,rebuilt,17/50,27.2,4.0,1077/1678,64%,8.9,0,,results/checks/09cda8b1-b652-39b2-8761-c93aecc29f70.md
specs/0f667d2d-hydrogen-cyanide-at-plant.draft.json,0f667d2d-2007-3185-8aeb-0b8e6fbdfb5c,"Hydrogen cyanide, at plant",draft,S1,rebuilt,1/50,97.6,0.1,6/1667,0%,11380.3,0,,results/checks/0f667d2d-2007-3185-8aeb-0b8e6fbdfb5c-draft.md
specs/1235438d-polystyrene-general-purpose-gpps-at-plant.json,1235438d-3385-3bd1-8921-17951c10c464,"Polystyrene, general purpose, GPPS, at plant",,S3,rebuilt,8/50,149.4,2.3,25/1668,1%,4633.1,0,,results/checks/1235438d-3385-3bd1-8921-17951c10c464.md
specs/1b7a81dc-wood-preservative-organic-salt-cr-free-at-plant.draft.json,1b7a81dc-1797-3c93-ae60-f239501da3c3,"Wood preservative, organic salt, Cr-free, at plant",draft,S1,rebuilt,0/50,92.2,0.0,8/1149,1%,86.0,0,,results/checks/1b7a81dc-1797-3c93-ae60-f239501da3c3-draft.md
specs/22f39631-xx-packaging-glass-white-at-plant.json,22f39631-187e-3cce-b067-be74006bb52a,"xx Packaging glass, white, at plant",,S2,rebuilt,4/50,52.5,0.2,51/1146,4%,152.2,0,,results/checks/22f39631-187e-3cce-b067-be74006bb52a.md
specs/291b03c4-methyl-methacrylate-at-plant.json,291b03c4-2679-3b22-afb9-60c0228619f2,"Methyl methacrylate, at plant",,S3,rebuilt,2/50,47.1,0.4,18/1666,1%,2942.4,0,,results/checks/291b03c4-2679-3b22-afb9-60c0228619f2.md
specs/2b7663df-xxx-wood-wool-boards-cement-bonded-at-plant.draft.json,2b7663df-e40b-3aa9-b7ee-2ae098409a40,"xxx Wood wool boards, cement bonded, at plant",draft,S1,rebuilt,7/50,46.9,30.6,111/1149,10%,63.0,0,,results/checks/2b7663df-e40b-3aa9-b7ee-2ae098409a40-draft.md
specs/2b7663df-xxx-wood-wool-boards-cement-bonded-at-plant.json,2b7663df-e40b-3aa9-b7ee-2ae098409a40,"xxx Wood wool boards, cement bonded, at plant",,S2,rebuilt,2/50,55.9,0.0,26/1149,2%,70.1,0,,results/checks/2b7663df-e40b-3aa9-b7ee-2ae098409a40.md
specs/330e6ef1-nylon-66-glass-filled-at-plant.json,330e6ef1-e66d-3745-8b7f-eca35c8869a6,"Nylon 66, glass-filled, at plant",,S3,rebuilt,20/50,16.3,89.2,602/1667,36%,12.2,0,,results/checks/330e6ef1-e66d-3745-8b7f-eca35c8869a6.md
specs/350909e9-toluene-diisocyanate-at-plant.json,350909e9-9a74-33ff-a033-7d15c95e97dc,"Toluene diisocyanate, at plant",,S3,rebuilt,0/50,92.1,0.0,6/1679,0%,25621.2,0,,results/checks/350909e9-9a74-33ff-a033-7d15c95e97dc.md
specs/48985f3e-polyvinylchloride-suspension-polymerised-at-plant.json,48985f3e-97b4-3128-a1a8-a5ba91a1cb88,"Polyvinylchloride, suspension polymerised, at plant",,S3,rebuilt,36/50,3.3,34.1,1376/1669,82%,1.2,0,,results/checks/48985f3e-97b4-3128-a1a8-a5ba91a1cb88.md
specs/53117f8b-polycarbonate-at-plant.json,53117f8b-9311-37b3-bf5b-6e14b2ae711c,"Polycarbonate, at plant",,S3,rebuilt,0/50,99.7,0.0,0/1677,0%,26101.6,0,,results/checks/53117f8b-9311-37b3-bf5b-6e14b2ae711c.md
specs/582ad303-ethylene-glycol-at-plant.json,582ad303-7f18-3110-83c2-bccca0dc995f,"Ethylene glycol, at plant",,S2,rebuilt,8/50,50.1,4.6,105/1679,6%,180.3,0,,results/checks/582ad303-7f18-3110-83c2-bccca0dc995f.md
specs/5e272c8e-polybutadiene-at-plant.json,5e272c8e-e9bc-3aa1-829e-035140910236,"Polybutadiene, at plant",,S3,rebuilt,1/50,74.7,0.0,211/1677,13%,40.9,11,,results/checks/5e272c8e-e9bc-3aa1-829e-035140910236.md
specs/61383306-styrene-acrylonitrile-copolymer-san-at-plant.json,61383306-1d5d-3a54-8ef2-bc147f1af68b,"Styrene-acrylonitrile copolymer, SAN, at plant",,S3,rebuilt,2/50,107.7,1.1,3/1667,0%,132.9,0,,results/checks/61383306-1d5d-3a54-8ef2-bc147f1af68b.md
specs/6738f024-polyethylene-hdpe-granulate-at-plant.json,6738f024-eb64-3ef8-837e-05b84c6e43da,"Polyethylene, HDPE, granulate, at plant",,S3,rebuilt,26/50,7.6,7.6,1274/1669,76%,1.9,0,,results/checks/6738f024-eb64-3ef8-837e-05b84c6e43da.md
specs/69fc38b9-xx-acetone-cyanohydrin-at-plant.json,69fc38b9-c577-3cb3-b1d2-dd37d22c46df,"xx Acetone cyanohydrin, at plant",,S3,rebuilt,13/50,17.6,95.5,964/1667,58%,6.5,0,,results/checks/69fc38b9-c577-3cb3-b1d2-dd37d22c46df.md
specs/6d36bf06-xx-packaging-glass-white-at-regional-storage.json,6d36bf06-a935-397b-871f-5da5b0b79b0b,"xx Packaging glass, white, at regional storage",,S2,rebuilt,5/50,53.8,0.1,76/1146,7%,88.5,0,,results/checks/6d36bf06-a935-397b-871f-5da5b0b79b0b.md
