rank,code,name,location,detected_by,importance,importance_median,dominant_category,dominant_share,breadth,importance_climate,datasets_driven_climate,direct_consumers,blocks_our_rebuilds,evidence,rebuilt_route,rebuilt_co2_ratio,recommendation,top_climate_dependants,imp_climate_change,imp_acidification,imp_ef_particulate_matter,imp_ecotoxicity_freshwater,imp_eutrophication_marine,imp_eutrophication_freshwater,imp_eutrophication_terrestrial,imp_human_toxicity_cancer,imp_human_toxicity_non_cancer,imp_ionising_radiation_human_health,imp_land_use,imp_ozone_depletion,imp_photochemical_ozone_formation_human_health,imp_resource_use_fossils,imp_resource_use_minerals_and_metals,imp_water_use,rank_median,rank_climate
1,6738f024-eb64-3ef8-837e-05b84c6e43da,"Polyethylene, HDPE, granulate, at plant",RER,flag,41.448,38.142,"Resource use, fossils",0.21,16,63.991,86,523,0,pages-not-found,S3,0.81,rebuilt: review and adopt,"Polyethylen (HDPE) pipe (90%); Fleece, polyethylene, at plant (78%); Plastics bucket 18 l incl. transport packaging, at plant (75%)",63.991,38.518,47.376,81.98,37.767,12.145,42.049,10.685,16.163,12.083,5.383,64.981,49.515,137.613,20.785,22.134,1,1
2,c4dbbb99-22d0-37c1-8cc7-fc5a8c64329b,"Polyethylene, LDPE, granulate, at plant",RER,flag,24.461,11.794,"Human toxicity, cancer",0.44,16,15.972,27,121,0,pages-not-found,S3,0.78,rebuilt: review and adopt,"Packaging film, LDPE, at plant (86%); Steam brake, polyethylen (PE), flame-protected (81%); Disposal, spent activated carbon with mercury, 0% water, to underground deposit (70%)",15.972,10.599,12.304,26.508,11.159,3.922,11.783,172.428,6.243,4.196,1.639,46.175,16.749,30.465,9.43,11.805,7,9
3,c80b8e9e-8a0d-36f6-a4a2-1509d03e42c2,"Epoxy resin, liquid, at plant",RER,structure,24.458,19.189,"Ecotoxicity, freshwater",0.26,13,18.762,16,82,0,drafted,S2,2.7,rebuilt: expert revision,"Epoxy resin insulator (SiO2), at plant (99%); Adhesive for metals, at plant (91%); Epoxy resin insulator (Al2O3), at plant (79%)",18.762,26.637,66.201,102.863,35.828,3.188,39.672,7.081,16.481,0.208,0.137,0.109,28.678,23.738,2.135,19.616,3,7
4,298abdac-f564-358c-95a3-7a43418d2671,"Ethylene, average, at plant",RER,flag,22.489,21.432,"Resource use, fossils",0.18,15,38.033,64,72,4,pages-not-found,,,"expert, with report","Ethylene oxide, at plant (77%); Ethanol from ethylene, at plant (75%); Diethyl ether, at plant (75%)",38.033,25.859,33.362,46.857,25.464,9.15,30.097,10.713,16.742,4.599,3.355,1.34,29.489,66.369,17.4,0.999,2,2
5,48985f3e-97b4-3128-a1a8-a5ba91a1cb88,"Polyvinylchloride, suspension polymerised, at plant",RER,flag,17.157,10.159,Ozone depletion,0.41,15,16.14,28,8,0,pages-not-found,S3,0.86,rebuilt: review and adopt,"Polyvinylchloride, bulk polymerised, at plant (85%); Polyvinylchloride, at regional storage (84%); Polyvinylchloride (PVC) pipe (76%)",16.14,9.966,10.03,25.788,10.879,5.28,10.288,6.984,14.91,6.762,3.018,113.913,11.165,21.008,8.144,0.241,8,8
6,bc92bf5a-94f5-3d3c-865f-278a6ba99440,"Titanium dioxide, chloride process, at plant",RER,flag,17.104,12.278,Ozone depletion,0.27,16,12.55,23,3,0,drafted,S3,0.64,rebuilt: expert revision,"Acrylic dispersion, 65% in H2O, at plant (51%); Acrylic varnish, 87.5% in H2O, at plant (47%); Titanium dioxide, production mix, at plant (45%)",12.55,16.333,6.667,10.492,12.007,26.555,14.074,7.569,16.229,25.186,5.002,75.117,10.924,16.761,7.937,10.258,6,10
7,cc45b5d8-b51c-3511-9138-6328a672d020,"Benzene, at plant",RER,structure,17.092,15.8,"Resource use, fossils",0.21,12,31.235,46,28,0,pages-not-found,S2,0.27,rebuilt: expert revision,"Cyclohexane, at plant (74%); xx Hydrochloric acid from benzene chlorination, at plant (67%); Monochlorobenzene, at plant (67%)",31.235,31.372,34.981,1.366,23.744,1.091,27.094,7.856,2.655,0.056,0.055,0.059,26.285,58.142,0.121,27.365,5,3
8,09cda8b1-b652-39b2-8761-c93aecc29f70,"Polypropylene, granulate, at plant",RER,flag,17.032,17.299,"Resource use, fossils",0.2,15,26.088,29,164,0,pages-not-found,S3,0.75,rebuilt: review and adopt,"Polypropylen (PP) pipe (89%); Heating-cooling ceiling, capillary tube mat (89%); Separator (66%)",26.088,17.781,22.298,36.632,18.741,5.9,20.292,5.313,9.264,4.314,2.449,16.816,21.023,54.544,10.284,0.773,4,5
9,ec16c280-6141-3c0b-a896-b895d82ef62d,"Polyols, at plant",RER,structure,15.947,9.813,"Ecotoxicity, freshwater",0.42,12,10.29,16,15,0,pages-not-found,S3,0.91,rebuilt: review and adopt,"Polyurethane, flexible foam, at plant (55%); Flooring, 2K epoxy resin PU, living and administration, at plant (40%); Polyurethane, rigid foam, at plant (34%)",10.29,10.781,32.371,107.74,19.473,7.571,11.401,7.76,6.923,0.296,0.184,0.389,9.335,14.808,0.585,15.248,10,14
10,169c6f0a-21f5-3497-b439-a46a8e2f5a3b,"Propylene, at plant",RER,structure,14.557,7.109,"Resource use, fossils",0.26,12,27.64,50,46,1,pages-not-found,,,"expert, with report","Isopropanol, at plant (59%); xxx Butanol, 1-, at plant (58%); Acrylic acid, at plant (58%)",27.64,23.443,31.209,1.012,18.84,1.183,22.859,2.715,3.493,0.07,0.059,0.05,28.276,61.257,0.087,10.724,14,4
