detected_by,code,name,location,unit,bafu_category,n_exchanges,source
screening-csv,4b4cdbb7-1edb-3e1c-a7c0-53a5bb19d516,"Aluminium profile, uncoated, Hydro Building Systems, Circal, at regional storage",CH,kilogram,construction materials,1659,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,e6293140-cad8-32a8-81fc-64a059fd97ea,"Anthraquinone, at plant",RER,kilogram,chemicals,1302,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,870170e5-b0d0-366a-9834-36a087cbff08,Assembled formwork,CH,square meter,construction materials,1656,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,ad7548e0-2caf-31ca-908c-2d521c47bcd2,"Azobe (SFM), standing, under bark, in rain forest",CM,cubic meter,wood,7,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,bab057b8-7987-34ca-bb76-a31454e4a60a,"Azobe, allocation correction 1",GLO,cubic meter,wood,4,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,0d193c28-abef-3585-a486-d261e11c7379,"Azobe, allocation correction 2",GLO,cubic meter,wood,4,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,9ce2128d-aab2-3a73-9b1d-a9c69d037fe2,"Basalt, Flumroc, at mine",CH,kilogram,minerals,1654,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,c2869f0a-31c9-31db-ad05-37ecd492eae4,"Brake wear emissions, lorry",RER,kilogram,transport systems,33,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,e19204bc-3cff-3ad1-bfd6-957987dbbd54,"Brake wear emissions, passenger car",RER,kilogram,transport systems,36,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,6cb6413f-4964-3e85-9d89-52de95510ec5,"Brick, filled with perlite, at regional storage",CH,kilogram,construction materials,1658,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,18a506a4-5e50-30a7-90c5-ed4132eb7937,"Briquette, Flumroc, at plant",CH,kilogram,construction,1654,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,d8ec4be3-c410-3806-98f5-a2ec5a284fee,"Burnt shale, at plant",DE,kilogram,construction materials,1660,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,3eb3b159-8ce3-3f49-9408-6fecae196896,Cabinet panel,CH,square meter,"energy supply, kbob recommendation",21,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,68a626c2-facd-3f88-a5c2-b5cb15115739,"Carboxymethyl cellulose, powder, at plant",RER,kilogram,chemicals,1302,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,bec8f889-cb7d-3f89-b202-b210c324c37e,"Cellular glass aggregate Misapor, at plant",CH,kilogram,construction materials,1408,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,c890ba9e-0af2-3f0c-bd1f-ebf25c2fdbc9,"Cellular glass aggregate, at regional storage",CH,kilogram,construction materials,1408,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,e62c6873-86bb-3307-9c80-efac91af8457,Cellulose fibres (injected) (isofloc 2012),CH,kilogram,construction materials,1408,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,c3490cfc-bcf2-38a2-a8c1-2d50ba65c83e,"Cement ZN, D, at plant",CH,kilogram,construction materials,1660,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,0b997ad0-3360-3f80-a886-009e81fa3c33,"Cross-laminted timber, PUR-bonded, packed, at plant",CH,cubic meter,wood,1663,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,3b6d410c-d17d-38b4-a565-03563970a936,"Cross-laminted timber, PUR-bonded, packed, at plant, with resource correction",CH,cubic meter,wood,1664,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,a60c9cf4-c057-3510-813a-d92a65db76fc,"Crude oil, used in drilling tests",GLO,kilogram,fuels,11,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,646fba6c-683b-303f-91d5-d0709295b79b,"Discharge, produced water, offshore",OCE,kilogram,oil,57,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,508d7608-1bf8-3cbd-b985-c838622ea784,"Discharge, produced water, onshore",GLO,kilogram,oil,57,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,6860a668-cc63-365e-a3c8-8ac94ccfbbd9,"Disposal, brick, filled with perlite",CH,kilogram,construction materials,1658,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,c329609f-2f6e-34d1-9e38-3c8af2b43a09,"Disposal, building, window frame, aluminium, Wicline 75evo",CH,square meter,building components,1656,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,d194cc0d-c3f6-49e9-9694-edbc775d3d58,"Disposal, building, window frame, wood, opaquely painted, Baumgartner, wall opening, to final disposal",CH,square meter,waste management,1656,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,e07cc654-6748-44cc-95bd-6c197a919a64,"Disposal, building, window frame, wood-metal, opaquely painted, Baumgartner, wall opening, to final disposal",CH,square meter,waste management,1658,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,b3520083-2e0d-3af9-92ab-37a107aefad2,"Disposal, flax insulation",CH,kilogram,construction materials,1656,detected from the Brightway import (ecoSpold XMLs not available)
screening-csv,ed5c2271-7ad0-35a8-b6fd-b84e2a130f4d,"Disposal, hemp lime concrete",CH,kilogram,construction materials,1656,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,f584f285-8366-43b0-bb09-d280e9502726,"Disposal, lignite ash, 0% water, to opencast refill",ES,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,4c5feadd-69bf-4282-a59e-127a5d5a4c7f,"Disposal, lignite ash, 0% water, to opencast refill",PL,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,48c6464c-2d30-48db-86cf-a84cdbf19fd0,"Disposal, lignite ash, 0% water, to opencast refill",SK,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,48d841f7-2de8-4036-a09a-52bacb6b5405,"Disposal, lignite ash, 0% water, to opencast refill",GR,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,b88c2878-8262-4c75-921e-96346e94c7ac,"Disposal, lignite ash, 0% water, to opencast refill",CZ,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,d5323715-4e43-4024-8bf8-2f434f92a97d,"Disposal, lignite ash, 0% water, to opencast refill",FR,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,20db29f1-5b7c-484d-892c-c63cea130d2a,"Disposal, lignite ash, 0% water, to opencast refill",MK,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,7d282d6d-e568-44d4-8357-e238e557bb2f,"Disposal, lignite ash, 0% water, to opencast refill",BA,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,6dc70c0a-8316-4ffc-a152-28a8105f3ade,"Disposal, lignite ash, 0% water, to opencast refill",DE,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,c5f634ab-83fd-4bbc-af8a-98662ff59f95,"Disposal, lignite ash, 0% water, to opencast refill",CS,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,e3cebe3c-0344-45ba-8d2b-e060fb7b1426,"Disposal, lignite ash, 0% water, to opencast refill",SI,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,40946f12-8120-4784-b922-8d0c1be955c9,"Disposal, lignite ash, 0% water, to opencast refill",HU,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,e4e2e5d1-7e8c-4ee7-b001-146a7d3d82b7,"Disposal, lignite ash, 0% water, to opencast refill",AT,kilogram,Others,73,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,314f2efe-06ba-4864-826a-449ed9200162,"Disposal, non-sulfidic overburden, off-site",GLO,kilogram,landfill,4,detected from the Brightway import (ecoSpold XMLs not available)
zero-input,6a24b9f4-1c35-4293-bc2b-ceb264aff2ed,"Disposal, non-sulfidic tailings, off-site",GLO,kilogram,landfill,4,detected from the Brightway import (ecoSpold XMLs not available)
