code,name,location,category,n_inputs,n_direct_flows,input_codes,input_names_amounts,direct_flow_names_amounts
80edb9d9-1b57-3472-9388-1f6a3961b4c9,"Packing, clay products",CH,Others,10,1,a4f7817d-ef76-3fb0-943c-12c43ed07da7; c03df82a-e3d3-408f-8f7e-7c03e10bf8bf; 648e3bb3-7b98-46f8-9da1-f45627c309ef; 6738f024-eb64-3ef8-837e-05b84c6e43da; 418f911c-33e1-4fe6-a3d4-6c4b7974f139; eb5552ed-63a8-374d-8fa4-296f644c37f8; a169f230-3e05-33d0-a12d-f9d6d4d6abf1; 5906ff1f-2cd1-3951-9bfc-abd0cdbf8c75; 0669988c-64e1-3574-931e-640b8ad2f246; c06a8970-8ec4-359e-887a-0bbf51d9ee6f,"Transport, freight, lorry, 7.5t-16t gross weight, fleet average=6.15e-07; Disposal, wood untreated, 20% water, to municipal incineration=0.0018284; Electricity, medium voltage, production ENTSO-E, at grid=0.00309; Polyethylene, HDPE, granulate, at plant=6.15e-05; Disposal, polyethylene, 0.4% water, to municipal incineration=6.15e-05; Transport, freight, lorry, 16t-32t gross weight, fleet average=0.00139; Transport, freight, rail, electricity with shunting=0.00139; Industrial machine, heavy, unspecified, at plant=0.0015; EUR-flat pallet=6.25e-05; Extrusion, plastic film=6.15e-05",Waste Heat=0.0111
392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",CH,agricultural,13,16,0324121d-7ddb-3ad1-b819-dbb7871c1136; c2bd0b2d-07b7-33a7-acda-178c546b0699; 1956d802-1be3-3c15-9165-ec9d94ac45d6; 54818abe-92ee-3f04-b98b-45c9ccf6e68b; 2e1b341b-71fa-337b-8343-f406a400b09b; 23f3ffba-42da-3167-96ac-808ccb478f9d; f2b283d7-3c63-3bd0-b949-7b55e377bbff; eb5552ed-63a8-374d-8fa4-296f644c37f8; 941c6721-d698-3b04-b46a-fe25eaedad6c; a169f230-3e05-33d0-a12d-f9d6d4d6abf1; 5ed8de24-24f1-318b-b7cc-e9c4d1f8751f; 7fe98270-36fa-3fd5-ab4f-2d191c8fc271; 36fe2f4f-91bb-3bfe-a13d-06a59f95beac,"Sowing=1; Rape seed IP, at regional storehouse=10; Tillage, harrowing, by spring tine harrow=1; Mulching=1; Transport, barge=81.746; Ammonium nitrate, as N, at regional storehouse=15.557; Transport, freight, lorry, 3.5t gross weight, fleet average=0.15; Transport, freight, lorry, 16t-32t gross weight, fleet average=9.0829; Calcium ammonium nitrate, as N, at regional storehouse=7.8025; Transport, freight, rail, electricity with shunting=9.0829; Ammonium sulphate, as N, at regional storehouse=1.1772; Fertilising, by broadcaster=1; Urea, as N, at regional storehouse=5.4634","Phosphate=0.10726; Chromium=0.0015543; Zinc=0.0016381; To Arable, Non-irrigated=10000; Mercury(2+)=1.9544e-07; Lead(2+)=6.9502e-06; Nitrogen Oxides=0.43198; From Arable, Non-irrigated=10000; Phosphorus=0.12188; Ammonia=1.6768; Copper=0.00070571; Cadmium=1.3367e-06; Nitrate=137.94; Carbon Dioxide (fossil)=8.5775; Arable, Non-irrigated=6277.8; Nitrous Oxide=2.0571"
4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",RER,biomass,4,0,fde2bfe9-f8e9-39f1-9224-c127b55e63c8; 407893f6-6bb8-3cad-9b83-4c36478fafb2; 6df0f8d8-e418-38d9-b852-e338fe16021a; 2109d35e-b8cb-37d4-90fe-fed74391ffa3,"Palm methyl ester, at esterification plant=0.13; Rape methyl ester, at esterification plant=0.52; Soybean methyl ester, at esterification plant=0.03; Vegetable oil methyl ester, at esterification plant=0.08",
28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",CH,building components,4,0,cedd6b69-4829-358e-9ea2-f280e8ac03cb; c48b5f7a-ac68-3f26-89c1-9eece0e9e878; 82eaafaf-cf02-3075-b837-503fc75c9dae; b3bbff04-9f71-3acc-b827-19bd99e6f9b6,"Transport, freight, lorry, fleet average=0.33552; Aluminium profile, uncoated, SZFF 2014, recycling share 52%, at plant=1.4612; Anodising, aluminium sheet=0.3308; Powder coating, aluminium sheet=0.36092",
ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",CH,building processes,4,21,6e18b692-ec43-337d-b618-342b78510576; 0b14288a-dbf3-3dac-a570-83d083f4b600; 853eecbe-ecd0-3119-bb72-68e5ac63cbde; be69d35d-4a8e-4e4c-88c0-c5df0c7db472,"Petrol, at regional storage=0.02447; Lubricating oil, at plant=0.000514; Building machine=1.34e-07; Disposal, used mineral oil, 10% water, to hazardous waste incineration=0.000514","Ammonia=4.67e-07; Benzo[a]pyrene=7.01e-10; Cadmium=2.34e-10; Carbon Dioxide (fossil)=0.076867; Carbon Monoxide (fossil)=0.023766; Chromium=1.17e-09; Copper=3.97e-08; Nitrous Oxide=2.8e-06; 2,3,7,8-tetrachlorodibenzo-p-dioxin=1.4e-15; Waste Heat=1.06; Methane (fossil)=3.3429e-05; Nickel=1.64e-09; Nitrogen Oxides=0.00013152; Non-methane Volatile Organic Compounds=0.00096726; Polycyclic Aromatic Hydrocarbons=7.85e-08; Particles (PM2.5)=2.4518e-06; Selenium=2.34e-10; Sulfur Dioxide=2.36e-05; Zinc=2.34e-08; Particles (> PM10)=1.6328e-07; Particles (PM10)=1.0894e-07"
356388ef-8f73-3766-9eac-8ef6fdde9329,Ceramic plant,CH,ceramics,3,5,5906ff1f-2cd1-3951-9bfc-abd0cdbf8c75; 552ee3f6-4f6a-3b85-a72c-5707a3b0f9c7; 949cba80-fd0f-3f96-9d04-0835f9b93dbd,"Industrial machine, heavy, unspecified, at plant=168000; Building, multi-storey=26300; Building, hall=29500","Traffic Area, Road Network=410000; To Industrial Area=35900; From Unspecified=76900; Industrial Area=1.64e+06; To Traffic Area, Road Network=8200"
87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",RER,chemicals,8,6,99f8a4b0-99b5-3130-924c-5de4c10b62ef; 3972eb0c-d60e-3537-9ad1-fd6b7bbafce8; 13ed4fe0-7ba5-3b60-82b6-a63918ee814d; 48437dbd-050b-38c9-bf8a-13df82183791; 648e3bb3-7b98-46f8-9da1-f45627c309ef; aacc6120-0e68-3835-8303-5ae37d62c030; 2fcda415-e506-38d9-9c3e-8ce2c2e7c8f2; 461aa0e0-5253-3cda-b22f-4c075152cdb5,"Transport, freight, lorry, fleet average=0.0816; Copper, at regional storage=0.815; Chemical plant, organics=4e-10; Ammonium carbonate, at plant=0.00121; Electricity, medium voltage, production ENTSO-E, at grid=0.333; Transport, freight, rail=0.49; Heat, natural gas, at industrial furnace 1MW=2; Ammonia, liquid, at regional storehouse=0.000427",Water To Cooling=0.024; Ammonia=0.000427; Ammonium Carbonate=0.00121; Water=0.006; Waste Heat=1.2; Water=0.0057
8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",RER,compressed air,6,1,99f8a4b0-99b5-3130-924c-5de4c10b62ef; be69d35d-4a8e-4e4c-88c0-c5df0c7db472; 68cd88ca-b2b0-3bc4-8da7-96f9a6ddb4cf; aacc6120-0e68-3835-8303-5ae37d62c030; 8cebe831-b6c1-4854-a5ab-a08a7ba3e50d; 0b14288a-dbf3-3dac-a570-83d083f4b600,"Transport, freight, lorry, fleet average=3.73e-05; Disposal, used mineral oil, 10% water, to hazardous waste incineration=2.08e-06; Air compressor, screw-type compressor, 300 kW, at plant=8.1e-08; Transport, freight, rail=7.46e-05; Electricity, low voltage, production ENTSO-E, at grid=0.104; Lubricating oil, at plant=2.08e-06",Waste Heat=0.375
254903d1-d665-3454-a4c2-ae1b69bbb0e0,"Use, computer, laptop, standby/sleep mode",RER,computers & network,4,0,8cebe831-b6c1-4854-a5ab-a08a7ba3e50d; 9d632221-4822-3b69-b3b4-125374d32853; aacc6120-0e68-3835-8303-5ae37d62c030; 99f8a4b0-99b5-3130-924c-5de4c10b62ef,"Electricity, low voltage, production ENTSO-E, at grid=0.004; Laptop computer, at plant=2.8539e-05; Transport, freight, rail=1.7979e-05; Transport, freight, lorry, fleet average=8.9897e-06",
541aeaab-2868-48d7-a530-1c762adc5e23,"Disposal, sewer system, vitrified clay pipe, DN 300, profile 2",CH,construction,10,0,79356d60-634a-4db9-8977-6d96b7abcc72; 5bd0c5ae-bc73-4d94-8526-b02adccb8f5c; ad495f3d-1501-4f25-87a8-453b183f39f6; ce890b07-c419-41bf-83b9-ff19734f38f6; 7b09a113-0b6e-33fe-ad56-efc96b9a8b77; a063c51d-37fe-45bc-a8d7-fd997e196389; 571b7783-65d4-4212-af31-6077b17fdbe6; 2be08541-6444-47e0-9d93-5fc9f7e3e9c8; 19c2ddb6-68b0-4d8a-97e0-a8aa9a4d8ca0; fabc49d1-577c-4234-910a-2e0f40e84ba5,"Hydraulic digger, 18t, 100kW, crawler drive, diesel=0.504; Small dumper, 3.0m3, four-wheel drive, diesel=0.271; Lorry, 26t, dumpling body, four-wheel drive, diesel=0.225; Petrol, burned in building machine, with particle filter=4.26; Transport, freight, lorry, 32t-40t gross weight, fleet average=450.54; Disposal, building, concrete, not reinforced, at sorting plant, to recycling=426; Disposal, building, concrete gravel, at sorting plant, to recycling=3773; Disposal, inert waste, 5% water, to construction waste landfill=57; Disposal, concrete, 5% water, to construction waste landfill=47; Disposal, gravel, 0.2% water, to construction waste landfill=1858",
