group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",1,elementary-flow,Sulfur hexafluoride,fe0acd60-3ddc-11dd-ac51-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,sulfur;hexafluoride,2.7965e-09,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",2,elementary-flow,Waste Heat,d86beca9-6555-11dd-ad8b-0800200c9a66,ef-3.1-biosphere,soil,megajoule,waste;heat,0.16296,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",3,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-9136-0050c2490048,ef-3.1-biosphere,air,megajoule,waste;heat,0.054318,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",4,product-flow,"Electricity, medium voltage, production from hard coal, at grid",ea1cf6f4-3cff-3bba-9d7d-a23dc6c778e9,bafu-2026,,kilowatt hour,electricity;medium;voltage;production;from;hard;coal;grid,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",5,product-flow,"Sulphur hexafluoride, liquid, at plant",b1ff97f2-2364-3290-86c7-d513fd4be2e9,bafu-2026,,kilogram,sulphur;hexafluoride;liquid;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",6,product-flow,"Distribution network, electricity, low voltage",89ae5562-73eb-37ce-a835-2055cb7e9c7d,bafu-2026,,kilometer,distribution;network;electricity;low;voltage,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",7,product-flow,"Building, hall",949cba80-fd0f-3f96-9d04-0835f9b93dbd,bafu-2026,,square meter,building;hall,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",8,product-flow,"Electricity, lignite, at power plant",2480b5f4-c924-34a7-b67a-2001eaf34cf7,bafu-2026,,kilowatt hour,electricity;lignite;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",9,product-flow,"Electricity, at wind farm",b35b43a0-cf11-3cf1-ba91-54faaf294f6c,bafu-2026,,kilowatt hour,electricity;wind;farm,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",10,product-flow,"Polycarboxylates, 40% active substance, at plant",f5a22e0a-f55b-3639-86b9-85f999ea7c81,bafu-2026,,kilogram,polycarboxylates;40%;active;substance;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,02fd8be4-a33b-3cb5-a1ca-40bcbddb251a,"Electricity, low voltage, production from hard coal, at grid",11,product-flow,"Electricity, production mix photovoltaic, at plant",98c2f03e-61a7-3093-9540-f1b88f2fdf99,bafu-2026,,kilowatt hour,electricity;production;mix;photovoltaic;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
