group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",1,product-flow,"Chromium steel 18/8, at plant",fc9385f8-fe2d-3399-b663-4b66e5062a3f,bafu-2026,,kilogram,chromium;steel;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",2,product-flow,"Radioactive waste, in final repository for nuclear waste SF, HLW, and ILW",62835b0e-1eaf-40a3-b89b-0dec99d2cc14,bafu-2026,,cubic meter,radioactive;waste;final;repository;for;nuclear;waste;hlw;and;ilw,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",3,product-flow,Nuclear spent fuel conditioning plant,78a43b16-2526-37bd-a928-a9118057d41d,bafu-2026,,unit,nuclear;spent;fuel;conditioning;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",4,product-flow,"Transport, freight, lorry, fleet average",99f8a4b0-99b5-3130-924c-5de4c10b62ef,bafu-2026,,ton kilometer,transport;freight;lorry;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",5,product-flow,"Transport, freight, rail",aacc6120-0e68-3835-8303-5ae37d62c030,bafu-2026,,ton kilometer,transport;freight;rail,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",6,product-flow,"Transport, freight, lorry, 16t-32t gross weight, fleet average",eb5552ed-63a8-374d-8fa4-296f644c37f8,bafu-2026,,ton kilometer,transport;freight;lorry;16t;32t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",7,product-flow,"Ammonium nitrate, as N, at regional storehouse",23f3ffba-42da-3167-96ac-808ccb478f9d,bafu-2026,,kilogram,ammonium;nitrate;regional;storehouse,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",8,product-flow,"Isopropanol, at plant",cc16978e-b292-32be-bf38-472e5f5d4156,bafu-2026,,kilogram,isopropanol;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",9,product-flow,"Disposal, spoil from coal mining, in surface landfill",36fc181c-13da-4792-aa29-e2012c405ccd,bafu-2026,,kilogram,disposal;spoil;from;coal;mining;surface;landfill,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",10,product-flow,"Electricity, hard coal, at power plant",a3b8fd88-053f-38ce-b819-2a7905118255,bafu-2026,,kilowatt hour,electricity;hard;coal;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",11,product-flow,"Slurry spreading, by vacuum tanker",4ba7a6fd-484a-3c2b-a00d-289bfa57d3b2,bafu-2026,,cubic meter,slurry;spreading;vacuum;tanker,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",12,product-flow,"Electricity, industrial gas, at power plant",50a27d95-1918-3831-b8d4-8fd1bb875c00,bafu-2026,,kilowatt hour,electricity;industrial;gas;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",13,product-flow,"Light fuel oil, burned in boiler 100kW, non-modulating",09da51a8-f8ca-3270-bfa4-7749767952a7,bafu-2026,,megajoule,light;fuel;oil;burned;boiler;100kw;non;modulating,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",14,product-flow,"Ammonium sulphate, as N, at regional storehouse",5ed8de24-24f1-318b-b7cc-e9c4d1f8751f,bafu-2026,,kilogram,ammonium;sulphate;regional;storehouse,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",15,product-flow,"P-dichlorobenzene, at plant",50f8a5f3-b278-337f-9f18-d3ba0b749c2b,bafu-2026,,kilogram,dichlorobenzene;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,069547d2-d40c-40b5-abba-75115b9d2c19,"Nuclear spent fuel, in conditioning, at plant",16,product-flow,"Disposal, cement, hydrated, 0% water, to residual material landfill",6eb70d13-4a43-4a65-9090-90749e3369af,bafu-2026,,kilogram,disposal;cement;hydrated;water;residual;material;landfill,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
