group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",1,elementary-flow,Trifluoromethane,fe0acd60-3ddc-11dd-9e55-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,trifluoromethane,2.513e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",2,elementary-flow,HFC-152a,08a91e70-3ddc-11dd-9309-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,hfc;152a,2.513e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",3,elementary-flow,"Energy, Geothermal, Converted",c0060563-96ea-4322-8305-61c39f2ad3cd,ef-3.1-biosphere,natural resource,megajoule,energy;geothermal;converted,1.0,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",4,product-flow,Heat pump 10 kW production for ground source heat pump system,b30a4bdd-1d33-3758-842f-a997520ca5ae,bafu-2026,,unit,heat;pump;production;for;ground;source;heat;pump;system,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",5,product-flow,"Trifluoromethane, at plant",a5da0248-74b4-3fa7-a07b-0e2666900a28,bafu-2026,,kilogram,trifluoromethane;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",6,product-flow,"1,1-difluoroethane, HFC-152a, at plant",cda7d2ad-0df5-32cc-945b-49d9cb010895,bafu-2026,,kilogram,difluoroethane;hfc;152a;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",7,product-flow,"Lubricating oil, at plant",0b14288a-dbf3-3dac-a570-83d083f4b600,bafu-2026,,kilogram,lubricating;oil;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",8,product-flow,"Electricity, low voltage, at grid",c4a92617-9f99-3d7b-95c0-15fb110b80ad,bafu-2026,,kilowatt hour,electricity;low;voltage;grid,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",9,product-flow,"Transport, freight, lorry, 16t-32t gross weight, fleet average",eb5552ed-63a8-374d-8fa4-296f644c37f8,bafu-2026,,ton kilometer,transport;freight;lorry;16t;32t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",10,product-flow,"Transport, freight, rail, electricity with shunting",a169f230-3e05-33d0-a12d-f9d6d4d6abf1,bafu-2026,,ton kilometer,transport;freight;rail;electricity;with;shunting,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",11,product-flow,"Air filter, in exhaust air valve, at plant",89e529d6-e688-3b2a-92e9-4e5bd99ddf4b,bafu-2026,,unit,air;filter;exhaust;air;valve;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",12,product-flow,Treatment of heat pump 10 kW production for air source heat pump system,c6ad9829-8f7b-4856-978c-8597f8a51147,bafu-2026,,unit,treatment;heat;pump;production;for;air;source;heat;pump;system,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",13,product-flow,"Disposal, building, paint on wood, to final disposal",404d64ff-52e2-423a-a8cf-7dc755624bf7,bafu-2026,,kilogram,disposal;building;paint;wood;final;disposal,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",14,product-flow,"Electricity, at cogen 300kWth, diesel, allocation exergy",29612bfe-5e20-37df-a2d4-e255324c5dbe,bafu-2026,,kilowatt hour,electricity;cogen;300kwth;diesel;allocation;exergy,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",15,product-flow,Railway track,81085e38-b471-33ae-a18f-55686d931f3c,bafu-2026,,meter-year,railway;track,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,0700f5ce-f370-3cd5-9297-71b217c0de7e,"Heat, residential, by transfer of geothermal heat using ground source heat pump using electricity from grid",16,product-flow,"Secondary sulphur, at refinery",e902a7d5-1057-3e65-825f-b1b30fe3a67a,bafu-2026,,kilogram,secondary;sulphur;refinery,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
