group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",1,product-flow,"Aluminium profile, uncoated, SZFF 2014, recycling share 52%, at plant",c48b5f7a-ac68-3f26-89c1-9eece0e9e878,bafu-2026,,kilogram,aluminium;profile;uncoated;szff;2014;recycling;share;52%;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",2,product-flow,"Powder coating, aluminium sheet",b3bbff04-9f71-3acc-b827-19bd99e6f9b6,bafu-2026,,square meter,powder;coating;aluminium;sheet,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",3,product-flow,"Anodising, aluminium sheet",82eaafaf-cf02-3075-b837-503fc75c9dae,bafu-2026,,square meter,anodising;aluminium;sheet,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",4,product-flow,"Electricity, industrial gas, at power plant",e04bebff-1430-37e9-b9dd-c04d1a166aa8,bafu-2026,,kilowatt hour,electricity;industrial;gas;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",5,product-flow,"Maintenance, passenger car",96151dcf-d2fe-3a20-bbf4-ff542777285c,bafu-2026,,unit,maintenance;passenger;car,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",6,product-flow,"Disposal, steel, 0% water, to municipal incineration",0f1a02cd-9d0c-404e-b233-a810d32a1e85,bafu-2026,,kilogram,disposal;steel;water;municipal;incineration,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",7,product-flow,"Ammonia, liquid, at regional storehouse",5355918b-1afd-3cdd-b57c-b3e92097f2b0,bafu-2026,,kilogram,ammonia;liquid;regional;storehouse,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",8,product-flow,"Wire drawing, steel",0e9b3810-2895-33cb-884b-d0528fa86e8d,bafu-2026,,kilogram,wire;drawing;steel,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",9,product-flow,"Water, decarbonised, at plant",d51355e5-b0a8-3db5-bd7e-c74fd60c87e0,bafu-2026,,kilogram,water;decarbonised;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",10,product-flow,"Hydrogen fluoride, at plant",3423baf7-2d25-3025-a6e8-94a7b7bc9da2,bafu-2026,,kilogram,hydrogen;fluoride;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",11,product-flow,"Electricity, from natural gas",6e6e5583-44b7-38c8-8f92-8dc8f85dbf1e,bafu-2026,,kilowatt hour,electricity;from;natural;gas,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",12,product-flow,"Transport, barge tanker",9ff39b71-5d21-3756-85b8-76a08a064a12,bafu-2026,,ton kilometer,transport;barge;tanker,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,28d0e400-dfe2-3209-8f0e-849dbae9d0c6,"Panelling, aluminium, window frame cover, wall opening, at plant",13,product-flow,"Copper, at regional storage",3972eb0c-d60e-3537-9ad1-fd6b7bbafce8,bafu-2026,,kilogram,copper;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
