group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",1,elementary-flow,Phosphate,08a91e70-3ddc-11dd-9787-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,phosphate,0.10726,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",2,elementary-flow,Chromium,08a91e70-3ddc-11dd-9f75-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,chromium,0.0015543,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",3,elementary-flow,Zinc,08a91e70-3ddc-11dd-94e9-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,zinc,0.0016381,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",4,elementary-flow,"To Arable, Non-irrigated",aa9dc400-929f-48c8-86c6-628f34a0efa3,ef-3.1-biosphere,Land use / Land transformation,square meter,arable;non;irrigated,10000.0,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",5,elementary-flow,Mercury(2+),069e79b9-c92a-4912-ba51-5375da5c45db,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,mercury,1.9544e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",6,elementary-flow,Lead(2+),189ac180-12b2-418f-9842-949051cfe67a,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,lead,6.9502e-06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",7,elementary-flow,Nitrogen Oxides,191b44d4-90c9-465a-8802-93a651b4fd52,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,nitrogen;oxides,0.43198,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",8,elementary-flow,"From Arable, Non-irrigated",87334803-fa5b-4c21-b52c-de9d79d806f8,ef-3.1-biosphere,Land use / Land transformation,square meter,from;arable;non;irrigated,10000.0,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",9,elementary-flow,Phosphorus,631b2cb3-35e6-4c01-ab28-9b49dbb115df,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,phosphorus,0.12188,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,392fbd86-4199-3fe3-ae9c-9f89182a06c7,"Green manure IP, until march",10,elementary-flow,Ammonia,08a91e70-3ddc-11dd-96af-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,ammonia,1.6768,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
