group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",1,elementary-flow,Methane (fossil),fe0acd60-3ddc-11dd-a8e6-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,methane,1.8413e-06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",2,elementary-flow,Ethane,4d9a8790-3ddd-11dd-921c-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,ethane,1.5251e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",3,elementary-flow,Propane,08a91e70-3ddc-11dd-9124-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,propane,3.4313e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",4,elementary-flow,Butane,4d9a8790-3ddd-11dd-94c5-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,butane,1.7645e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",5,elementary-flow,Non-methane Volatile Organic Compounds,08a91e70-3ddc-11dd-a305-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,non;methane;volatile;organic;compounds,1.2705e-09,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",6,elementary-flow,Carbon Dioxide (fossil),08a91e70-3ddc-11dd-9c13-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,carbon;dioxide,6.3694e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",7,elementary-flow,Mercury,fe0acd60-3ddc-11dd-a8c7-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,mercury,2.7778e-14,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",8,product-flow,"Natural gas, at production",d11b7f2b-f980-3c55-ae4a-d1d91f5bfde5,bafu-2026,,normal cubic meter,natural;gas;production,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",9,product-flow,"Natural gas, burned in gas turbine",7c2b4b09-b101-3ef1-8b26-2344d6b06842,bafu-2026,,megajoule,natural;gas;burned;gas;turbine,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",10,product-flow,"Transport, natural gas, offshore pipeline, long distance",5c52cc7d-2c0c-3a6d-aaaa-9bcf709d422d,bafu-2026,,ton kilometer,transport;natural;gas;offshore;pipeline;long;distance,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",11,product-flow,"Transport, natural gas, onshore pipeline, long distance",2b1da97b-8762-3f1a-8346-075c44d8de61,bafu-2026,,ton kilometer,transport;natural;gas;onshore;pipeline;long;distance,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",12,product-flow,"Brake wear emissions, passenger car",e19204bc-3cff-3ad1-bfd6-957987dbbd54,bafu-2026,,kilogram,brake;wear;emissions;passenger;car,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",13,product-flow,"Electricity, oil, at power plant",b09bb03a-d07b-38da-9d26-105ff5065358,bafu-2026,,kilowatt hour,electricity;oil;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",14,product-flow,"Paraffin, at plant",ffe49bac-1b88-35cd-a9b6-1bb8e98b1b68,bafu-2026,,kilogram,paraffin;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",15,product-flow,"Acrylic binder, 34% in H2O, at plant",841dac4d-05cf-3a4d-af9d-77430bcb3f5b,bafu-2026,,kilogram,acrylic;binder;34%;h2o;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",16,product-flow,"Electricity, lignite, at power plant",3c286cd3-114d-360c-a9ca-6a049bfc26a2,bafu-2026,,kilowatt hour,electricity;lignite;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",17,product-flow,"Electricity, from natural gas",d119779a-cd95-30d1-9430-45af09226ceb,bafu-2026,,kilowatt hour,electricity;from;natural;gas,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",18,product-flow,"Electricity, oil, at power plant",32d7527e-06e5-3981-af87-5e3998f7bf42,bafu-2026,,kilowatt hour,electricity;oil;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",19,product-flow,"Iron scrap, at plant",083619e2-b4f7-3fc5-8075-1e78744c6d76,bafu-2026,,kilogram,iron;scrap;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,3ba9833a-9a61-3a39-bafc-64c8039bb657,"Natural gas, production AZ, at long-distance pipeline",20,product-flow,"Natural gas, burned in gas turbine",065e8cc8-6122-3763-8712-2bad442327a1,bafu-2026,,megajoule,natural;gas;burned;gas;turbine,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
