group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,3d0ac523-3be7-357d-86cd-37a27771840c,"Flooring, needle felt, at regional storage",1,product-flow,"Nylon 6, at plant",a22a1218-236e-32ca-8e90-302962a36fb5,bafu-2026,,kilogram,nylon;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,3d0ac523-3be7-357d-86cd-37a27771840c,"Flooring, needle felt, at regional storage",2,product-flow,"Polyethylene terephthalate, granulate, amorphous, at plant",6bff31ec-3d70-3720-93b4-68a5017911b4,bafu-2026,,kilogram,polyethylene;terephthalate;granulate;amorphous;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,3d0ac523-3be7-357d-86cd-37a27771840c,"Flooring, needle felt, at regional storage",3,product-flow,"Polypropylene, granulate, at plant",09cda8b1-b652-39b2-8761-c93aecc29f70,bafu-2026,,kilogram,polypropylene;granulate;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,3d0ac523-3be7-357d-86cd-37a27771840c,"Flooring, needle felt, at regional storage",4,product-flow,"Latex, at plant",b242dd8f-393a-36a6-b974-436e78f905a2,bafu-2026,,kilogram,latex;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,3d0ac523-3be7-357d-86cd-37a27771840c,"Flooring, needle felt, at regional storage",5,product-flow,"Electricity, medium voltage, production ENTSO-E, at grid",648e3bb3-7b98-46f8-9da1-f45627c309ef,bafu-2026,,kilowatt hour,electricity;medium;voltage;production;entso;grid,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,3d0ac523-3be7-357d-86cd-37a27771840c,"Flooring, needle felt, at regional storage",6,product-flow,"Transport, freight, lorry, 32t-40t gross weight, fleet average",7b09a113-0b6e-33fe-ad56-efc96b9a8b77,bafu-2026,,ton kilometer,transport;freight;lorry;32t;40t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,3d0ac523-3be7-357d-86cd-37a27771840c,"Flooring, needle felt, at regional storage",7,product-flow,"Aluminium hydroxide, at plant",34d9da9b-4ba9-31d2-8e6f-b908c3f99f92,bafu-2026,,kilogram,aluminium;hydroxide;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,3d0ac523-3be7-357d-86cd-37a27771840c,"Flooring, needle felt, at regional storage",8,product-flow,"Light fuel oil, burned in boiler 100kW, non-modulating",09da51a8-f8ca-3270-bfa4-7749767952a7,bafu-2026,,megajoule,light;fuel;oil;burned;boiler;100kw;non;modulating,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,3d0ac523-3be7-357d-86cd-37a27771840c,"Flooring, needle felt, at regional storage",9,product-flow,"Electricity, lignite, at power plant",2480b5f4-c924-34a7-b67a-2001eaf34cf7,bafu-2026,,kilowatt hour,electricity;lignite;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,3d0ac523-3be7-357d-86cd-37a27771840c,"Flooring, needle felt, at regional storage",10,product-flow,"Electricity, production mix photovoltaic, at plant",8ad18206-854f-3686-b52d-d32b2ebedfb7,bafu-2026,,kilowatt hour,electricity;production;mix;photovoltaic;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
