group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",1,product-flow,"Rape methyl ester, at esterification plant",407893f6-6bb8-3cad-9b83-4c36478fafb2,bafu-2026,,kilogram,rape;methyl;ester;esterification;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",2,product-flow,"Palm methyl ester, at esterification plant",fde2bfe9-f8e9-39f1-9224-c127b55e63c8,bafu-2026,,kilogram,palm;methyl;ester;esterification;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",3,product-flow,"Soybean methyl ester, at esterification plant",6df0f8d8-e418-38d9-b852-e338fe16021a,bafu-2026,,kilogram,soybean;methyl;ester;esterification;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",4,product-flow,"Nylon 6, at plant",a22a1218-236e-32ca-8e90-302962a36fb5,bafu-2026,,kilogram,nylon;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",5,product-flow,"Electricity, hydropower, at reservoir power plant",12bbcef6-63fe-322d-86d9-0ac443a318fc,bafu-2026,,kilowatt hour,electricity;hydropower;reservoir;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",6,product-flow,"93 kWp slanted-roof installation, multi-Si, panel, mounted, on roof",d777787e-6732-3c75-9a75-69c61e46424a,bafu-2026,,unit,kwp;slanted;roof;installation;multi;panel;mounted;roof,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",7,product-flow,"Heat, natural gas, at industrial furnace 1MW",2fcda415-e506-38d9-9c3e-8ce2c2e7c8f2,bafu-2026,,megajoule,heat;natural;gas;industrial;furnace;1mw,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",8,product-flow,"Electricity, hard coal, at power plant",53f0a077-87a5-334e-8155-cc3dc6f8b249,bafu-2026,,kilowatt hour,electricity;hard;coal;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",9,product-flow,"Transport, freight, lorry, 3.5t gross weight, fleet average",f2b283d7-3c63-3bd0-b949-7b55e377bbff,bafu-2026,,ton kilometer,transport;freight;lorry;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",10,product-flow,"Electricity, hydropower, at pumped storage power plant",f21f2f68-abfa-3e72-8a89-dd6393731cf3,bafu-2026,,kilowatt hour,electricity;hydropower;pumped;storage;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",11,product-flow,"Excavation, hydraulic digger, average",de7e006b-f5dd-3d18-873a-23959012d5b9,bafu-2026,,cubic meter,excavation;hydraulic;digger;average,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",12,product-flow,"Potassium chloride, as K2O, at regional storehouse",13ce5dc8-cdd7-322f-9d6b-646f27b9af9d,bafu-2026,,kilogram,potassium;chloride;k2o;regional;storehouse,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4290d583-d2ec-3572-b130-a8708c33f8b6,"Methyl ester, from biogenic oils, mix, at regional storage",13,product-flow,"Natural gas, burned in gas turbine",dc123404-174a-313e-aca5-44694add9665,bafu-2026,,megajoule,natural;gas;burned;gas;turbine,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
