group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",1,product-flow,"Disposal, residues, mechanical treatment, IT accessoires, in MSWI",9e153893-4828-4a77-a7cf-f46cc839bd19,bafu-2026,,kilogram,disposal;residues;mechanical;treatment;accessoires;mswi,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",2,product-flow,"Disposal, treatment of printed wiring boards",8399296e-6131-4ceb-889e-7a6fb74cd3cc,bafu-2026,,kilogram,disposal;treatment;printed;wiring;boards,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",3,product-flow,"Water treatment plant, deionisation",310e3a98-694e-3969-9783-1c2da129d150,bafu-2026,,unit,water;treatment;plant;deionisation,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",4,product-flow,"Hydrogen sulphide, H2S, at plant",c4fb13df-afca-31f0-a6bc-c7e552b6020a,bafu-2026,,kilogram,hydrogen;sulphide;h2s;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",5,product-flow,"Process-specific burdens, slag compartment",ecdf22c7-d4e1-4421-9a03-1315367c1808,bafu-2026,,kilogram,process;specific;burdens;slag;compartment,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",6,product-flow,"Oxygen, liquid, at plant",ffa681a6-74f7-36b7-ac25-5523f8a1749e,bafu-2026,,kilogram,oxygen;liquid;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",7,product-flow,"Natural gas, burned in gas turbine",10910352-8988-3c24-adfb-5d64b8b8fd32,bafu-2026,,megajoule,natural;gas;burned;gas;turbine,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",8,product-flow,"Transport, freight, rail",aacc6120-0e68-3835-8303-5ae37d62c030,bafu-2026,,ton kilometer,transport;freight;rail,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",9,product-flow,"Water, decarbonised, at plant",d51355e5-b0a8-3db5-bd7e-c74fd60c87e0,bafu-2026,,kilogram,water;decarbonised;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",10,product-flow,"Calcium ammonium nitrate, as N, at regional storehouse",941c6721-d698-3b04-b46a-fe25eaedad6c,bafu-2026,,kilogram,calcium;ammonium;nitrate;regional;storehouse,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",11,product-flow,"Electricity, oil, at power plant",973e1d4a-97dd-3530-afbb-f331fd0a1568,bafu-2026,,kilowatt hour,electricity;oil;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,44164692-11a5-427f-8dbb-2f7695294930,"Dismantling, IT accessoires, mechanically, at plant",12,product-flow,"Transport, freight, lorry, 32t-40t gross weight, fleet average",984d5f03-2208-366d-bceb-69003ae01594,bafu-2026,,ton kilometer,transport;freight;lorry;32t;40t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
