group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",1,product-flow,"Polyethylene, LDPE, granulate, at plant",c4dbbb99-22d0-37c1-8cc7-fc5a8c64329b,bafu-2026,,kilogram,polyethylene;ldpe;granulate;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",2,product-flow,"Extrusion, plastic film",c06a8970-8ec4-359e-887a-0bbf51d9ee6f,bafu-2026,,kilogram,extrusion;plastic;film,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",3,product-flow,"Transport, freight, lorry, fleet average",99f8a4b0-99b5-3130-924c-5de4c10b62ef,bafu-2026,,ton kilometer,transport;freight;lorry;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",4,product-flow,"Heat, heavy fuel oil, at industrial furnace 1MW",1223f12d-41ed-32f2-a8fa-e9811708964f,bafu-2026,,megajoule,heat;heavy;fuel;oil;industrial;furnace;1mw,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",5,product-flow,"Aluminium, primary, at plant",5cac9857-21f7-305d-b705-c83a02a94e6e,bafu-2026,,kilogram,aluminium;primary;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",6,product-flow,"Alkyd paint, white, 60% in H2O, at plant",4ae47809-79a6-30d0-b679-61fbb0beedf8,bafu-2026,,kilogram,alkyd;paint;white;60%;h2o;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",7,product-flow,"Technical wood drying, infrastructure",6af61017-3945-3789-be63-c211159170a9,bafu-2026,,unit,technical;wood;drying;infrastructure,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",8,product-flow,"Plant onshore, natural gas, production",0d4fd0d8-b50d-32d6-84ed-3c1ba80bf901,bafu-2026,,unit,plant;onshore;natural;gas;production,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",9,product-flow,"Natural gas, burned in gas turbine",21ccb6c1-5291-38de-9547-d458e871fba4,bafu-2026,,megajoule,natural;gas;burned;gas;turbine,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",10,product-flow,Municipal waste incineration plant,c48dd908-0b49-323f-8270-ef772e7c900d,bafu-2026,,unit,municipal;waste;incineration;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",11,product-flow,"Electricity from waste, at municipal waste incineration plant",a9f81d35-ac75-3917-8e35-e9c000a104e6,bafu-2026,,kilowatt hour,electricity;from;waste;municipal;waste;incineration;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",12,product-flow,"Electricity, high voltage, production ENTSO-E, at grid",d7cd364e-1d5c-4f92-8c81-942cad46c4bd,bafu-2026,,kilowatt hour,electricity;high;voltage;production;entso;grid,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,4729b77e-908b-3258-a3fd-55f38497291b,"Packaging film, LDPE, at plant",13,product-flow,"Light fuel oil, burned in boiler 100kW, non-modulating",09da51a8-f8ca-3270-bfa4-7749767952a7,bafu-2026,,megajoule,light;fuel;oil;burned;boiler;100kw;non;modulating,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
