group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,1,product-flow,"Steel, low-alloyed, at plant",b9430f24-d0b9-3422-a5ad-f874acbbef18,bafu-2026,,kilogram,steel;low;alloyed;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,2,product-flow,"Chromium steel 18/8, at plant",fc9385f8-fe2d-3399-b663-4b66e5062a3f,bafu-2026,,kilogram,chromium;steel;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,3,product-flow,"Copper, at regional storage",3972eb0c-d60e-3537-9ad1-fd6b7bbafce8,bafu-2026,,kilogram,copper;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,4,product-flow,"Transport, freight, lorry, 16t-32t gross weight, fleet average",85b3a5a6-2635-3546-b51b-4ccad397650b,bafu-2026,,ton kilometer,transport;freight;lorry;16t;32t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,5,product-flow,"Manganese concentrate, at beneficiation",f2604d57-9474-36dc-9219-c04eedc6f657,bafu-2026,,kilogram,manganese;concentrate;beneficiation,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,6,product-flow,"Electricity, hydropower, at pumped storage power plant",ebbd7d52-14b8-3798-85ae-915fd40643ab,bafu-2026,,kilowatt hour,electricity;hydropower;pumped;storage;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,7,product-flow,"Electricity, lignite, at power plant",016d490f-79c5-3c87-b3fb-165aa94757f4,bafu-2026,,kilowatt hour,electricity;lignite;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,8,product-flow,"Polystyrene, high impact, HIPS, at plant",b2ddf286-46b3-3a00-8b8a-c38b11ced364,bafu-2026,,kilogram,polystyrene;high;impact;hips;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,9,product-flow,"Paraffin, at plant",ffe49bac-1b88-35cd-a9b6-1bb8e98b1b68,bafu-2026,,kilogram,paraffin;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,10,product-flow,"Light fuel oil, burned in industrial furnace 1MW, non-modulating",82c07b68-8bf9-3537-9934-91924132e976,bafu-2026,,megajoule,light;fuel;oil;burned;industrial;furnace;1mw;non;modulating,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,11,product-flow,"Electric motor, for electric passenger car",f937e3b1-e1ee-32f8-b582-8a044ad51323,bafu-2026,,kilogram,electric;motor;for;electric;passenger;car,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,12,product-flow,"Methanol, at plant",1bf86f83-27bd-3271-9390-c280d9994184,bafu-2026,,kilogram,methanol;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,13,product-flow,"Transport, barge",2e1b341b-71fa-337b-8343-f406a400b09b,bafu-2026,,ton kilometer,transport;barge,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,69f7cbef-0a6c-3b3e-9226-5f33b9726e92,Diesel-electric generating set production 10MW,14,product-flow,"Road wear emissions, lorry",92c36959-3136-3b24-bdf1-058ff7429972,bafu-2026,,kilogram,road;wear;emissions;lorry,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
