group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",1,elementary-flow,Carbon Dioxide (fossil),08a91e70-3ddc-11dd-923d-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,carbon;dioxide,0.019703,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",2,elementary-flow,Non-methane Volatile Organic Compounds,08a91e70-3ddc-11dd-a302-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,non;methane;volatile;organic;compounds,7.95e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",3,elementary-flow,Sulfur Dioxide,fe0acd60-3ddc-11dd-ac48-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,sulfur;dioxide,0.000231,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",4,elementary-flow,Particles (PM10),08a91e70-3ddc-11dd-91be-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,particles;pm10,1.5251e-06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",5,elementary-flow,Water,0342f5e5-b53e-4cec-9e67-fb197f24fff0,ef-3.1-biosphere,air,cubic meter,water,0.00013789000000000002,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",6,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-9136-0050c2490048,ef-3.1-biosphere,air,megajoule,waste;heat,0.69349,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",7,elementary-flow,Water,419682fe-60fb-4b43-be89-bf2824b51104,ef-3.1-biosphere,Resources / Resources from water,cubic meter,water,0.00091926,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",8,elementary-flow,Carbon Monoxide (fossil),08a91e70-3ddc-11dd-924e-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,carbon;monoxide,5.4501e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",9,elementary-flow,Nitrogen Oxides,2f89fbbd-e428-4de1-8c33-9dd66e53310c,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,nitrogen;oxides,2.42e-06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",10,elementary-flow,Water,a3876d9b-a3e8-4680-861a-4e08642f1392,ef-3.1-biosphere,Emissions / Emissions to water,cubic meter,water,0.00042919000000000003,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",11,elementary-flow,Hydrogen Sulfide,08a91e70-3ddc-11dd-94a9-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,hydrogen;sulfide,0.00026951,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",12,elementary-flow,Methane (fossil),08a91e70-3ddc-11dd-9610-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,methane,1.37e-06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",13,product-flow,"Lubricating oil, at plant",0b14288a-dbf3-3dac-a570-83d083f4b600,bafu-2026,,kilogram,lubricating;oil;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",14,product-flow,"Light fuel oil, at regional storage",80b22bf0-10cb-3af0-b63a-d3cf38d0ccb5,bafu-2026,,kilogram,light;fuel;oil;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",15,product-flow,"Solvents, organic, unspecified, at plant",bac59fd2-5b1f-318c-8dae-c794cd786431,bafu-2026,,kilogram,solvents;organic;unspecified;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",16,product-flow,"Ethylene glycol, at plant",582ad303-7f18-3110-83c2-bccca0dc995f,bafu-2026,,kilogram,ethylene;glycol;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",17,product-flow,"Diesel, burned in building machine, average",e4e7ddc0-f7d1-3fad-bd12-9d6981142800,bafu-2026,,megajoule,diesel;burned;building;machine;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",18,product-flow,"Air filter, central unit, 600 m3/h, at plant",eb8759e7-44d4-3bb5-94f5-5f166d18174c,bafu-2026,,unit,air;filter;central;unit;600;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",19,product-flow,"Natural gas, high pressure, at consumer",52167408-1c86-310c-ab50-a92f15e84379,bafu-2026,,megajoule,natural;gas;high;pressure;consumer,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",20,product-flow,"Transport, freight, rail",aacc6120-0e68-3835-8303-5ae37d62c030,bafu-2026,,ton kilometer,transport;freight;rail,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",21,product-flow,"Electricity, medium voltage, production ENTSO-E, at grid",648e3bb3-7b98-46f8-9da1-f45627c309ef,bafu-2026,,kilowatt hour,electricity;medium;voltage;production;entso;grid,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",22,product-flow,Cement plant,30df91c3-fac6-3ccf-835b-71863079263a,bafu-2026,,unit,cement;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",23,product-flow,"Disposal, inert waste, 5% water, to construction waste landfill",2be08541-6444-47e0-9d93-5fc9f7e3e9c8,bafu-2026,,kilogram,disposal;inert;waste;water;construction;waste;landfill,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",24,product-flow,"Transport, freight, lorry, 16t-32t gross weight, fleet average",85b3a5a6-2635-3546-b51b-4ccad397650b,bafu-2026,,ton kilometer,transport;freight;lorry;16t;32t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",25,product-flow,"Treatment, concrete production effluent, to wastewater treatment, class 3",89d24e35-54b0-40a6-8568-4251cb96bad8,bafu-2026,,cubic meter,treatment;concrete;production;effluent;wastewater;treatment;class,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",26,product-flow,"Steel, low-alloyed, at plant",b9430f24-d0b9-3422-a5ad-f874acbbef18,bafu-2026,,kilogram,steel;low;alloyed;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",27,product-flow,"Toluene, liquid, at plant",1f6091b0-b8fd-3f54-b98b-dbfa5490e46a,bafu-2026,,kilogram,toluene;liquid;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,7622063d-6d0d-316d-8455-556556b1731a,"Ground granulated blast furnace slag, no burdens, at plant",28,product-flow,"Assembly operation, for lorry",6a0c6ef7-df9a-37e7-8104-b5fd21dac73c,bafu-2026,,kilogram,assembly;operation;for;lorry,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
