group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",1,elementary-flow,Calcium,fe0acd60-3ddc-11dd-a296-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,calcium,1.7156e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",2,elementary-flow,Zinc,08a91e70-3ddc-11dd-94e7-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,zinc,8.7827e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",3,elementary-flow,Calcium,2905c632-6556-11dd-ad8b-0800200c9a66,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,calcium,0.00018991,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",4,elementary-flow,"DOC, Dissolved Organic Carbon",21291e2b-f570-4264-a430-1522a6d67805,ef-3.1-biosphere,water,kilogram,doc;dissolved;organic;carbon,5.8987e-06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",5,elementary-flow,Chromium,08a91e70-3ddc-11dd-9f73-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,chromium,7.8757e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",6,elementary-flow,Arsenic,08a91e70-3ddc-11dd-91d9-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,arsenic,4.5e-15,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",7,elementary-flow,arsenic,08a91e70-3ddc-11dd-91e0-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,arsenic,4.41e-16,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",8,elementary-flow,Mercury,fe0acd60-3ddc-11dd-a8c9-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,mercury,3.9908e-10,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",9,elementary-flow,Carbon Monoxide (fossil),9f20de0e-42bf-4590-8b05-b84c325a1dc1,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,carbon;monoxide,1.2076e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",10,elementary-flow,Biological Oxygen Demand,08a91e70-3ddc-11dd-97de-0050c2490048,ef-3.1-biosphere,water,kilogram,biological;oxygen;demand,1.3483e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",11,elementary-flow,"TOC, Total Organic Carbon",1e39fd49-f07d-5177-aef9-60d7e89ec6d1,bafu-2026-residual,"emissions to water / groundwater, long-term",kilogram,toc;total;organic;carbon,0.0019073,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",12,elementary-flow,Nickel,08a91e70-3ddc-11dd-96ca-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,nickel,6.6869e-10,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",13,elementary-flow,Mercury,fe0acd60-3ddc-11dd-a8c6-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,mercury,2.95e-16,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",14,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-913a-0050c2490048,ef-3.1-biosphere,water,megajoule,waste;heat,1.3056,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",15,elementary-flow,Carbon Dioxide (fossil),08a91e70-3ddc-11dd-9c12-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,carbon;dioxide,0.97301,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",16,elementary-flow,Zinc,08a91e70-3ddc-11dd-94e5-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,zinc,4.5811e-09,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",17,elementary-flow,Titanium,08a91e70-3ddc-11dd-999a-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,titanium,6.6836e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",18,elementary-flow,"DOC, Dissolved Organic Carbon",48e8070d-0f6b-562c-bba3-476b0a117268,bafu-2026-residual,"emissions to water / groundwater, long-term",kilogram,doc;dissolved;organic;carbon,0.0019073,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",19,elementary-flow,"COD, Chemical Oxygen Demand",378f739b-4446-525c-afec-e475a0eca633,bafu-2026-residual,"emissions to water / groundwater, long-term",kilogram,cod;chemical;oxygen;demand,0.0043595,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",20,elementary-flow,Silicon,33c7b302-b29b-4a19-b8dc-0a8999f15419,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,silicon,0.14912,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",21,elementary-flow,chloride,08a91e70-3ddc-11dd-9509-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,chloride,0.00010495,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",22,elementary-flow,calcium,fe0acd60-3ddc-11dd-a297-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,calcium,0.010277,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",23,elementary-flow,Silicon,380a7a76-9788-4246-b256-6940922549b6,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,silicon,0.00034876,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",24,elementary-flow,Cadmium,fe0acd60-3ddc-11dd-a28e-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,cadmium,9.2786e-13,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",25,elementary-flow,Mercury(2+),069e79b9-c92a-4912-ba51-5375da5c45db,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,mercury,9.0089e-11,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",26,elementary-flow,Titanium,08a91e70-3ddc-11dd-9998-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,titanium,0.000135,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",27,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-9138-0050c2490048,ef-3.1-biosphere,air,megajoule,waste;heat,7.9376000000000015,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",28,elementary-flow,zinc,08a91e70-3ddc-11dd-94e8-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,zinc,7.9077e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",29,elementary-flow,Chromium VI,2ddc647f-111b-5285-8c9c-c905d7418cba,bafu-2026-residual,"emissions to water / groundwater, long-term",kilogram,chromium;vi,2.3622e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",30,elementary-flow,lead,4d9a8790-3ddd-11dd-91e1-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,lead,3.3686e-09,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",31,elementary-flow,Hydrogen Chloride,08a91e70-3ddc-11dd-97fb-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,hydrogen;chloride,2.6671e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",32,elementary-flow,Chloride,08a91e70-3ddc-11dd-9508-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,chloride,0.086334,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",33,elementary-flow,Total Organic Carbon,4d9a8790-3ddd-11dd-8e7d-0050c2490048,ef-3.1-biosphere,water,kilogram,total;organic;carbon,5.8987e-06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",34,elementary-flow,Lead(2+),189ac180-12b2-418f-9842-949051cfe67a,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,lead,1.7677e-11,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",35,elementary-flow,Nickel,08a91e70-3ddc-11dd-96cc-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,nickel,1.9581e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7d15b5ea-0ff3-4e33-8da0-9a4037f1e717,"Disposal, emulsion paint remains, 0% water, to hazardous waste incineration",36,elementary-flow,Silicon,093bf3d4-d071-46e9-9b6d-065b1ec46643,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,silicon,0.00033612,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
