group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,7e0b7397-b949-448e-ac9b-cad2f937100b,"Disposal, building, mineral plaster, to sorting plant",1,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-9138-0050c2490048,ef-3.1-biosphere,air,megajoule,waste;heat,0.0133,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7e0b7397-b949-448e-ac9b-cad2f937100b,"Disposal, building, mineral plaster, to sorting plant",2,elementary-flow,Particles (PM2.5),08a91e70-3ddc-11dd-9295-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,particles;pm2,1.66e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7e0b7397-b949-448e-ac9b-cad2f937100b,"Disposal, building, mineral plaster, to sorting plant",3,elementary-flow,Particles (> PM10),08a91e70-3ddc-11dd-94fe-0050c2490048,ef-3.1-biosphere,air,kilogram,particles;pm10,8.35e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7e0b7397-b949-448e-ac9b-cad2f937100b,"Disposal, building, mineral plaster, to sorting plant",4,elementary-flow,Particles (PM10),08a91e70-3ddc-11dd-91c0-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,particles;pm10,6.34e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,7e0b7397-b949-448e-ac9b-cad2f937100b,"Disposal, building, mineral plaster, to sorting plant",5,product-flow,Sorting plant for construction waste,e27f1d74-b73f-37da-905e-277aed8d8c25,bafu-2026,,unit,sorting;plant;for;construction;waste,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7e0b7397-b949-448e-ac9b-cad2f937100b,"Disposal, building, mineral plaster, to sorting plant",6,product-flow,"Disposal, inert material, 0% water, to sanitary landfill",06b79ab9-2ea0-4ea2-8e0c-d06c96a0cd84,bafu-2026,,kilogram,disposal;inert;material;water;sanitary;landfill,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7e0b7397-b949-448e-ac9b-cad2f937100b,"Disposal, building, mineral plaster, to sorting plant",7,product-flow,"Electricity, low voltage, at grid",c4a92617-9f99-3d7b-95c0-15fb110b80ad,bafu-2026,,kilowatt hour,electricity;low;voltage;grid,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7e0b7397-b949-448e-ac9b-cad2f937100b,"Disposal, building, mineral plaster, to sorting plant",8,product-flow,"Transport, freight, lorry, 16t-32t gross weight, fleet average",eb5552ed-63a8-374d-8fa4-296f644c37f8,bafu-2026,,ton kilometer,transport;freight;lorry;16t;32t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7e0b7397-b949-448e-ac9b-cad2f937100b,"Disposal, building, mineral plaster, to sorting plant",9,product-flow,"Excavation, hydraulic digger, average",de7e006b-f5dd-3d18-873a-23959012d5b9,bafu-2026,,cubic meter,excavation;hydraulic;digger;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,7e0b7397-b949-448e-ac9b-cad2f937100b,"Disposal, building, mineral plaster, to sorting plant",10,product-flow,"Polycarbonate, at plant",53117f8b-9311-37b3-bf5b-6e14b2ae711c,bafu-2026,,kilogram,polycarbonate;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
