group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",1,elementary-flow,Water To Cooling,21868f36-62ab-4e8e-98ed-7106228c17be,ef-3.1-biosphere,Resources / Resources from water,cubic meter,water;cooling,0.024,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",2,elementary-flow,Ammonia,08a91e70-3ddc-11dd-96ae-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,ammonia,0.000427,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",3,elementary-flow,Ammonium Carbonate,bb7d51f4-7cfc-499c-9c92-10db0d4c18a2,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,ammonium,0.00121,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",4,elementary-flow,Water,419682fe-60fb-4b43-be89-bf2824b51104,ef-3.1-biosphere,Resources / Resources from water,cubic meter,water,0.006,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",5,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-9138-0050c2490048,ef-3.1-biosphere,air,megajoule,waste;heat,1.2,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",6,elementary-flow,Water,a3876d9b-a3e8-4680-861a-4e08642f1392,ef-3.1-biosphere,Emissions / Emissions to water,cubic meter,water,0.0057,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",7,product-flow,"Transport, freight, lorry, fleet average",99f8a4b0-99b5-3130-924c-5de4c10b62ef,bafu-2026,,ton kilometer,transport;freight;lorry;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",8,product-flow,"Copper, at regional storage",3972eb0c-d60e-3537-9ad1-fd6b7bbafce8,bafu-2026,,kilogram,copper;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",9,product-flow,"Chemical plant, organics",13ed4fe0-7ba5-3b60-82b6-a63918ee814d,bafu-2026,,unit,chemical;plant;organics,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,87f791bb-fc12-31eb-ae1e-387398762a32,"Copper oxide, at plant",10,product-flow,"Ammonium carbonate, at plant",48437dbd-050b-38c9-bf8a-13df82183791,bafu-2026,,kilogram,ammonium;carbonate;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
