group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",1,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-9138-0050c2490048,ef-3.1-biosphere,air,megajoule,waste;heat,0.375,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",2,product-flow,"Transport, freight, lorry, fleet average",99f8a4b0-99b5-3130-924c-5de4c10b62ef,bafu-2026,,ton kilometer,transport;freight;lorry;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",3,product-flow,"Disposal, used mineral oil, 10% water, to hazardous waste incineration",be69d35d-4a8e-4e4c-88c0-c5df0c7db472,bafu-2026,,kilogram,disposal;used;mineral;oil;10%;water;hazardous;waste;incineration,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",4,product-flow,"Air compressor, screw-type compressor, 300 kW, at plant",68cd88ca-b2b0-3bc4-8da7-96f9a6ddb4cf,bafu-2026,,unit,air;compressor;screw;type;compressor;300;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",5,product-flow,"Transport, freight, rail",aacc6120-0e68-3835-8303-5ae37d62c030,bafu-2026,,ton kilometer,transport;freight;rail,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",6,product-flow,"Electricity, low voltage, production ENTSO-E, at grid",8cebe831-b6c1-4854-a5ab-a08a7ba3e50d,bafu-2026,,kilowatt hour,electricity;low;voltage;production;entso;grid,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",7,product-flow,"Lubricating oil, at plant",0b14288a-dbf3-3dac-a570-83d083f4b600,bafu-2026,,kilogram,lubricating;oil;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",8,product-flow,"Electricity, production mix photovoltaic, at plant",1aebffab-b9cb-30b8-9c38-0be5406a8fa0,bafu-2026,,kilowatt hour,electricity;production;mix;photovoltaic;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",9,product-flow,"Pipeline, natural gas, low pressure distribution network",dc9a8ea6-f255-3706-839a-400ac8477b96,bafu-2026,,kilometer,pipeline;natural;gas;low;pressure;distribution;network,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",10,product-flow,"570 kWp open ground installation, single-Si, on open ground",72f4b692-8e68-3270-90f4-5352b5c88597,bafu-2026,,unit,570;kwp;open;ground;installation;single;open;ground,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,8afc0715-04a0-3089-8522-1515885eaeaf,"Compressed air, best generation, >30kW, 8 bar gauge, at compressor",11,product-flow,"Isopropanol, at plant",cc16978e-b292-32be-bf38-472e5f5d4156,bafu-2026,,kilogram,isopropanol;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
