group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",1,elementary-flow,To Industrial Area,2f8cc78f-7f63-4b5c-9010-70a847737d23,ef-3.1-biosphere,Land use / Land transformation,square meter,industrial;area,2.413179274e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",2,elementary-flow,"Oils, unspecified",f3a46e24-de9e-4796-be40-eb4221021334,ef-3.1-biosphere,Emissions / Emissions to soil,kilogram,oils;unspecified,9.76e-09,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",3,elementary-flow,From Unspecified,52a7fc6d-de3b-4348-9ef2-11b119da6c98,ef-3.1-biosphere,Land use / Land transformation,square meter,from;unspecified,2.437311067e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",4,elementary-flow,Industrial Area,eb84226d-129f-49d8-8d69-cc484b7a6cbf,ef-3.1-biosphere,Land use / Land occupation,square meter-year,industrial;area,3.619768911e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",5,elementary-flow,Water,0342f5e5-b53e-4cec-9e67-fb197f24fff0,ef-3.1-biosphere,air,cubic meter,water,0.001751968153,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",6,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-9139-0050c2490048,ef-3.1-biosphere,air,megajoule,waste;heat,0.1583696621,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",7,elementary-flow,Sulfur hexafluoride,4d9a8790-3ddd-11dd-96eb-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,sulfur;hexafluoride,3.4e-10,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",8,elementary-flow,Methane (biogenic),fe0acd60-3ddc-11dd-a8eb-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,methane;biogenic,2.642431305e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",9,elementary-flow,Nitrous Oxide,08a91e70-3ddc-11dd-94c6-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,nitrous;oxide,2.561751403e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",10,elementary-flow,Water Bodies,871a58d9-bbbb-4cdf-bf84-dd4a90fa7c8e,ef-3.1-biosphere,land use,square meter-year,water;bodies,0.003619768911,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",11,elementary-flow,"Oils, Unspecified",76dffe8f-8e29-4301-bb1c-e1a9b2bbb7bc,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,oils;unspecified,2.268e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",12,elementary-flow,Carbon Dioxide (land Use Change),1bf31577-1939-49f0-9606-9c7b8fd3021c,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,carbon;dioxide;land;use;change,0.001360852122,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",13,elementary-flow,Water to turbine,9575e5d0-f865-4ad1-9d98-6b0d6e275780,ef-3.1-biosphere,Resources / Resources from water,cubic meter,water;turbine,1.403633075,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",14,elementary-flow,To Water Bodies,c9025e62-8e16-4ff8-87b7-b212d79e2ff5,ef-3.1-biosphere,land use,square meter,water;bodies,2.413179274e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",15,elementary-flow,"Volume Occupied, Reservoir",1bd103da-4de0-4913-a45e-4dfaf79af96a,ef-3.1-biosphere,land use,cubic meter-year,volume;occupied;reservoir,0.1641832127,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",16,elementary-flow,"Energy, Potential (in Hydropower Reservoir), Converted",e89f564c-7250-4fee-b759-dc8b42fe62bf,ef-3.1-biosphere,natural resource,megajoule,energy;potential;in;hydropower;reservoir;converted,3.79,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",17,elementary-flow,Water,a3876d9b-a3e8-4680-861a-4e08642f1392,ef-3.1-biosphere,Emissions / Emissions to water,cubic meter,water,1.4036330000000001,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",18,product-flow,"Sulphur hexafluoride, liquid, at plant",b1ff97f2-2364-3290-86c7-d513fd4be2e9,bafu-2026,,kilogram,sulphur;hexafluoride;liquid;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",19,product-flow,Reservoir hydropower plant,5d4f0090-160f-314e-976e-9321243a1eda,bafu-2026,,unit,reservoir;hydropower;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",20,product-flow,"Lubricating oil, at plant",0b14288a-dbf3-3dac-a570-83d083f4b600,bafu-2026,,kilogram,lubricating;oil;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",21,product-flow,"Transport, freight, lorry, 7.5t-16t gross weight, fleet average",552ef261-d7f3-34e7-83b4-686a98711599,bafu-2026,,ton kilometer,transport;freight;lorry;16t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",22,product-flow,"Diesel, burned in diesel-electric generating set, at extraction site",3b9ec683-d3db-30b9-b5bd-c3ea85135ec5,bafu-2026,,megajoule,diesel;burned;diesel;electric;generating;set;extraction;site,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,8b83697e-270a-36ef-bcd0-c913b8ee67be,"Electricity, hydropower, net, at reservoir power plant",23,product-flow,"Iron sulphate, at plant",1b541649-c28b-369b-a574-066c98648887,bafu-2026,,kilogram,iron;sulphate;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
