group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",1,product-flow,"Gold, at regional storage",11feb7b6-02c2-39c7-9482-ec13915550f6,bafu-2026,,kilogram,gold;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",2,product-flow,"Copper, primary, at refinery",602d023d-19c6-3ecf-a6dc-e662664612d0,bafu-2026,,kilogram,copper;primary;refinery,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",3,product-flow,"Polyester resin, unsaturated, at plant",0ae933a6-b6ac-3604-9e28-f378ad4e80d6,bafu-2026,,kilogram,polyester;resin;unsaturated;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",4,product-flow,"Sanitary ceramics, at regional storage",85c77d40-863e-3d84-86b2-a46403916c29,bafu-2026,,kilogram,sanitary;ceramics;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",5,product-flow,"Tin, at regional storage",128906db-c099-3e6a-806c-83b9fb5b86f5,bafu-2026,,kilogram,tin;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",6,product-flow,"Silver, from combined gold-silver production, at refinery",76943d5f-8e51-38f2-918d-bf9e6606cc64,bafu-2026,,kilogram,silver;from;combined;gold;silver;production;refinery,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",7,product-flow,"Polypropylene, granulate, at plant",09cda8b1-b652-39b2-8761-c93aecc29f70,bafu-2026,,kilogram,polypropylene;granulate;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",8,product-flow,"Polyethylene, HDPE, granulate, at plant",6738f024-eb64-3ef8-837e-05b84c6e43da,bafu-2026,,kilogram,polyethylene;hdpe;granulate;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",9,product-flow,"Nickel, 99.5%, at plant",0c0946ca-aaca-3de0-b0f2-26754f651b1b,bafu-2026,,kilogram,nickel;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",10,product-flow,"Epoxy resin, liquid, at plant",c80b8e9e-8a0d-36f6-a4a2-1509d03e42c2,bafu-2026,,kilogram,epoxy;resin;liquid;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",11,product-flow,"Natural gas, burned in gas turbine",c56cb441-7851-31bb-a08f-018d0266e84e,bafu-2026,,megajoule,natural;gas;burned;gas;turbine,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",12,product-flow,"Disposal, refinery sludge, 89.5% water, to hazardous waste incineration",cf21cb6f-fd39-49b3-bb3b-70581f9fa170,bafu-2026,,kilogram,disposal;refinery;sludge;water;hazardous;waste;incineration,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",13,product-flow,"Powder coating, aluminium sheet",b3bbff04-9f71-3acc-b827-19bd99e6f9b6,bafu-2026,,square meter,powder;coating;aluminium;sheet,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",14,product-flow,"Hydrogen sulphide, H2S, at plant",c4fb13df-afca-31f0-a6bc-c7e552b6020a,bafu-2026,,kilogram,hydrogen;sulphide;h2s;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",15,product-flow,"Sweet gas, burned in gas turbine, production",5f3b8f7e-ce26-35d4-8860-75c9e3d2016b,bafu-2026,,megajoule,sweet;gas;burned;gas;turbine;production,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",16,product-flow,"Sheet rolling, copper",cc7e838a-99f1-3477-a3ea-04d56ecb13c0,bafu-2026,,kilogram,sheet;rolling;copper,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",17,product-flow,"Tap water, at user",6556440f-cd03-3975-9615-023309701fe2,bafu-2026,,kilogram,tap;water;user,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",18,product-flow,"Disposal, municipal solid waste, 22.9% water, to sanitary landfill",d945c4fe-a169-4132-930c-94d1be1116ea,bafu-2026,,kilogram,disposal;municipal;solid;waste;water;sanitary;landfill,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",19,product-flow,"Regional distribution, oil products",4f7cc4ce-e72a-389c-bae5-c6138af12706,bafu-2026,,unit,regional;distribution;oil;products,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,9c0e2df6-7ee2-3b42-979d-55913ecb6ee9,"Electronic passive elements, washing machine, at plant",20,product-flow,"Electricity, production mix photovoltaic, at plant",aacb9404-aa84-3770-afcc-089920851b27,bafu-2026,,kilowatt hour,electricity;production;mix;photovoltaic;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
