group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,1,product-flow,"Electricity, low voltage, at grid",c4a92617-9f99-3d7b-95c0-15fb110b80ad,bafu-2026,,kilowatt hour,electricity;low;voltage;grid,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,2,product-flow,"Chemical plant, organics",13ed4fe0-7ba5-3b60-82b6-a63918ee814d,bafu-2026,,unit,chemical;plant;organics,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,3,product-flow,Water supply network,83e88ab5-0a07-3a06-b975-c1bcf39cccae,bafu-2026,,kilometer,water;supply;network,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,4,product-flow,"Disposal, plastics, mixture, 15.3% water, to sanitary landfill",e8828bdf-675f-4add-933f-66d2ed424341,bafu-2026,,kilogram,disposal;plastics;mixture;water;sanitary;landfill,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,5,product-flow,"Steel product manufacturing, average metal working",89772c02-1f8b-36dc-87eb-de910174d166,bafu-2026,,kilogram,steel;product;manufacturing;average;metal;working,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,6,product-flow,Essential BoP,b0c1141a-3434-3e0e-9280-a803355ef328,bafu-2026,,kilogram,essential;bop,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,7,product-flow,"Compressed air, average installation, >30kW, 7 bar gauge, at supply network",30dbefe0-c52f-3631-a6fa-02ed37e2c025,bafu-2026,,cubic meter,compressed;air;average;installation;30kw;bar;gauge;supply;network,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,8,product-flow,"Electricity, hydropower, at pumped storage power plant",2cd6361a-a17d-3922-a171-544dc51d161c,bafu-2026,,kilowatt hour,electricity;hydropower;pumped;storage;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,9,product-flow,"Electricity, nuclear, at power plant pressure water reactor",b5fde38b-ee84-39b8-bed7-216d51f4a90e,bafu-2026,,kilowatt hour,electricity;nuclear;power;plant;pressure;water;reactor,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,10,product-flow,"Tillage, cultivating, chiselling",aecf467b-0f2d-37fb-8114-db986b9d2d68,bafu-2026,,hectare,tillage;cultivating;chiselling,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,11,product-flow,"Polystyrene, high impact, HIPS, at plant",b2ddf286-46b3-3a00-8b8a-c38b11ced364,bafu-2026,,kilogram,polystyrene;high;impact;hips;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,bcd8ea60-8d17-34e2-8e4b-300c20eaa2f4,Canning of legumes,12,product-flow,"Reinforcing steel, at plant",b38bbde0-a4b0-347f-8136-ce520abfa557,bafu-2026,,kilogram,reinforcing;steel;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
