group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",1,elementary-flow,Sulfur hexafluoride,fe0acd60-3ddc-11dd-ac51-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,sulfur;hexafluoride,1.1169e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",2,elementary-flow,Waste Heat,d86beca9-6555-11dd-ad8b-0800200c9a66,ef-3.1-biosphere,soil,megajoule,waste;heat,0.011879,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",3,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-9136-0050c2490048,ef-3.1-biosphere,air,megajoule,waste;heat,0.014519,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",4,product-flow,"Electricity, high voltage, at grid",7cb473fc-2443-3beb-a89c-8589dbd20802,bafu-2026,,kilowatt hour,electricity;high;voltage;grid,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",5,product-flow,"Sulphur hexafluoride, liquid, at plant",b1ff97f2-2364-3290-86c7-d513fd4be2e9,bafu-2026,,kilogram,sulphur;hexafluoride;liquid;plant,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",6,product-flow,"Transmission network, electricity, medium voltage",06d98654-745e-3a79-90f8-65d2aeb01ac3,bafu-2026,,kilometer,transmission;network;electricity;medium;voltage,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",7,product-flow,"Electricity, production mix photovoltaic, at plant",98d8c27e-4603-3c15-b75a-fe61a5997d33,bafu-2026,,kilowatt hour,electricity;production;mix;photovoltaic;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",8,product-flow,"Electricity, hydropower, at pumped storage power plant",d1fd54ad-b901-32d3-9ff3-04c1fc369e9b,bafu-2026,,kilowatt hour,electricity;hydropower;pumped;storage;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",9,product-flow,"Acetic anhydride, at plant",6b185c51-0cd3-3d75-87b6-baad9bd56832,bafu-2026,,kilogram,acetic;anhydride;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",10,product-flow,"Reinforcing steel, at regional storage",36f49fc8-c223-3f57-82e4-aef9bab9ee05,bafu-2026,,kilogram,reinforcing;steel;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",11,product-flow,"Electricity, oil, at power plant",a2d692d8-0af5-3bb8-ae7b-8f9db42c9301,bafu-2026,,kilowatt hour,electricity;oil;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",12,product-flow,"Electricity, production mix photovoltaic, at plant",d2ecb765-db25-37a5-b678-26606f6e2cf1,bafu-2026,,kilowatt hour,electricity;production;mix;photovoltaic;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",13,product-flow,"Electricity, hydropower, at pumped storage power plant",6b1b001e-2301-3690-8f42-ce6992cb886e,bafu-2026,,kilowatt hour,electricity;hydropower;pumped;storage;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",14,product-flow,"Concrete, normal, at plant",9dc7ef6a-1dcc-3968-b7ac-675141e0f5fa,bafu-2026,,cubic meter,concrete;normal;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",15,product-flow,"Calcium carbide, technical grade, at plant",879ab927-95ca-349b-88cb-a1dff6e58d48,bafu-2026,,kilogram,calcium;carbide;technical;grade;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S1-report-transcription,c392dd88-9aec-3f5b-98f9-9b6ba57c5e20,"Electricity, medium voltage, at grid",16,product-flow,"Natural gas, burned in gas turbine",8f9333a2-1cd4-353a-8a43-96c6910d440a,bafu-2026,,megajoule,natural;gas;burned;gas;turbine,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
