group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",1,elementary-flow,Ammonia,08a91e70-3ddc-11dd-a2a9-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,ammonia,4.67e-07,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",2,elementary-flow,Benzo[a]pyrene,08a91e70-3ddc-11dd-9221-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,benzo;pyrene,7.01e-10,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",3,elementary-flow,Cadmium,08a91e70-3ddc-11dd-9674-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,cadmium,2.34e-10,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",4,elementary-flow,Carbon Dioxide (fossil),08a91e70-3ddc-11dd-923d-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,carbon;dioxide,0.076867,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",5,elementary-flow,Carbon Monoxide (fossil),08a91e70-3ddc-11dd-924e-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,carbon;monoxide,0.023766,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",6,elementary-flow,Chromium,08a91e70-3ddc-11dd-9acc-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,chromium,1.17e-09,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",7,elementary-flow,Copper,fe0acd60-3ddc-11dd-a7a0-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,copper,3.97e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",8,elementary-flow,Nitrous Oxide,08a91e70-3ddc-11dd-94c3-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,nitrous;oxide,2.8e-06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",9,elementary-flow,"2,3,7,8-tetrachlorodibenzo-p-dioxin",08a91e70-3ddc-11dd-92f7-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,tetrachlorodibenzo;dioxin,1.4e-15,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,ce890b07-c419-41bf-83b9-ff19734f38f6,"Petrol, burned in building machine, with particle filter",10,elementary-flow,Waste Heat,08a91e70-3ddc-11dd-9136-0050c2490048,ef-3.1-biosphere,air,megajoule,waste;heat,1.06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
