group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",1,elementary-flow,Potassium,08a91e70-3ddc-11dd-97c3-0050c2490048,ef-3.1-biosphere,water,kilogram,potassium,5e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",2,elementary-flow,Potassium-40,08a91e70-3ddc-11dd-97cc-0050c2490048,ef-3.1-biosphere,water,kilo Becquerel,potassium;40,0.059,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",3,elementary-flow,Biological Oxygen Demand,08a91e70-3ddc-11dd-97de-0050c2490048,ef-3.1-biosphere,water,kilogram,biological;oxygen;demand,2.5e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",4,elementary-flow,Radium-226,08a91e70-3ddc-11dd-98bf-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilo Becquerel,radium;226,0.029,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",5,elementary-flow,Thorium-232,ab120425-d600-5d58-af01-54739888f962,bafu-2026-residual,emissions to water / river,kilo Becquerel,thorium;232,0.011,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",6,elementary-flow,"Suspended Solids, Unspecified",618d3d9a-9f85-417d-b0c4-e87942a9e345,ef-3.1-biosphere,water,kilogram,suspended;solids;unspecified,3e-06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",7,elementary-flow,Sodium,08a91e70-3ddc-11dd-9505-0050c2490048,ef-3.1-biosphere,water,kilogram,sodium,0.0025,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",8,elementary-flow,Chloride,08a91e70-3ddc-11dd-9508-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,chloride,0.25,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",9,elementary-flow,Polonium-210,08a91e70-3ddc-11dd-97bf-0050c2490048,ef-3.1-biosphere,water,kilo Becquerel,polonium;210,0.047,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,d9b34c0e-fef5-3aba-adca-36022bd418c2,"SOx retained, in hard coal flue gas desulphurisation",10,elementary-flow,Boron,08a91e70-3ddc-11dd-a0fb-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to water,kilogram,boron,0.00033,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
