group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",1,elementary-flow,Methane (fossil),fe0acd60-3ddc-11dd-a8e6-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,methane,0.0018398,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",2,elementary-flow,Ethane,4d9a8790-3ddd-11dd-921c-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,ethane,0.00015239,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",3,elementary-flow,Propane,08a91e70-3ddc-11dd-9124-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,propane,3.4284e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",4,elementary-flow,Butane,4d9a8790-3ddd-11dd-94c5-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,butane,1.763e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",5,elementary-flow,Non-methane Volatile Organic Compounds,08a91e70-3ddc-11dd-a305-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,non;methane;volatile;organic;compounds,1.2695e-06,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",6,elementary-flow,Carbon Dioxide (fossil),08a91e70-3ddc-11dd-9c13-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,carbon;dioxide,6.3642e-05,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",7,elementary-flow,Mercury,fe0acd60-3ddc-11dd-a8c7-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,mercury,2.7755e-11,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",8,elementary-flow,Bromochlorodifluoromethane,04202055-6556-11dd-ad8b-0800200c9a66,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,bromochlorodifluoromethane,2.24e-09,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",9,elementary-flow,Trifluoromethane,fe0acd60-3ddc-11dd-9e58-0050c2490048,ef-3.1-biosphere,Emissions / Emissions to air,kilogram,trifluoromethane,8.946e-08,direct flow of the target process (ground truth),biosphere keyword search on the process's own flows
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",10,product-flow,"Natural gas, at production",4bac1a14-df79-32c9-97d6-9a061208bc08,bafu-2026,,normal cubic meter,natural;gas;production,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S1-report-transcription,e3ab46d3-e956-39a8-82a7-a3aadad346ff,"Transport, natural gas, offshore pipeline, long distance",11,product-flow,"Natural gas, burned in gas turbine",cecd8376-0cf1-3e4d-84ff-4842fe02ef8f,bafu-2026,,megajoule,natural;gas;burned;gas;turbine,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
