group,case_code,case_name,rank,kind,name,code,database,compartment,unit,search_words,starting_amount,amount_kind,source
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",1,product-flow,"Yarn production, cotton fibres",37b6099c-6662-3634-8c61-878b0d3c3b8d,bafu-2026,,kilogram,yarn;production;cotton;fibres,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",2,product-flow,"Cotton fibres, ginned, at farm",4e1dc5c9-832f-3030-8410-143fd7488787,bafu-2026,,kilogram,cotton;fibres;ginned;farm,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",3,product-flow,"Cotton fibres, at farm",1a105ad6-27a0-3257-a28a-457b1fa2ddda,bafu-2026,,kilogram,cotton;fibres;farm,0.0,amount-free (solver recovers it),technosphere keyword search (evidence input list)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",4,product-flow,"Polyvinylchloride, at regional storage",36f2eccd-a31b-330a-b685-b87163460c36,bafu-2026,,kilogram,polyvinylchloride;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",5,product-flow,"Concrete, normal, at plant",9dc7ef6a-1dcc-3968-b7ac-675141e0f5fa,bafu-2026,,cubic meter,concrete;normal;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",6,product-flow,"Hydrochloric acid, 30% in H2O, at plant",2f8b5baa-5930-3460-bca9-ad90d49c1d36,bafu-2026,,kilogram,hydrochloric;acid;30%;h2o;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",7,product-flow,"Treatment, sewage, to wastewater treatment, class 3",9360a3cb-1d99-43ff-b12b-d12795f0332e,bafu-2026,,cubic meter,treatment;sewage;wastewater;treatment;class,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",8,product-flow,"Transport, freight, lorry, 7.5t-16t gross weight, fleet average",a4f7817d-ef76-3fb0-943c-12c43ed07da7,bafu-2026,,ton kilometer,transport;freight;lorry;16t;gross;weight;fleet;average,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",9,product-flow,"Nitric acid, 50% in H2O, at plant",7a00c9c5-a12c-35bc-8f31-f557d19bb1d0,bafu-2026,,kilogram,nitric;acid;50%;h2o;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",10,product-flow,"Hard coal mix, at regional storage",18a520da-7695-3a17-a667-0171824c6ccb,bafu-2026,,kilogram,hard;coal;mix;regional;storage,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",11,product-flow,"Electricity, oil, at power plant",59d7b81b-1acb-3861-916c-bad19e939b61,bafu-2026,,kilowatt hour,electricity;oil;power;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",12,product-flow,"Xylene, at plant",a29aa0d5-9e37-34d7-8868-8a4fff95350a,bafu-2026,,kilogram,xylene;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
S3-top-down-model,f92cec91-c777-3762-a6d6-6be6706f42a5,"Yarn, cotton, at plant",13,product-flow,"P-dichlorobenzene, at plant",50f8a5f3-b278-337f-9f18-d3ba0b749c2b,bafu-2026,,kilogram,dichlorobenzene;plant,0.0,amount-free (solver recovers it),technosphere keyword search (distractor - plausible but wrong)
