rank,candidate,code,kind,group,fitted_amount,kept,true_amount,is_true_input
2,"Natural gas, burned in industrial furnace 1MW",045e458d-5776-3c92-82ff-274665aaa4fc,product-flow,S3-top-down-model,1.3083584117503901,True,1.33,True
1,"Flat glass, uncoated, at plant",e33d282a-b69e-320e-825a-ddb5e7264ad5,product-flow,S3-top-down-model,0.1220290835087743,True,0.12,True
3,"Transport, freight, lorry, fleet average",99f8a4b0-99b5-3130-924c-5de4c10b62ef,product-flow,S3-top-down-model,0.11206558888853646,True,0.112,True
11,"Natural gas, low pressure, at consumer",fa34a380-42a9-3e90-9a00-7b53a6adc62c,product-flow,S3-top-down-model,0.02235496143009492,True,,False
10,"Electricity, hydropower, at pumped storage power plant",72448e03-6c7d-3f25-baf7-fb94b30062a2,product-flow,S3-top-down-model,0.0039003755713845067,True,,False
6,"Disposal, slag, unalloyed electr. steel, 0% water, to residual material landfill",894adf51-a434-49a7-9bfb-a777a03b45c0,product-flow,S3-top-down-model,0.0014107954176838283,True,,False
9,"Light fuel oil, burned in boiler 100kW, non-modulating",09da51a8-f8ca-3270-bfa4-7749767952a7,product-flow,S3-top-down-model,0.0004513068987098916,True,,False
13,"Electricity, lignite, at power plant",648a9a0c-e893-3a71-a4e7-f38042cc1597,product-flow,S3-top-down-model,0.00035109504909696624,True,,False
5,"Formaldehyde, production mix, at plant",cc69be77-6d77-3b80-b750-d870a31630e1,product-flow,S3-top-down-model,0.00026736413250967177,True,,False
8,"Disposal, glider, for passenger car",d0a5ab89-9134-36c5-a56a-bf1f83c204ae,product-flow,S3-top-down-model,0.00021274955606211967,True,,False
7,"Glass wool mat, at plant",3ae98d80-01bb-3de0-9021-a303378d8a99,product-flow,S3-top-down-model,0.00018041206231732165,True,,False
12,"Ethylvinylacetate, foil, at plant",1ef6ea99-4478-3315-b947-9ba1e37bd1e8,product-flow,S3-top-down-model,0.00011032281071162266,True,,False
4,"Furnace, wood chips, mixed, 1000kW",4f86426a-e9a6-38c8-8eb1-b2d759e37b1b,product-flow,S3-top-down-model,9.819203886833568e-09,False,,False
