rank,candidate,code,kind,group,fitted_amount,kept,true_amount,is_true_input
24,"Process-specific burdens, sanitary landfill",f332a783-d9b1-45a4-9616-50cfbcc4d98c,product-flow,S1-report-transcription,1.0042228438892218,True,1.0,True
3,"Electricity from waste, at municipal waste incineration plant",a9f81d35-ac75-3917-8e35-e9c000a104e6,product-flow,S1-report-transcription,0.1,True,6.71e-07,True
14,"Heat from waste, at municipal waste incineration plant",cc476d2d-20a3-3064-a77e-8d173cc5ac5e,product-flow,S1-report-transcription,0.1,True,3.91e-06,True
17,"Transport, freight, lorry, 16t-32t gross weight, fleet average",eb5552ed-63a8-374d-8fa4-296f644c37f8,product-flow,S1-report-transcription,0.00012160821519205717,True,9.07e-07,True
31,"Powder coating, aluminium sheet",b3bbff04-9f71-3acc-b827-19bd99e6f9b6,product-flow,S1-report-transcription,5.139323898474132e-05,True,,False
18,"Disposal, cement, hydrated, 0% water, to residual material landfill",6eb70d13-4a43-4a65-9090-90749e3369af,product-flow,S1-report-transcription,4.800405921577068e-05,True,8.2e-08,True
21,"Electricity, low voltage, at grid",c4a92617-9f99-3d7b-95c0-15fb110b80ad,product-flow,S1-report-transcription,2.5711724209210337e-05,True,7.45e-05,True
11,"Process-specific burdens, slag compartment",ecdf22c7-d4e1-4421-9a03-1315367c1808,product-flow,S1-report-transcription,8.834651536969935e-07,False,1.88e-07,True
2,"Process-specific burdens, residual material landfill",89a4ae2f-2679-47a7-90b3-834244ba3384,product-flow,S1-report-transcription,1.3518845103195283e-08,False,8.2e-08,True
13,"Sewer grid, class 3",d30ff55c-cadd-3d65-bc68-2fc14d754a08,product-flow,S1-report-transcription,6.167446462679435e-10,False,5.45e-10,True
23,Sanitary landfill facility,3b5a45d2-6fef-32bc-bb7d-37ddb271581d,product-flow,S1-report-transcription,5.507473960859074e-10,False,5.56e-10,True
25,"Wastewater treatment plant, class 3",5ae22488-0b2a-3888-8a6b-c5df9adab1be,product-flow,S1-report-transcription,9.624624763313133e-12,False,1.42e-11,True
34,Mixed construction and demolition waste to sorting,51dbeb1f-83a6-40af-975c-7997408176a1,product-flow,S1-report-transcription,6.942803605646275e-14,False,,False
6,"Process-specific burdens, municipal waste incineration",edab3419-2301-42b6-869a-5c9c606a2ff3,product-flow,S1-report-transcription,4.193869668396518e-17,False,4.66e-06,True
5,"Natural gas, burned in boiler modulating >100kW",3b3545b6-561a-36c3-ac77-5e648b0b1d74,product-flow,S1-report-transcription,3.918716013608639e-17,False,4.69e-05,True
8,"Disposal, plastics, mixture, 15.3% water, to municipal incineration",3cef9fc0-0cf8-42ba-88f5-0ff65ef6169f,product-flow,S1-report-transcription,2.831933466733737e-17,False,3.88e-05,True
