rank,candidate,code,kind,group,fitted_amount,kept,true_amount,is_true_input
2,"Copper, primary, at refinery",602d023d-19c6-3ecf-a6dc-e662664612d0,product-flow,S3-top-down-model,0.10358995225928583,True,0.10361,True
4,"Sanitary ceramics, at regional storage",85c77d40-863e-3d84-86b2-a46403916c29,product-flow,S3-top-down-model,0.036592468144396775,True,0.036595,True
20,"Electricity, production mix photovoltaic, at plant",aacb9404-aa84-3770-afcc-089920851b27,product-flow,S3-top-down-model,0.033189195440915885,True,,False
3,"Polyester resin, unsaturated, at plant",0ae933a6-b6ac-3604-9e28-f378ad4e80d6,product-flow,S3-top-down-model,0.028437471842452298,True,0.028439,True
7,"Polypropylene, granulate, at plant",09cda8b1-b652-39b2-8761-c93aecc29f70,product-flow,S3-top-down-model,0.012947117932218054,True,0.013873,True
8,"Polyethylene, HDPE, granulate, at plant",6738f024-eb64-3ef8-837e-05b84c6e43da,product-flow,S3-top-down-model,0.01249091733203621,True,0.011456,True
5,"Tin, at regional storage",128906db-c099-3e6a-806c-83b9fb5b86f5,product-flow,S3-top-down-model,0.004151113526727393,True,0.0041584,True
14,"Hydrogen sulphide, H2S, at plant",c4fb13df-afca-31f0-a6bc-c7e552b6020a,product-flow,S3-top-down-model,0.004118007997062398,True,,False
9,"Nickel, 99.5%, at plant",0c0946ca-aaca-3de0-b0f2-26754f651b1b,product-flow,S3-top-down-model,0.0019593834307954903,True,0.001941,True
16,"Sheet rolling, copper",cc7e838a-99f1-3477-a3ea-04d56ecb13c0,product-flow,S3-top-down-model,0.0016507461859856189,True,,False
10,"Epoxy resin, liquid, at plant",c80b8e9e-8a0d-36f6-a4a2-1509d03e42c2,product-flow,S3-top-down-model,0.0009548631137045604,True,0.00097497,True
1,"Gold, at regional storage",11feb7b6-02c2-39c7-9482-ec13915550f6,product-flow,S3-top-down-model,9.219213552556771e-05,True,9.2207e-05,True
6,"Silver, from combined gold-silver production, at refinery",76943d5f-8e51-38f2-918d-bf9e6606cc64,product-flow,S3-top-down-model,3.246385951741406e-05,True,3.1528e-05,True
17,"Tap water, at user",6556440f-cd03-3975-9615-023309701fe2,product-flow,S3-top-down-model,1.3650439597806928e-08,True,,False
15,"Sweet gas, burned in gas turbine, production",5f3b8f7e-ce26-35d4-8860-75c9e3d2016b,product-flow,S3-top-down-model,3.261585211492733e-09,True,,False
12,"Disposal, refinery sludge, 89.5% water, to hazardous waste incineration",cf21cb6f-fd39-49b3-bb3b-70581f9fa170,product-flow,S3-top-down-model,6.374593704246391e-10,True,,False
13,"Powder coating, aluminium sheet",b3bbff04-9f71-3acc-b827-19bd99e6f9b6,product-flow,S3-top-down-model,5.445494685804089e-10,True,,False
11,"Natural gas, burned in gas turbine",c56cb441-7851-31bb-a08f-018d0266e84e,product-flow,S3-top-down-model,1.153254275500381e-10,True,,False
19,"Regional distribution, oil products",4f7cc4ce-e72a-389c-bae5-c6138af12706,product-flow,S3-top-down-model,1.8770596829810354e-11,True,,False
18,"Disposal, municipal solid waste, 22.9% water, to sanitary landfill",d945c4fe-a169-4132-930c-94d1be1116ea,product-flow,S3-top-down-model,2.2692719665596286e-30,True,,False
