flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,29.469086489052803
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,10.416144434211835
Hard Coal,Resources / Resources from ground,megajoule,9.531493187978096
Waste Heat,air,megajoule,6.1558850124024564
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,1.7184010733316823
Waste Heat,water,megajoule,1.6028632040700608
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.9841839280147516
Water,Emissions / Emissions to water,cubic meter,0.6268538501387072
Waste Heat,air,megajoule,0.6119044138907372
Water to turbine,Resources / Resources from water,cubic meter,0.5912787144748424
Waste Heat,air,megajoule,0.5261299636074583
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.41927162915000643
Natural Gas,Resources / Resources from ground,megajoule,0.40274423824843475
Uranium,Resources / Resources from ground,megajoule,0.39900021832191224
Crude Oil,Resources / Resources from ground,megajoule,0.3405859958622621
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.28035984959050914
Waste Heat,soil,megajoule,0.18824049702723483
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.1596813560978168
Gravel,soil,kilogram,0.10841660759670332
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.10292966204380948
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.09881319588329054
Brown Coal,Resources / Resources from ground,megajoule,0.0915994195392558
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.07137775780253065
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.04348187860128092
"Energy, Solar, Converted",natural resource,megajoule,0.03738284871151236
Water To Cooling,Resources / Resources from water,cubic meter,0.036265262118471885
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.02751956501253084
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.024566330111771506
Calcite,resources / in ground,kilogram,0.019516278135310063
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.017609759615830282
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.01755440829170633
"Water, salt, ocean",resources / in water,cubic meter,0.01283232399275012
Water,water,cubic meter,0.012791742072448264
"Forest, Intensive",Land use / Land occupation,square meter-year,0.012720543145786687
calcium,Emissions / Emissions to water,kilogram,0.011929095603484194
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.010024257202687835
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.007311028544381143
Chloride,Emissions / Emissions to water,kilogram,0.006682613151501376
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.0064030294533996245
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.006091450927927215
Silicon,Emissions / Emissions to water,kilogram,0.0059656467914376635
Sodium,"emissions to water / groundwater, long-term",kilogram,0.005885705528088186
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.00576084658171875
magnesium,Emissions / Emissions to water,kilogram,0.0056580257347473295
Platinum,air,kilogram,0.00519184303890468
Potassium,"emissions to water / groundwater, long-term",kilogram,0.003967326935524245
"Volume Occupied, Reservoir",land use,cubic meter-year,0.0037068697896514347
Dump Site,Land use / Land occupation,square meter-year,0.0034734820422833205
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0034477403078920156
Methane (fossil),Emissions / Emissions to air,kilogram,0.003278797859427817
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.003264514652773219
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.003095777404001156
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0030448424251940894
Radon-220,air,kilo Becquerel,0.002789264610891218
river water,Resources / Resources from water,cubic meter,0.0021928372469163225
Iron,Resources / Resources from ground,kilogram,0.002184812559833918
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.001967171929862755
Industrial Area,Land use / Land occupation,square meter-year,0.0016848361260096841
Phosphate,Emissions / Emissions to water,kilogram,0.001650382755137263
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0015403857321337866
Sulfate Ion,water,kilogram,0.0015343475187146623
Chemically polluted water,emissions to water / river,kilogram,0.0015324839410797582
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,0.0014292563885361014
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.0013902069829081474
Particles (> PM10),air,kilogram,0.0013514194955708619
chloride,Emissions / Emissions to water,kilogram,0.0013268205822519015
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.0011854431453797922
iron,Emissions / Emissions to water,kilogram,0.001171339676956688
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.0011304088065189418
Xenon-135,air,kilo Becquerel,0.001111576159110415
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0010528159646361382
Peat,Resources / Resources from ground,megajoule,0.0009875267681925867
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.0008410347622606042
Clay,soil,kilogram,0.0006582910714415273
Forest,Land use / Land occupation,square meter-year,0.0006545122364770701
Ground Water,Resources / Resources from water,cubic meter,0.0006412185021245091
Xenon-135m,air,kilo Becquerel,0.0006166667664749813
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0005847799049777831
Nitrate,Emissions / Emissions to water,kilogram,0.0005476081836782202
aluminium,Emissions / Emissions to water,kilogram,0.0004960429557451895
Lead-210,water,kilo Becquerel,0.0004857436772471285
Potassium-40,water,kilo Becquerel,0.000472582166000777
manganese,Emissions / Emissions to water,kilogram,0.0004635101097549951
Sodium chloride,resources / in ground,kilogram,0.0004595061621366644
Calcium,Emissions / Emissions to water,kilogram,0.00043965562272874797
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00040897190417809573
Waste Heat,water,megajoule,0.0003965350368121474
Water Bodies,land use,square meter-year,0.0003964356586271432
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.00039545203133359736
Polonium-210,water,kilo Becquerel,0.0003765272461340517
Copper,Resources / Resources from ground,kilogram,0.000359026392784006
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.0003476078495427398
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0003280562042094651
Dolomite,soil,kilogram,0.00032378032353336483
Water,Resources / Resources from water,cubic meter,0.00032354041652476724
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.00030034302014998314
Thorium-230,water,kilo Becquerel,0.00029735810092194534
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00028655151588381853
Argon-41,air,kilo Becquerel,0.0002725786783688645
Phosphate,Emissions / Emissions to water,kilogram,0.0002603784136996225
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0002568620959120578
Chloride,Emissions / Emissions to water,kilogram,0.00024388715759087398
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0002380309494452055
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.00023266233170238568
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.00022603121374208096
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.0002017866661724203
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.0001938278407463594
strontium,Emissions / Emissions to water,kilogram,0.00018907019488758567
Calcium,Emissions / Emissions to water,kilogram,0.00018229098962387484
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.0001765127749219618
Lead-210,water,kilo Becquerel,0.00017083184759387625
Radium-228,water,kilo Becquerel,0.0001693866197945665
Aluminium,Resources / Resources from ground,kilogram,0.0001657677553815535
Magnesite,soil,kilogram,0.00016185080182980953
Sulfate Ion,water,kilogram,0.00015935844365694662
Magnesium,Emissions / Emissions to water,kilogram,0.00015624031644224004
"To Forest, Intensive",Land use / Land transformation,square meter,0.0001508198229088406
"From Forest, Intensive",Land use / Land transformation,square meter,0.00014991962783350164
"To Arable, Non-irrigated",Land use / Land transformation,square meter,0.00014703118113766167
"From Arable, Non-irrigated",Land use / Land transformation,square meter,0.00014003288571918095
Sodium,water,kilogram,0.0001398612425548064
Sodium,water,kilogram,0.00012869999671143886
Xenon-138,air,kilo Becquerel,0.00012036916329065763
Methane (fossil),Emissions / Emissions to air,kilogram,0.00011658981827006037
Radium-228,water,kilo Becquerel,0.0001151777641620093
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.00011397104640587297
"Suspended Solids, Unspecified",water,kilogram,0.00010713909217984715
Methane (fossil),Emissions / Emissions to air,kilogram,0.00010376919546062302
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.00010044911350023325
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.00010042786310191457
From Pasture/meadow,Land use / Land transformation,square meter,9.985731574041541e-05
Aluminium,Emissions / Emissions to air,kilogram,9.48447809169863e-05
Xenon-131m,air,kilo Becquerel,8.8689790847064e-05
Thorium-232,emissions to water / river,kilo Becquerel,8.811095007930052e-05
