flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,26668.236228841062
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,9282.878780305913
Water,Emissions / Emissions to water,cubic meter,2221.16509006213
Water to turbine,Resources / Resources from water,cubic meter,2218.8186804891225
Waste Heat,air,megajoule,1030.2839472413543
Waste Heat,air,megajoule,647.0729415615185
Natural Gas,Resources / Resources from ground,megajoule,452.20441733147345
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,386.07715600620224
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,373.66030642710973
Uranium,Resources / Resources from ground,megajoule,363.2968464731811
Hard Coal,Resources / Resources from ground,megajoule,330.1412858800423
Crude Oil,Resources / Resources from ground,megajoule,317.5983100916428
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,243.15033605718338
Radon-222,Emissions / Emissions to air,kilo Becquerel,242.7143411882904
"Waste mass, total, placed in landfill",resources / in ground,kilogram,238.24018731154354
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,196.45732819721408
Waste Heat,water,megajoule,126.08780527972421
Gravel,soil,kilogram,123.81844297312412
Waste Heat,air,megajoule,107.19127672169753
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,101.13101215729544
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,71.03735886704925
Brown Coal,Resources / Resources from ground,megajoule,61.69911258735062
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,52.89759242667937
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,45.97902735277099
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,39.946486709381844
"Water, salt, ocean",resources / in water,cubic meter,33.76453534104397
calcium,Emissions / Emissions to water,kilogram,33.76380600297845
Water,water,cubic meter,33.709945568840055
Calcite,resources / in ground,kilogram,25.872380379841257
Clay,soil,kilogram,24.563312743666152
"Energy, Solar, Converted",natural resource,megajoule,24.54218958273147
"Clay, bentonite",resources / in ground,kilogram,19.950214310834536
Krypton-85,Emissions / Emissions to air,kilo Becquerel,19.59721666236812
Forest,Land use / Land occupation,square meter-year,15.97128884233601
Silicon,Emissions / Emissions to water,kilogram,12.729998120965725
Iron,Resources / Resources from ground,kilogram,12.591030433958782
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,11.24321275086555
carbon dioxide (biogenic),Resources / Resources from air,kilogram,9.490783310393114
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,8.614123106080916
Sulfate,"emissions to water / groundwater, long-term",kilogram,8.438077231941259
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,8.142891033773239
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,7.567954934910353
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,5.357858378152211
"Forest, Intensive",Land use / Land occupation,square meter-year,4.25026595830513
Chromium,Resources / Resources from ground,kilogram,3.922035255717203
Sodium chloride,resources / in ground,kilogram,3.9130009166979143
Xenon-133,Emissions / Emissions to air,kilo Becquerel,3.8407724314083245
"Volume Occupied, Reservoir",land use,cubic meter-year,3.4258189377818367
Radium-226,Emissions / Emissions to water,kilo Becquerel,3.0848527956955456
Platinum,air,kilogram,2.790625388224194
Sodium,"emissions to water / groundwater, long-term",kilogram,2.3510027181730875
Nickel,Resources / Resources from ground,kilogram,2.242588658949873
magnesium,Emissions / Emissions to water,kilogram,1.87008674817099
Dolomite,soil,kilogram,1.8545074633478937
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,1.7937896830024873
Chemically polluted water,emissions to water / river,kilogram,1.7108583009104397
Xenon-135,air,kilo Becquerel,1.4828702416482165
Waste Heat,soil,megajoule,1.2106202402491593
Strontium-90,Emissions / Emissions to water,kilo Becquerel,1.097862815209463
Carbon-14,Emissions / Emissions to air,kilo Becquerel,1.0882979335728993
Water,Resources / Resources from water,cubic meter,1.0779341976086143
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,1.059276933367433
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,0.971321432718229
Water To Cooling,Resources / Resources from water,cubic meter,0.9496772213899165
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.9382173626493443
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.9153230296150826
Xenon-135m,air,kilo Becquerel,0.9138759310279204
Industrial Area,Land use / Land occupation,square meter-year,0.8857402352097619
Aluminium,Resources / Resources from ground,kilogram,0.8185702783314944
Waste Heat,water,megajoule,0.6895124750245775
Chloride,Emissions / Emissions to water,kilogram,0.6834861091986055
Dump Site,Land use / Land occupation,square meter-year,0.6753244406189588
Sulfate Ion,water,kilogram,0.5970087101105066
Copper,Resources / Resources from ground,kilogram,0.591156866771502
Potassium,"emissions to water / groundwater, long-term",kilogram,0.5653248700608022
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.5219710184975204
Peat,Resources / Resources from ground,megajoule,0.5081206846601644
Magnesite,soil,kilogram,0.5012334123035423
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.4853141466116333
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.48531414661162997
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.4776976030246888
iron,Emissions / Emissions to water,kilogram,0.45152603466877694
Sulfate Ion,water,kilogram,0.43973965244845653
"Suspended Solids, Unspecified",water,kilogram,0.3999357247143257
Waste water,emissions to water / river,kilogram,0.3745829182244105
river water,Resources / Resources from water,cubic meter,0.37040319663133975
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.33745073233975115
Chloride,Emissions / Emissions to water,kilogram,0.3089453071320084
"Organic carbon, placed in landfill",resources / in ground,kilogram,0.2969275231079044
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.29158981877658485
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.28928583523402335
