flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,32.29985367897877
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,10.980431349434724
"Energy, Geothermal, Converted",natural resource,megajoule,1.0000019385802257
Water,Emissions / Emissions to water,cubic meter,0.6484966474939913
Water to turbine,Resources / Resources from water,cubic meter,0.648010379039123
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.44203869979786387
Uranium,Resources / Resources from ground,megajoule,0.43662112150403715
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.35301181588071595
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.2859877618049637
Waste Heat,air,megajoule,0.2728012538660131
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.11335839772468817
Waste Heat,air,megajoule,0.06807673994002822
Natural Gas,Resources / Resources from ground,megajoule,0.05997186893330996
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.055457803254236764
Crude Oil,Resources / Resources from ground,megajoule,0.046762684484585315
Waste Heat,air,megajoule,0.0330023452183159
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.022167174243337865
Brown Coal,Resources / Resources from ground,megajoule,0.018293653250432834
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.018261368692005647
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.01740805245538434
Hard Coal,Resources / Resources from ground,megajoule,0.013673244550057662
"Energy, Solar, Converted",natural resource,megajoule,0.012956185813382173
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.012732845941326787
Waste Heat,water,megajoule,0.010406412673762624
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.006916704885761207
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.00611490311868896
Gravel,soil,kilogram,0.005846328211166361
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.004074703750362555
"Water, salt, ocean",resources / in water,cubic meter,0.0033091216467146492
Water,water,cubic meter,0.003271390171770607
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0028072747005331057
Xenon-135,air,kilo Becquerel,0.0028048971671408344
"Volume Occupied, Reservoir",land use,cubic meter-year,0.002761771424712048
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.0026957611135732143
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.002164569442062653
"Forest, Intensive",Land use / Land occupation,square meter-year,0.002107106044094889
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.0019131701450414802
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.001886869824479819
Xenon-135m,air,kilo Becquerel,0.0018357659457446083
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00150579598705192
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.0014491148828388524
Waste water,emissions to water / river,kilogram,0.0013971885093150519
Waste Heat,soil,megajoule,0.0013321887212879328
Calcite,resources / in ground,kilogram,0.0012592254092754036
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0012257189017025022
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.001109749248005502
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.0008377518071195554
Air,air,kilogram,0.0008368684024269637
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.0008019418927706436
Used Air,air,kilogram,0.0005218045278068938
Waste water,emissions to water / ocean,kilogram,0.000514605826098961
calcium,Emissions / Emissions to water,kilogram,0.0004475428194594358
Xenon-138,air,kilo Becquerel,0.0004303586647442495
Waste Heat,water,megajoule,0.00031829588998332945
river water,Resources / Resources from water,cubic meter,0.0003092821646316512
Thorium-230,water,kilo Becquerel,0.000295957432084399
Platinum,air,kilogram,0.0002934374854251481
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.0002913795561159315
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.00021722906975656176
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.00021271440029596673
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00021075814918189515
Xenon-131m,air,kilo Becquerel,0.00020106543106694294
Forest,Land use / Land occupation,square meter-year,0.00018403580477937444
Chemically polluted water,emissions to water / river,kilogram,0.00017182131186372523
Krypton-85m,air,kilo Becquerel,0.00016228860467452534
Water,Resources / Resources from water,cubic meter,0.00015273768833654562
Iron,Resources / Resources from ground,kilogram,0.00015103960849535686
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.00014082216997187818
Water To Cooling,Resources / Resources from water,cubic meter,0.00013410891569105637
Silicon,Emissions / Emissions to water,kilogram,0.00012657704210345983
magnesium,Emissions / Emissions to water,kilogram,0.00012603332340559194
Clay,soil,kilogram,0.00010601907312512217
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,9.552172521183422e-05
Sodium,"emissions to water / groundwater, long-term",kilogram,9.186453077445226e-05
Uranium alpha,emissions to water / river,kilo Becquerel,8.100605348627295e-05
Potassium,"emissions to water / groundwater, long-term",kilogram,7.856577606502441e-05
Sulfate Ion,water,kilogram,7.81847298591091e-05
"Heat, waste","emissions to water / groundwater, long-term",megajoule,7.089114124943619e-05
Water Bodies,land use,square meter-year,6.797541192396054e-05
Aluminium,Resources / Resources from ground,kilogram,6.782093139471205e-05
Basalt,soil,kilogram,6.626435767586549e-05
Inland Water Bodies,land use,square meter-year,6.540832727930417e-05
Chloride,Emissions / Emissions to water,kilogram,6.41184067486749e-05
Xenon-133,Emissions / Emissions to air,kilo Becquerel,6.200326378499422e-05
Uranium alpha,emissions to water / lake,kilo Becquerel,6.0924584615958414e-05
Xenon-137,air,kilo Becquerel,5.7591533076840284e-05
Krypton-88,air,kilo Becquerel,5.011815845593641e-05
Copper,Resources / Resources from ground,kilogram,4.870270700010334e-05
Sodium chloride,resources / in ground,kilogram,4.542587647670039e-05
iron,Emissions / Emissions to water,kilogram,4.415434696196256e-05
Argon-41,air,kilo Becquerel,4.2897084181482626e-05
Krypton-87,air,kilo Becquerel,3.819525843656579e-05
Water,air,cubic meter,3.6847210480630824e-05
chloride,Emissions / Emissions to water,kilogram,3.664185717371709e-05
Chloride,Emissions / Emissions to water,kilogram,3.372462160147808e-05
Industrial Area,Land use / Land occupation,square meter-year,3.305726898283867e-05
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,2.883857098678525e-05
Xenon-135,air,kilo Becquerel,2.8615484129194324e-05
aluminium,Emissions / Emissions to water,kilogram,2.7919376441146296e-05
Phosphate,Emissions / Emissions to water,kilogram,2.338468044066476e-05
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,2.3352938461909077e-05
"To Forest, Intensive",Land use / Land transformation,square meter,2.333923722186551e-05
"From Forest, Intensive",Land use / Land transformation,square meter,2.3319132209117655e-05
Waste Heat,water,megajoule,2.3076946895221622e-05
Radium-228,water,kilo Becquerel,2.2485916321489835e-05
Sulfate Ion,water,kilogram,2.2478797759251868e-05
Dolomite,soil,kilogram,2.244523006162762e-05
Peat,Resources / Resources from ground,megajoule,2.215767369178377e-05
Lead-210,water,kilo Becquerel,2.1829384499906165e-05
Sodium,water,kilogram,2.1573230944097815e-05
Dump Site,Land use / Land occupation,square meter-year,2.139857536547876e-05
Sodium,water,kilogram,2.107117987342719e-05
Krypton-89,air,kilo Becquerel,2.105333334758756e-05
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,1.978813472003564e-05
Methane (fossil),Emissions / Emissions to air,kilogram,1.9103291369011377e-05
copper,Emissions / Emissions to water,kilogram,1.864774287528541e-05
Chloride,Emissions / Emissions to water,kilogram,1.6433814306787504e-05
Radium-228,water,kilo Becquerel,1.3841848589734977e-05
Lead-210,water,kilo Becquerel,1.3713874476750698e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1.3147075754244984e-05
Ground Water,Resources / Resources from water,cubic meter,1.2452626378454852e-05
manganese,Emissions / Emissions to water,kilogram,1.2143175353813108e-05
Uranium-238,Emissions / Emissions to water,kilo Becquerel,1.1334244755833954e-05
Chemical Oxygen Demand,water,kilogram,1.1160988051311539e-05
Biological Oxygen Demand,water,kilogram,1.1074179653244363e-05
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,1.0304559976290925e-05
Iodine-131,Emissions / Emissions to air,kilo Becquerel,1.0295264405504461e-05
Methane (fossil),Emissions / Emissions to air,kilogram,9.95168665910227e-06
Barite,resources / in ground,kilogram,9.756971520986712e-06
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,9.516064828467286e-06
Nitrate,Emissions / Emissions to water,kilogram,9.195141262784528e-06
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,9.076988726811073e-06
Silver-110,Emissions / Emissions to water,kilo Becquerel,8.88066804409298e-06
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,8.842265919142518e-06
Magnesite,soil,kilogram,8.835366049283417e-06
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,8.28364974331806e-06
fluoride,Emissions / Emissions to water,kilogram,8.04285116205914e-06
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,7.986209804345686e-06
Xenon-133m,air,kilo Becquerel,7.838766889605432e-06
Phosphate,Emissions / Emissions to water,kilogram,7.68611367312346e-06
Mineral Extraction Site,Land use / Land occupation,square meter-year,7.66049504464094e-06
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,7.261185282888278e-06
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,7.249463697214468e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,7.056471391484847e-06
Uranium-235,Emissions / Emissions to water,kilo Becquerel,6.9323404796396815e-06
"Solids, Inorganic",water,kilogram,6.719184331621884e-06
Fluorspar,soil,kilogram,6.467884422586106e-06
Calcium,Emissions / Emissions to water,kilogram,6.466612805307836e-06
"Clay, bentonite",resources / in ground,kilogram,6.310148379759615e-06
Methane (biogenic),Emissions / Emissions to air,kilogram,6.268911058431708e-06
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,6.262807218369464e-06
Hypochlorite,water,kilogram,6.214832773703561e-06
Carbon-14,Emissions / Emissions to air,kilo Becquerel,5.7936107023361916e-06
Chromium,Resources / Resources from ground,kilogram,5.7268565467693235e-06
Radium-224,water,kilo Becquerel,5.669905510346803e-06
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,5.6200362115168245e-06
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,5.404908312934883e-06
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,5.404908312934489e-06
Radium-226,Emissions / Emissions to air,kilo Becquerel,5.174356832808118e-06
Total Organic Carbon,water,kilogram,5.034875160641688e-06
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,5.027999652627022e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,4.7964612313655144e-06
Xenon-138,air,kilo Becquerel,4.749238263957952e-06
Thorium-228,water,kilo Becquerel,4.50138140414496e-06
Xenon-137,air,kilo Becquerel,4.32603401954257e-06
zinc,Emissions / Emissions to water,kilogram,4.299689997403639e-06
Cesium-137,Emissions / Emissions to water,kilo Becquerel,4.18155981088788e-06
Nitrogen Oxides,Emissions / Emissions to air,kilogram,4.058473960335926e-06
Calcium,Emissions / Emissions to water,kilogram,4.051041894064369e-06
Uranium-234,Emissions / Emissions to water,kilo Becquerel,4.043980464637173e-06
Chemical Oxygen Demand,water,kilogram,3.995788942211958e-06
Agriculture,Land use / Land occupation,square meter-year,3.8866804067414036e-06
Lead,Resources / Resources from ground,kilogram,3.814952120672234e-06
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,3.6126882685935973e-06
"Organic carbon, placed in landfill",resources / in ground,kilogram,3.493925146469091e-06
Biological Oxygen Demand,water,kilogram,3.4934574899357333e-06
Radium-224,water,kilo Becquerel,3.490443403477476e-06
Particles (> PM10),air,kilogram,3.4723170098010335e-06
From Pasture/meadow,Land use / Land transformation,square meter,3.3419324854063417e-06
Thorium-234,water,kilo Becquerel,3.3400289263983553e-06
Protactinium-234,water,kilo Becquerel,3.3393766985383573e-06
"DOC, Dissolved Organic Carbon",water,kilogram,3.2548234173499448e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,3.1711685586695786e-06
Radon-220,air,kilo Becquerel,3.1710280607131695e-06
Iron,Emissions / Emissions to water,kilogram,3.1509694624677303e-06
Nickel,Resources / Resources from ground,kilogram,3.1208602848392648e-06
"To Arable, Non-irrigated",Land use / Land transformation,square meter,3.049646192977066e-06
boron,Emissions / Emissions to water,kilogram,2.9139910700556496e-06
"From Arable, Non-irrigated",Land use / Land transformation,square meter,2.8868365334477568e-06
strontium,Emissions / Emissions to water,kilogram,2.8609879741598207e-06
Zinc,Resources / Resources from ground,kilogram,2.8402452164524516e-06
"Agriculture, Mosaic",Land use / Land occupation,square meter-year,2.8298711948398972e-06
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,2.806244500710213e-06
Calcium,Emissions / Emissions to water,kilogram,2.800746176069867e-06
Thorium-228,water,kilo Becquerel,2.768446816659079e-06
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,2.746121726660338e-06
