flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,639271.341137665
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,117947.76487158253
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,30186.65474354478
Waste Heat,air,megajoule,27841.70823277301
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,12472.031823972768
Natural Gas,Resources / Resources from ground,megajoule,10998.101332152613
Water,Emissions / Emissions to water,cubic meter,10978.64554178835
Water to turbine,Resources / Resources from water,cubic meter,10880.331861365208
Crude Oil,Resources / Resources from ground,megajoule,10567.58631110947
Hard Coal,Resources / Resources from ground,megajoule,10520.115222442013
Uranium,Resources / Resources from ground,megajoule,8899.51093702514
Waste Heat,air,megajoule,7548.6572716734445
Radon-222,Emissions / Emissions to air,kilo Becquerel,6096.376680119461
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,5143.637397235711
Waste Heat,air,megajoule,5143.328687469415
Waste Heat,water,megajoule,3435.248581390763
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,3187.3197969299117
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,1886.4945002587913
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,1812.807839712494
Krypton-85,Emissions / Emissions to air,kilo Becquerel,1683.46785132551
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,1640.4257776573313
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,1292.5624084523238
Waste Heat,water,megajoule,1075.916134083353
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,908.9821710456613
Brown Coal,Resources / Resources from ground,megajoule,829.2310928672044
"Water, salt, ocean",resources / in water,cubic meter,787.9038728036604
Water,water,cubic meter,783.6426659282015
Gravel,soil,kilogram,694.928398441935
"Energy, Solar, Converted",natural resource,megajoule,642.3333282775129
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,547.7124324687418
"Waste mass, total, placed in landfill",resources / in ground,kilogram,509.6056856895713
Sulfate,"emissions to water / groundwater, long-term",kilogram,320.9395956706736
"Forest, Intensive",Land use / Land occupation,square meter-year,240.86983869803655
Calcite,resources / in ground,kilogram,212.70120585997427
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,193.6321935620677
carbon dioxide (biogenic),Resources / Resources from air,kilogram,176.7552824322189
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,173.55053038234527
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,172.46495399157575
