flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,69181.78605571167
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,23788.481434759848
Waste Heat,air,megajoule,4901.086837349873
Gravel,soil,kilogram,3525.0105259544134
Crude Oil,Resources / Resources from ground,megajoule,3075.8171907275796
"Gravel, resource correction",resources / in ground,kilogram,-1903.3000488281116
Water,Emissions / Emissions to water,cubic meter,1721.7706311914699
Water to turbine,Resources / Resources from water,cubic meter,1713.9614124755271
Waste Heat,water,megajoule,1380.2811534435718
"Sand, resource correction",resources / in ground,kilogram,-1069.7999116132387
Natural Gas,Resources / Resources from ground,megajoule,1055.5076639258507
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,957.5704461884858
Waste Heat,air,megajoule,953.7761418254909
Calcite,resources / in ground,kilogram,952.529133758289
Uranium,Resources / Resources from ground,megajoule,936.5341612602397
Radon-222,Emissions / Emissions to air,kilo Becquerel,624.2410295719923
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,623.0647427175907
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,379.1469759923786
Brown Coal,Resources / Resources from ground,megajoule,338.10754182640903
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,329.46603100163196
Waste Heat,air,megajoule,315.8956093857828
Hard Coal,Resources / Resources from ground,megajoule,297.45541183552035
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,280.38838290812305
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,221.23631176621598
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,108.56740834708876
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,97.42836939792545
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,69.37972520806927
"Water, salt, ocean",resources / in water,cubic meter,64.74381495199262
Water,water,cubic meter,64.65400168359304
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,62.983146688045075
"Energy, Solar, Converted",natural resource,megajoule,54.78438972990941
Clay,soil,kilogram,51.686393425472595
"Waste mass, total, placed in landfill",resources / in ground,kilogram,36.93078852144186
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,36.743190937752786
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,35.840811487021305
Gypsum,resources / in ground,kilogram,32.90469677413317
Shale,soil,kilogram,18.62727913091048
Krypton-85,Emissions / Emissions to air,kilo Becquerel,15.63091618908155
Radium-226,Emissions / Emissions to water,kilo Becquerel,14.974137491307589
carbon dioxide (biogenic),Resources / Resources from air,kilogram,14.619789458254157
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,13.572944775974731
Xenon-133,Emissions / Emissions to air,kilo Becquerel,12.11428179731225
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,11.332290209309045
Chemically polluted water,emissions to water / river,kilogram,11.003598366062256
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,9.545153343024777
Sulfate,"emissions to water / groundwater, long-term",kilogram,8.339425687837721
