flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,1.5503886102139657
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,0.4833868213289407
Waste Heat,air,megajoule,0.041308490416211666
Water,Emissions / Emissions to water,cubic meter,0.03577182476144994
Water to turbine,Resources / Resources from water,cubic meter,0.03556936278157281
Waste Heat,air,megajoule,0.022933537371336667
Uranium,Resources / Resources from ground,megajoule,0.021118748033211794
Natural Gas,Resources / Resources from ground,megajoule,0.020087408536852015
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.01962140616713106
Hard Coal,Resources / Resources from ground,megajoule,0.015659724194202
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.014320108364854006
Crude Oil,Resources / Resources from ground,megajoule,0.009786667989620836
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.009358961159523213
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.006039100607903121
Brown Coal,Resources / Resources from ground,megajoule,0.005351338144740084
Waste Heat,water,megajoule,0.0051124386398434425
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.004279890853497014
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.003406630991406927
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0028981092154100408
Waste Heat,air,megajoule,0.0027598039949357366
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0025722954295313597
"Energy, Solar, Converted",natural resource,megajoule,0.002400906473651283
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.0015712923451420052
"Water, salt, ocean",resources / in water,cubic meter,0.0014069998836020268
Water,water,cubic meter,0.0014042321297908554
Waste Heat,water,megajoule,0.0011679725613209853
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.0011447543985459222
Gravel,soil,kilogram,0.0011323153726402874
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0006994358898976618
Waste Heat,soil,megajoule,0.0006349972309017543
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.000509553083549184
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.000433087102436513
calcium,Emissions / Emissions to water,kilogram,0.0004039384438398474
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.0004033634788746874
"Forest, Intensive",Land use / Land occupation,square meter-year,0.0003692923684088443
Platinum,air,kilogram,0.00036085418550482523
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.0003389974997106399
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.00033366743958094044
Calcite,resources / in ground,kilogram,0.0002588692179383508
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.0002559872550873612
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.00022801377819339427
"Volume Occupied, Reservoir",land use,cubic meter-year,0.00022729327165789021
magnesium,Emissions / Emissions to water,kilogram,0.00021114295891827778
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00019736010972974972
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0001580254048429053
Sulfate Ion,water,kilogram,0.00015277014664926837
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.0001267061452216899
Potassium,"emissions to water / groundwater, long-term",kilogram,0.00011951661217457557
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.00011828409509419307
Water To Cooling,Resources / Resources from water,cubic meter,9.868232312937017e-05
Clay,soil,kilogram,9.569678959909322e-05
Silicon,Emissions / Emissions to water,kilogram,9.471486720247175e-05
Sodium chloride,resources / in ground,kilogram,8.82920538638291e-05
Chemically polluted water,emissions to water / river,kilogram,8.796531043649213e-05
Waste water,emissions to water / river,kilogram,8.520319261077003e-05
Forest,Land use / Land occupation,square meter-year,8.1352569687092e-05
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,7.914677876965684e-05
iron,Emissions / Emissions to water,kilogram,7.245954322853605e-05
Sodium,"emissions to water / groundwater, long-term",kilogram,6.019707195641795e-05
Peat,Resources / Resources from ground,megajoule,5.821032446039635e-05
river water,Resources / Resources from water,cubic meter,5.327107935864467e-05
Air,air,kilogram,5.103381484063844e-05
Carbon-14,Emissions / Emissions to air,kilo Becquerel,5.0992514124860586e-05
Iron,Resources / Resources from ground,kilogram,5.088930284056448e-05
Mineral Extraction Site,Land use / Land occupation,square meter-year,4.963289079131374e-05
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,4.896103690613371e-05
Xenon-135,air,kilo Becquerel,4.537782494387286e-05
Dump Site,Land use / Land occupation,square meter-year,4.3719979059271074e-05
Krypton-85,Emissions / Emissions to air,kilo Becquerel,4.340237442863507e-05
Ground Water,Resources / Resources from water,cubic meter,3.988573161388032e-05
Chloride,Emissions / Emissions to water,kilogram,3.957093359744747e-05
Waste Heat,water,megajoule,3.604584305858362e-05
"Heat, waste","emissions to water / groundwater, long-term",megajoule,3.4017041010789494e-05
Used Air,air,kilogram,3.182062505631267e-05
Water,Resources / Resources from water,cubic meter,3.1653914674161285e-05
Waste water,emissions to water / ocean,kilogram,3.138163463799813e-05
aluminium,Emissions / Emissions to water,kilogram,3.124685435444383e-05
