flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,6000.5270701378995
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,2193.719644018661
Waste Heat,air,megajoule,162.83332501579704
Waste Heat,air,megajoule,104.80719361309842
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,88.26386028972804
Uranium,Resources / Resources from ground,megajoule,81.40284449248175
Natural Gas,Resources / Resources from ground,megajoule,78.28290881597461
Waste Heat,air,megajoule,64.10498158146027
Crude Oil,Resources / Resources from ground,megajoule,58.60128914738899
Radon-222,Emissions / Emissions to air,kilo Becquerel,55.66583701346212
Water,Emissions / Emissions to water,cubic meter,54.9024492766381
Water to turbine,Resources / Resources from water,cubic meter,54.47664329604309
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,51.94868641452818
Hard Coal,Resources / Resources from ground,megajoule,42.7701498331571
Waste Heat,water,megajoule,28.162436776619018
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,22.148283206083498
"Waste mass, total, placed in landfill",resources / in ground,kilogram,10.878168226148043
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,10.074160552419515
Brown Coal,Resources / Resources from ground,megajoule,6.827662881886276
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,6.393365122693977
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,6.1227473191769
"Water, salt, ocean",resources / in water,cubic meter,5.757138403422108
Water,water,cubic meter,5.676346955492061
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,5.40666129098972
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,5.2489029730409245
Gravel,soil,kilogram,2.9152170839702887
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,2.884583147943232
"Energy, Solar, Converted",natural resource,megajoule,2.7242877783414654
"Volume Occupied, Reservoir",land use,cubic meter-year,2.2317254266271864
Aluminium,Resources / Resources from ground,kilogram,1.7332175821348599
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,1.6395187608308048
calcium,Emissions / Emissions to water,kilogram,1.5605029354235616
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,1.359366529685182
"Forest, Intensive",Land use / Land occupation,square meter-year,0.7500739265931524
Waste Heat,soil,megajoule,0.7272263556891202
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.6676476713435454
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.6489104210001033
Calcite,resources / in ground,kilogram,0.6194974633771151
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.5216469973819424
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.4648759527040879
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.41891806092338063
Sodium chloride,resources / in ground,kilogram,0.40131918355483986
Platinum,air,kilogram,0.3918438558141424
Chemically polluted water,emissions to water / river,kilogram,0.3623324048923459
Silicon,Emissions / Emissions to water,kilogram,0.3292449283232824
Water To Cooling,Resources / Resources from water,cubic meter,0.3155667885420739
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.3137686808887912
river water,Resources / Resources from water,cubic meter,0.3115671138612404
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.29565574667591427
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.22362531277117695
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.2216412059886495
Sodium,"emissions to water / groundwater, long-term",kilogram,0.19640838324864307
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.17997000820336043
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.15031620253938957
Chloride,Emissions / Emissions to water,kilogram,0.12611747372641194
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.11062810436997138
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.10289666598641474
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0989616195734124
Iron,Resources / Resources from ground,kilogram,0.08258497951482621
Clay,soil,kilogram,0.08177585364799127
magnesium,Emissions / Emissions to water,kilogram,0.0793420174750923
Peat,Resources / Resources from ground,megajoule,0.07456273014281253
Water Bodies,land use,square meter-year,0.07454346391654655
Sodium,water,kilogram,0.07259592564129191
aluminium,Emissions / Emissions to water,kilogram,0.07223092311201917
Forest,Land use / Land occupation,square meter-year,0.06705510943454232
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.0626000681137534
Thorium-230,water,kilo Becquerel,0.062376083259564175
Xenon-135,air,kilo Becquerel,0.06213570478307368
Chloride,Emissions / Emissions to water,kilogram,0.05879886674172021
Industrial Area,Land use / Land occupation,square meter-year,0.055667274491454026
Water,Resources / Resources from water,cubic meter,0.05449599268736939
Ground Water,Resources / Resources from water,cubic meter,0.052502301572396104
Sulfate Ion,water,kilogram,0.05171352714838789
Water,air,cubic meter,0.0477055463867647
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.042480784522858146
Radium-228,water,kilo Becquerel,0.040860985882640796
Lead-210,water,kilo Becquerel,0.039257927390858836
Sodium,water,kilogram,0.03791529321716571
Sulfate Ion,water,kilogram,0.036983098495690425
Waste Heat,water,megajoule,0.03230055667668953
Xenon-135m,air,kilo Becquerel,0.03227222608728161
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.02921022200318559
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.0292102220031855
Dump Site,Land use / Land occupation,square meter-year,0.028299925529063893
Radium-228,water,kilo Becquerel,0.028085126337057575
