flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,1945075038.6543698
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,687649535.0326263
Waste Heat,air,megajoule,118479645.44327076
Natural Gas,Resources / Resources from ground,megajoule,55953224.456748135
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,52092616.996703714
Water,Emissions / Emissions to water,cubic meter,47448293.187272646
Water to turbine,Resources / Resources from water,cubic meter,47033067.302749224
Crude Oil,Resources / Resources from ground,megajoule,46081237.01683915
"Waste mass, total, placed in landfill",resources / in ground,kilogram,40131614.45472114
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,38230267.27684798
Gravel,soil,kilogram,29593420.30934526
Waste Heat,air,megajoule,29199632.374359153
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,28093731.372645073
Uranium,Resources / Resources from ground,megajoule,26816764.695506744
Waste Heat,water,megajoule,26810274.986296345
Radon-222,Emissions / Emissions to air,kilo Becquerel,18383186.395229105
Waste Heat,air,megajoule,17020802.60939195
Hard Coal,Resources / Resources from ground,megajoule,15951908.591770636
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,12373076.945723044
Clay,soil,kilogram,9661264.73440006
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,6926067.1920424625
Forest,Land use / Land occupation,square meter-year,6662657.421196857
calcium,Emissions / Emissions to water,kilogram,5675028.634014606
Waste water,emissions to water / river,kilogram,5168277.480126835
Calcite,resources / in ground,kilogram,5130932.201816615
Brown Coal,Resources / Resources from ground,megajoule,4512294.617275583
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,4082869.613688632
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,3889456.533876318
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,3592627.4259995893
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,3524150.252064404
Industrial Area,Land use / Land occupation,square meter-year,3480535.3631997323
carbon dioxide (biogenic),Resources / Resources from air,kilogram,3471652.6777090444
Air,air,kilogram,3095622.4512706157
Krypton-85,Emissions / Emissions to air,kilo Becquerel,2873473.4595752633
"Water, salt, ocean",resources / in water,cubic meter,2704527.8313959804
Water,water,cubic meter,2693555.672054601
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,2513741.260020858
"Forest, Intensive",Land use / Land occupation,square meter-year,2036120.7833710327
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,1989877.041631192
Used Air,air,kilogram,1930183.774138439
Waste water,emissions to water / ocean,kilogram,1903555.3788465974
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,1773300.388880474
Sulfate,"emissions to water / groundwater, long-term",kilogram,1589172.2086815143
"Energy, Solar, Converted",natural resource,megajoule,1431195.8049482454
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,1143695.8502951171
Iron,Resources / Resources from ground,kilogram,707502.1950715091
Basalt,soil,kilogram,542883.488436916
Sodium,"emissions to water / groundwater, long-term",kilogram,428346.78636103944
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,427810.49135820044
"Volume Occupied, Reservoir",land use,cubic meter-year,419410.2927417743
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,407911.3381160184
magnesium,Emissions / Emissions to water,kilogram,360655.6528336652
Silicon,Emissions / Emissions to water,kilogram,358844.348819447
Radium-226,Emissions / Emissions to water,kilo Becquerel,338629.92163994676
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,264454.2451391825
river water,Resources / Resources from water,cubic meter,259038.6239187872
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,233273.5334973302
Aluminium,Resources / Resources from ground,kilogram,216821.65154758815
Chemically polluted water,emissions to water / river,kilogram,214154.78497867897
Xenon-133,Emissions / Emissions to air,kilo Becquerel,208116.48165190624
Copper,Resources / Resources from ground,kilogram,159806.11307586823
Sodium chloride,resources / in ground,kilogram,159801.03484842725
Platinum,air,kilogram,156152.2544501749
Waste Heat,soil,megajoule,149952.57898965332
Sulfate Ion,water,kilogram,146638.37834658782
Dolomite,soil,kilogram,138357.87558153606
Zinc,Resources / Resources from ground,kilogram,132331.2215921789
Potassium,"emissions to water / groundwater, long-term",kilogram,120700.22675572746
Chloride,Emissions / Emissions to water,kilogram,120103.41372819059
chloride,Emissions / Emissions to water,kilogram,108026.51309273517
Waste Heat,water,megajoule,106766.76413651407
Xenon-135,air,kilo Becquerel,105850.25658444889
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,96647.00446010893
Xenon-133,Emissions / Emissions to air,kilo Becquerel,88844.11609790081
Water To Cooling,Resources / Resources from water,cubic meter,85842.75827395584
Water,Resources / Resources from water,cubic meter,84674.986422919
iron,Emissions / Emissions to water,kilogram,83206.8768275705
Xenon-135,air,kilo Becquerel,80332.1988104959
From Unspecified,Land use / Land transformation,square meter,79336.78961078277
Carbon-14,Emissions / Emissions to air,kilo Becquerel,77390.29979005209
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,74050.37200759756
To Industrial Area,Land use / Land transformation,square meter,69657.24453198483
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,69490.87540487782
Dump Site,Land use / Land occupation,square meter-year,66742.58931645945
Strontium-90,Emissions / Emissions to water,kilo Becquerel,63120.213250488036
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,62836.06204288523
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,62836.06204286555
Magnesite,soil,kilogram,62077.96782594807
Sulfate Ion,water,kilogram,61272.22698308265
"Organic carbon, placed in landfill",resources / in ground,kilogram,55212.10677900352
Peat,Resources / Resources from ground,megajoule,52697.85419876079
From Forest,Land use / Land transformation,square meter,51790.97302652515
To Forest,Land use / Land transformation,square meter,51706.50947907534
Sodium,water,kilogram,49668.375782476054
Xenon-135m,air,kilo Becquerel,49376.77964838953
