flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,115.96743863457004
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,42.54979461155684
Waste Heat,air,megajoule,7.076763887114494
Natural Gas,Resources / Resources from ground,megajoule,5.619486026987361
Water,Emissions / Emissions to water,cubic meter,4.369732437758613
Water to turbine,Resources / Resources from water,cubic meter,4.360787483539967
Crude Oil,Resources / Resources from ground,megajoule,3.003506016734068
Waste Heat,air,megajoule,2.271690727215715
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,1.71299803886308
Uranium,Resources / Resources from ground,megajoule,1.570931554429195
Waste Heat,water,megajoule,1.3288757172653363
Hard Coal,Resources / Resources from ground,megajoule,1.1389209014526729
Radon-222,Emissions / Emissions to air,kilo Becquerel,1.0692419367168664
Waste Heat,air,megajoule,0.957841200801609
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.7248111041143154
Brown Coal,Resources / Resources from ground,megajoule,0.6871062812497931
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.5678501312878221
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.5642743045789368
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.5462580511415165
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.43320631586513886
"Water, salt, ocean",resources / in water,cubic meter,0.4033550620321258
Water,water,cubic meter,0.40318177254505316
"Energy, Solar, Converted",natural resource,megajoule,0.36724462165183397
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.35423112468405227
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.2841611052706051
Gravel,soil,kilogram,0.2688301401279246
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.2016155021603424
Calcite,resources / in ground,kilogram,0.1736900052770394
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.13469149253736679
Magnesite,soil,kilogram,0.0726482561670219
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.06222908314055069
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.06222266651220997
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.04598522599620961
Platinum,air,kilogram,0.0449559289306321
"Forest, Intensive",Land use / Land occupation,square meter-year,0.03273607829844847
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.03173191939169455
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.027393430915609248
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.025116115621565634
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.022217691175336438
Chemically polluted water,emissions to water / river,kilogram,0.021824520313701277
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.020393374374930873
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.020281743546437733
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.019684117329783004
"Volume Occupied, Reservoir",land use,cubic meter-year,0.01793267995353006
calcium,Emissions / Emissions to water,kilogram,0.01677803269310896
Waste Heat,soil,megajoule,0.01663142325416983
Silicon,Emissions / Emissions to water,kilogram,0.014040123443969698
Clay,soil,kilogram,0.010466395887913349
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.010061036271183836
Forest,Land use / Land occupation,square meter-year,0.00864144787865258
Water To Cooling,Resources / Resources from water,cubic meter,0.00796339584877013
Iron,Resources / Resources from ground,kilogram,0.007701978096842192
Water,Resources / Resources from water,cubic meter,0.006790255598761811
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.006614633626647836
