flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,150027.19293324443
Radon-222,Emissions / Emissions to air,kilo Becquerel,2905.2860358056264
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,1024.833940383906
Waste Heat,air,megajoule,601.6679051805102
Crude Oil,Resources / Resources from ground,megajoule,216.581224606048
Waste Heat,water,megajoule,163.89787850798453
Thorium-230,water,kilo Becquerel,150.0296186913855
Natural Gas,Resources / Resources from ground,megajoule,70.31405048798804
Water,Emissions / Emissions to water,cubic meter,64.15035699442181
Water to turbine,Resources / Resources from water,cubic meter,61.002088683364164
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,44.42330070018941
Waste Heat,air,megajoule,43.897464712932326
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,42.15808765754621
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,41.26185527549919
Uranium,Resources / Resources from ground,megajoule,39.7679001680096
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,37.01439768847005
Hard Coal,Resources / Resources from ground,megajoule,16.76671610994245
Waste Heat,air,megajoule,11.935619791430977
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,10.05517706670733
Brown Coal,Resources / Resources from ground,megajoule,9.66023879705199
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,7.645099080871106
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,7.481993548220436
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,6.873144734026706
Gravel,soil,kilogram,5.212857417643205
Uranium-238,Emissions / Emissions to water,kilo Becquerel,4.851163005223071
Uranium-235,Emissions / Emissions to water,kilo Becquerel,4.850602083823239
Sodium chloride,resources / in ground,kilogram,4.531654436309138
"Energy, Solar, Converted",natural resource,megajoule,3.9186673949869597
"Water, salt, ocean",resources / in water,cubic meter,3.7894124872238715
Water,water,cubic meter,3.785264704548999
Water,Resources / Resources from water,cubic meter,3.1107175071705684
Polonium-210,Emissions / Emissions to air,kilo Becquerel,3.001682092280099
Uranium-238,Emissions / Emissions to air,kilo Becquerel,2.9002295362956896
Uranium-234,Emissions / Emissions to air,kilo Becquerel,2.900190194314861
Krypton-85,Emissions / Emissions to air,kilo Becquerel,2.1326520740034103
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,2.099788185765101
Lead-210,Emissions / Emissions to air,kilo Becquerel,2.00094816849803
Radium-226,Emissions / Emissions to water,kilo Becquerel,1.999948475555187
Dump Site,Land use / Land occupation,square meter-year,1.9747219302209478
"Waste mass, total, placed in landfill",resources / in ground,kilogram,1.9700825976622451
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,1.7807910817036927
"Heat, waste","emissions to water / groundwater, long-term",megajoule,1.6938313125716253
Sulfate Ion,water,kilogram,1.6248593651748402
Calcite,resources / in ground,kilogram,1.5174177925780148
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,1.4251108535623551
Radium-226,Emissions / Emissions to air,kilo Becquerel,1.000675544466206
Thorium-230,Emissions / Emissions to air,kilo Becquerel,1.000102169405991
Chloride,Emissions / Emissions to water,kilogram,0.855377763011982
Chemically polluted water,emissions to water / river,kilogram,0.8161833373095913
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.7437907977007209
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.6455132776307637
Calcium,Emissions / Emissions to water,kilogram,0.6372846681271023
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.6073387532370804
"Forest, Intensive",Land use / Land occupation,square meter-year,0.5750870662844922
Platinum,air,kilogram,0.5559466746708354
Clay,soil,kilogram,0.5386912552335299
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.4997099025980925
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.3950473933185136
"Volume Occupied, Reservoir",land use,cubic meter-year,0.379855049769527
Forest,Land use / Land occupation,square meter-year,0.3732498124967139
calcium,Emissions / Emissions to water,kilogram,0.3613969715843043
Waste Heat,soil,megajoule,0.3505611740551654
Aluminium,Emissions / Emissions to water,kilogram,0.35006078037383814
Uranium-234,Emissions / Emissions to water,kilo Becquerel,0.3003563451699746
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.2748721233575131
Particles (> PM10),air,kilogram,0.2236807443339345
