flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,16194.268197474226
"To Arable, Non-irrigated",Land use / Land transformation,square meter,10056.622818010934
"From Arable, Non-irrigated",Land use / Land transformation,square meter,10040.257789542378
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,6328.835770375315
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,5563.973888286251
Waste Heat,air,megajoule,3803.9069859390984
Crude Oil,Resources / Resources from ground,megajoule,1549.0439100542512
Natural Gas,Resources / Resources from ground,megajoule,1262.9102389432744
Waste Heat,air,megajoule,1107.1803968131758
Waste Heat,water,megajoule,651.9473254150822
Water,Emissions / Emissions to water,cubic meter,417.85890432521194
Water to turbine,Resources / Resources from water,cubic meter,416.36658024475577
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,318.56836737789416
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,226.29512854523853
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,224.02409541212106
Uranium,Resources / Resources from ground,megajoule,219.7854308517313
Radon-222,Emissions / Emissions to air,kilo Becquerel,148.8270231426437
Nitrate,Emissions / Emissions to water,kilogram,138.6676767575885
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,104.03065372944883
Hard Coal,Resources / Resources from ground,megajoule,97.08152237786908
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,89.37128975458485
"Water, salt, ocean",resources / in water,cubic meter,83.08503043383477
Water,water,cubic meter,83.05922066082
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,80.19132390049957
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,67.27230433490953
Waste Heat,air,megajoule,46.107074046284296
Gravel,soil,kilogram,41.91451964229252
carbon dioxide (biogenic),Resources / Resources from air,kilogram,34.83398237834998
Brown Coal,Resources / Resources from ground,megajoule,33.95019419255072
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,27.660759785211184
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,24.76855764587122
"Waste mass, total, placed in landfill",resources / in ground,kilogram,24.38914795801724
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,20.602519595268653
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,16.36229070556367
"Energy, Solar, Converted",natural resource,megajoule,14.674092058879216
Calcite,resources / in ground,kilogram,14.568128980379397
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,13.259543748032918
Krypton-85,Emissions / Emissions to air,kilo Becquerel,11.453945181521565
Forest,Land use / Land occupation,square meter-year,11.111506546545444
Radium-226,Emissions / Emissions to water,kilo Becquerel,9.924421299618038
