flow,compartment,unit,amount
Natural Gas,Resources / Resources from ground,megajoule,1.1084556172079065
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.15008298618615853
Waste Heat,air,megajoule,0.07910206799753976
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,0.040240716830328246
Crude Oil,Resources / Resources from ground,megajoule,0.009090535330748188
Waste Heat,air,megajoule,0.0077614039643763245
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.005380379328394542
Water,Emissions / Emissions to water,cubic meter,0.004718224084329678
Water to turbine,Resources / Resources from water,cubic meter,0.004684816595886314
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.004026227371315745
Waste Heat,water,megajoule,0.0037951440714096983
Hard Coal,Resources / Resources from ground,megajoule,0.0026891886503708834
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0024833521892155953
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.002442041662770668
Uranium,Resources / Resources from ground,megajoule,0.002053221278165875
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.0016498278353934553
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.001643324256732368
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0013232612364260225
Chloride,Emissions / Emissions to water,kilogram,0.0012024041169358378
Gravel,soil,kilogram,0.0008707657446553501
Radium-228,water,kilo Becquerel,0.0008380733958166897
Lead-210,water,kilo Becquerel,0.0007963573159921018
Chemically polluted water,emissions to water / river,kilogram,0.0006688012676379743
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.0006678547470009233
Waste Heat,air,megajoule,0.0006139917629313565
Sodium,water,kilogram,0.000587910533719358
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.0005787492661028489
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.0005222819206496955
Brown Coal,Resources / Resources from ground,megajoule,0.0004449216171539
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.00039890415032853743
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.0003925534203401928
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.00037039236270723153
"Energy, Solar, Converted",natural resource,megajoule,0.0002325037811455258
"Water, salt, ocean",resources / in water,cubic meter,0.0002129971259288307
Water,water,cubic meter,0.00021267748441441243
Radium-224,water,kilo Becquerel,0.00021131932922864612
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.0001690700664824057
Thorium-228,water,kilo Becquerel,0.00016753101876385338
Waste Heat,water,megajoule,0.00016275023921759167
Calcium,Emissions / Emissions to water,kilogram,0.00014425132121326107
Methane (fossil),Emissions / Emissions to air,kilogram,0.0001287137809940339
