flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,326.7732205322962
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,276.29378648501785
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,263.36248977108505
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,115.91074709413687
Crude Oil,Resources / Resources from ground,megajoule,56.906782591882404
Waste Heat,air,megajoule,45.18191444624865
Natural Gas,Resources / Resources from ground,megajoule,39.61335936084159
Krypton-85,Emissions / Emissions to air,kilo Becquerel,15.684459054364625
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,10.721903935418057
Uranium,Resources / Resources from ground,megajoule,8.916277431095917
Water,Emissions / Emissions to water,cubic meter,6.658615459635027
Water to turbine,Resources / Resources from water,cubic meter,6.245760402673327
Radon-222,Emissions / Emissions to air,kilo Becquerel,4.676228976547667
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,4.666031113585194
Hard Coal,Resources / Resources from ground,megajoule,4.611852885896285
Waste Heat,air,megajoule,4.291615822267482
Waste Heat,air,megajoule,4.0079652514869935
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,2.7200375752256307
Waste Heat,water,megajoule,1.958882841266714
Brown Coal,Resources / Resources from ground,megajoule,1.8607058735269675
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,1.3858681203215415
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,1.2571103858290391
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,1.0469780111173075
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.963586068315262
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.7311781091717166
"Energy, Solar, Converted",natural resource,megajoule,0.47515817669368426
Water,Resources / Resources from water,cubic meter,0.30368331652768754
Gravel,soil,kilogram,0.2927967728631062
"Water, salt, ocean",resources / in water,cubic meter,0.25630545618458184
Water,water,cubic meter,0.2555023801695241
Waste Heat,water,megajoule,0.20173458942287556
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.18265542722792086
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.14606255699733486
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.11687183047700125
Sulfur,Resources / Resources from ground,kilogram,0.11208191421831622
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.10949835193538102
Water To Cooling,Resources / Resources from water,cubic meter,0.10126102807370196
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.09111994508062025
