flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,3.3886844448615223
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,1.1149962098466728
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.3493096146735309
"Energy, Solar, Converted",natural resource,megajoule,0.09150739330295563
Water,Emissions / Emissions to water,cubic meter,0.07418295531078124
Water to turbine,Resources / Resources from water,cubic meter,0.0740318391421829
Uranium,Resources / Resources from ground,megajoule,0.04575503480330294
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.044967723134427935
Waste Heat,air,megajoule,0.036009179654091485
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.030006433972149065
Waste Heat,air,megajoule,0.024504698632321492
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.012553544229645292
Natural Gas,Resources / Resources from ground,megajoule,0.011983886466352497
Crude Oil,Resources / Resources from ground,megajoule,0.010393687951756731
Hard Coal,Resources / Resources from ground,megajoule,0.009754723464867582
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.008362088627115592
Waste Heat,air,megajoule,0.0046676433836307495
Waste Heat,water,megajoule,0.004231866488066057
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.0028263945988288644
Brown Coal,Resources / Resources from ground,megajoule,0.002690346164308889
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.002496336180300739
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0015177494085679654
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.001363669986294539
Gravel,soil,kilogram,0.0012791495820707241
"Water, salt, ocean",resources / in water,cubic meter,0.0007917932333432954
Water,water,cubic meter,0.0007872699828289084
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0007487659047315345
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0007379278844717576
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.000665038008996867
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.0006617838366129177
Waste Heat,water,megajoule,0.0005999879715821186
Industrial Area,Land use / Land occupation,square meter-year,0.00041397270818865336
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.0003981271919477511
Iron,Resources / Resources from ground,kilogram,0.00035231434892454784
"Forest, Intensive",Land use / Land occupation,square meter-year,0.0003259407143646832
"Volume Occupied, Reservoir",land use,cubic meter-year,0.0003167881906106933
Waste Heat,soil,megajoule,0.00030144704676303733
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.000280069044304577
Xenon-135,air,kilo Becquerel,0.0002684668228132713
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00020892481680197272
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.00019607168311331147
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.00018025113852838644
Calcite,resources / in ground,kilogram,0.00017964752210134828
Xenon-135m,air,kilo Becquerel,0.00017441070922845107
calcium,Emissions / Emissions to water,kilogram,0.0001535021339580093
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.0001445452680225556
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.00014017209987165921
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.00012757672325194638
Platinum,air,kilogram,0.00012568685948460639
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.00011728861907075112
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.00011274746369892501
Chemically polluted water,emissions to water / river,kilogram,6.811128002505016e-05
river water,Resources / Resources from water,cubic meter,6.683860832888016e-05
Silicon,Emissions / Emissions to water,kilogram,6.277276564855447e-05
Water To Cooling,Resources / Resources from water,cubic meter,6.0366396148063176e-05
Dolomite,soil,kilogram,5.184722939390987e-05
Strontium-90,Emissions / Emissions to water,kilo Becquerel,4.8436234087542314e-05
Sodium chloride,resources / in ground,kilogram,4.2894390058940726e-05
"Heat, waste","emissions to water / groundwater, long-term",megajoule,4.1018200076411655e-05
Xenon-138,air,kilo Becquerel,4.0618483911752035e-05
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,3.699801313124979e-05
Chloride,Emissions / Emissions to water,kilogram,3.598430928284352e-05
Ground Water,Resources / Resources from water,cubic meter,3.38990683056663e-05
Waste Heat,water,megajoule,3.3370601505096105e-05
Hydrogen,air,kilogram,3.1684049810937625e-05
Thorium-230,water,kilo Becquerel,3.1493210641188e-05
Forest,Land use / Land occupation,square meter-year,3.003684165246356e-05
Clay,soil,kilogram,2.1960357633023598e-05
Cesium-137,Emissions / Emissions to water,kilo Becquerel,2.159606336404875e-05
magnesium,Emissions / Emissions to water,kilogram,2.1261063916572642e-05
Krypton-85,Emissions / Emissions to air,kilo Becquerel,2.1068241048424492e-05
Xenon-131m,air,kilo Becquerel,1.928115488410557e-05
Water,air,cubic meter,1.8561908872399644e-05
Sodium,"emissions to water / groundwater, long-term",kilogram,1.8145175226072164e-05
Aluminium,Resources / Resources from ground,kilogram,1.624172540363169e-05
Krypton-85m,air,kilo Becquerel,1.5417791693771943e-05
From Pasture/meadow,Land use / Land transformation,square meter,1.5167971583216565e-05
Water Bodies,land use,square meter-year,1.510279755238602e-05
lake water,Resources / Resources from water,cubic meter,1.509879146030005e-05
Water,Resources / Resources from water,cubic meter,1.4382261445367765e-05
To Industrial Area,Land use / Land transformation,square meter,1.3723800866833763e-05
Potassium,"emissions to water / groundwater, long-term",kilogram,1.367637333173032e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1.2801781273618664e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,1.1947445260050399e-05
Sulfate Ion,water,kilogram,1.148635695929801e-05
aluminium,Emissions / Emissions to water,kilogram,1.1235874675899734e-05
Peat,Resources / Resources from ground,megajoule,1.1116997827091465e-05
Magnesite,soil,kilogram,1.1049107363976698e-05
Sodium,water,kilogram,1.0588019535648396e-05
Chromium,Resources / Resources from ground,kilogram,1.042885595425743e-05
Chloride,Emissions / Emissions to water,kilogram,1.0253903889634959e-05
Dump Site,Land use / Land occupation,square meter-year,1.0131320454758254e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,9.129504530818855e-06
Uranium alpha,emissions to water / river,kilo Becquerel,8.728877564609355e-06
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,8.577501026997367e-06
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,7.996451583411396e-06
iron,Emissions / Emissions to water,kilogram,7.89758981669222e-06
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,7.768013499965659e-06
Copper,Resources / Resources from ground,kilogram,7.638888227352482e-06
Inland Water Bodies,land use,square meter-year,7.408929539581991e-06
Radium-228,water,kilo Becquerel,7.128598620559476e-06
Lead-210,water,kilo Becquerel,6.998930926011182e-06
Argon-41,air,kilo Becquerel,6.5653771202194695e-06
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,6.520543717618124e-06
Sulfur Dioxide,Emissions / Emissions to air,kilogram,6.478239979933422e-06
Nickel,Resources / Resources from ground,kilogram,6.383118136906666e-06
Sodium,water,kilogram,6.2815951406125716e-06
Uranium alpha,emissions to water / lake,kilo Becquerel,5.910602440966995e-06
Xenon-137,air,kilo Becquerel,5.420994716956171e-06
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,5.327806442551079e-06
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,5.295573024525979e-06
Lead-210,water,kilo Becquerel,5.057749139825453e-06
Radium-228,water,kilo Becquerel,5.050603581613626e-06
Waste water,emissions to water / river,kilogram,4.97126319078855e-06
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,4.8435137764786535e-06
Krypton-88,air,kilo Becquerel,4.772217266986044e-06
Water,air,cubic meter,4.659845972786946e-06
Manganese,Resources / Resources from ground,kilogram,4.573426458379159e-06
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,4.405798288313697e-06
Phosphate,Emissions / Emissions to water,kilogram,4.193014777448698e-06
Methane (fossil),Emissions / Emissions to air,kilogram,4.159932706540314e-06
Sulfate Ion,water,kilogram,4.13806637894393e-06
Colemanite,soil,kilogram,3.993585574473111e-06
Methane (fossil),Emissions / Emissions to air,kilogram,3.950633690375854e-06
Fluorspar,soil,kilogram,3.815753005068144e-06
Radon-220,air,kilo Becquerel,3.811805914249784e-06
