flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,135.07049856348522
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,48.37507190474718
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,36.93881097454418
Waste Heat,air,megajoule,22.819069242018777
Natural Gas,Resources / Resources from ground,megajoule,9.905607341346728
Crude Oil,Resources / Resources from ground,megajoule,5.011542304860946
carbon dioxide (biogenic),Resources / Resources from air,kilogram,4.066010846238231
Waste Heat,air,megajoule,3.895770838526325
Water,Emissions / Emissions to water,cubic meter,2.9081708719219206
Water to turbine,Resources / Resources from water,cubic meter,2.859148920922715
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,2.820341137064915
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,2.5977418956571316
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,2.381232771817312
Waste Heat,water,megajoule,2.1965075802541674
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,1.947472389882754
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,1.8443960651394775
Uranium,Resources / Resources from ground,megajoule,1.8307650873136498
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,1.4134103913840272
Radon-222,Emissions / Emissions to air,kilo Becquerel,1.3179262467710837
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,1.1500044793398256
"To Arable, Non-irrigated",Land use / Land transformation,square meter,0.9748779498700327
"From Arable, Non-irrigated",Land use / Land transformation,square meter,0.9360306807658
From Pasture/meadow,Land use / Land transformation,square meter,0.7534703157562629
"Water, salt, ocean",resources / in water,cubic meter,0.6373023048452828
Water,water,cubic meter,0.6371069961516033
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.6011349240297119
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.48930717449831734
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.47704497313230304
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.4705670977543333
Hard Coal,Resources / Resources from ground,megajoule,0.4234902867455894
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.3483523349491129
Gravel,soil,kilogram,0.30693115750573136
Waste Heat,air,megajoule,0.3032661412605676
Brown Coal,Resources / Resources from ground,megajoule,0.2567125254404185
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.23402210874944118
"Forest, Intensive",Land use / Land occupation,square meter-year,0.2162757470171039
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.18604556589973853
Potassium chloride,resources / in ground,kilogram,0.15431340967866294
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.13698183987566623
chloride,Emissions / Emissions to water,kilogram,0.13346803528383053
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.13060737894656224
"Energy, Solar, Converted",natural resource,megajoule,0.12396586569938248
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.11979703982193443
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.11859821362427479
Polonium-210,water,kilo Becquerel,0.09309989556524123
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.07481941716088057
Chloride,Emissions / Emissions to water,kilogram,0.07102268047221083
Sodium,"emissions to water / groundwater, long-term",kilogram,0.06956096503517528
Lead-210,water,kilo Becquerel,0.06510506410986368
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.06169150277364432
Calcite,resources / in ground,kilogram,0.05972069490330891
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.05680477416996962
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.05336461840248192
Sodium,water,kilogram,0.049385368430299705
Waste Heat,water,megajoule,0.0490248728356206
Sulfate Ion,water,kilogram,0.04645752803026511
Nitrate,Emissions / Emissions to water,kilogram,0.04222641839426663
Industrial Area,Land use / Land occupation,square meter-year,0.041474237108933776
Chemically polluted water,emissions to water / river,kilogram,0.03933929347799066
river water,Resources / Resources from water,cubic meter,0.0387904817071252
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.03130065561269287
"Carbon, organic, in soil or biomass stock",resources / in ground,kilogram,0.029175873664326987
"To Forest, Intensive",Land use / Land transformation,square meter,0.028778186986431684
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.028299279664531746
Calcium,Emissions / Emissions to water,kilogram,0.024163041210678367
From Shrub Land,Land use / Land transformation,square meter,0.024013188651878004
"From Forest, Intensive",Land use / Land transformation,square meter,0.021737553559187703
"From Forest, Natural",Land use / Land transformation,square meter,0.021526311918880874
Phosphorus,Resources / Resources from ground,kilogram,0.018512675291189978
Iron,Resources / Resources from ground,kilogram,0.01812807927063616
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.017272643243681263
Forest,Land use / Land occupation,square meter-year,0.016773669653347357
Platinum,air,kilogram,0.016213256659825457
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.016136501598020502
"Volume Occupied, Reservoir",land use,cubic meter-year,0.01507300411589207
Clay,soil,kilogram,0.01463672728649622
calcium,Emissions / Emissions to water,kilogram,0.012988018070827377
Waste Heat,soil,megajoule,0.008653033415430044
Potassium-40,water,kilo Becquerel,0.00737382089720383
Water To Cooling,Resources / Resources from water,cubic meter,0.007119379030088732
Xenon-135,air,kilo Becquerel,0.006638732136708123
Sulfate Ion,water,kilogram,0.0065487055500335345
Chloride,Emissions / Emissions to water,kilogram,0.006211856922679802
Water,Resources / Resources from water,cubic meter,0.005645989706283418
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.005540876875924286
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.005399627599994102
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.005106422587538389
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.004889295868893606
Sodium chloride,resources / in ground,kilogram,0.004881761184695106
Construction Site,Land use / Land occupation,square meter-year,0.0048478496765203116
Fluorine,natural resource,kilogram,0.004646416739549354
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.004560586856117932
Radium-228,water,kilo Becquerel,0.004321148089453517
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.004223532482932578
Dolomite,soil,kilogram,0.0041677196444753735
Sodium,water,kilogram,0.004064367348479699
Xenon-135m,air,kilo Becquerel,0.004063549443897533
magnesium,Emissions / Emissions to water,kilogram,0.00393398501398807
"Water, salt, sole",resources / in water,cubic meter,0.003913997961971017
Silicon,Emissions / Emissions to water,kilogram,0.00367917436810339
Radium-228,water,kilo Becquerel,0.003117926549474968
Lead-210,water,kilo Becquerel,0.002965607747226494
Ammonia,Emissions / Emissions to air,kilogram,0.0027805155061210525
Potassium,"emissions to water / groundwater, long-term",kilogram,0.0027648520993152704
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.0027053401942133217
Waste water,emissions to water / river,kilogram,0.002559253337659124
Peat,Resources / Resources from ground,megajoule,0.002518229008975514
Methane (fossil),Emissions / Emissions to air,kilogram,0.0024695027353711305
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0023347183835026345
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.002326309309249943
"Clay, bentonite",resources / in ground,kilogram,0.002227059126812368
Methane (fossil),Emissions / Emissions to air,kilogram,0.002049327562564301
Barite,resources / in ground,kilogram,0.001922396990383904
Nitrous Oxide,Emissions / Emissions to air,kilogram,0.0018569666507842152
Hexane,Emissions / Emissions to air,kilogram,0.0017723952952905684
"Urban, Discontinuously Built",Land use / Land occupation,square meter-year,0.0016870182479602413
Water Bodies,land use,square meter-year,0.001654133252354255
"From Pasture/meadow, Intensive",Land use / Land transformation,square meter,0.0016123503514689768
Thorium-228,water,kilo Becquerel,0.001611832309433448
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.0015720697394091235
Air,air,kilogram,0.0015329057158812642
Thorium-230,water,kilo Becquerel,0.0013283201860181263
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.001277444191965442
Hypochlorite,water,kilogram,0.0012212066087075647
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.0011882021627454976
Dump Site,Land use / Land occupation,square meter-year,0.0011653680992879908
Magnesium,Emissions / Emissions to water,kilogram,0.0011027005944999147
Radium-224,water,kilo Becquerel,0.0010895926667018596
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,0.001072367422457474
Phosphate,Emissions / Emissions to water,kilogram,0.0010291560408957393
Sulfur,Emissions / Emissions to water,kilogram,0.0010213911548974113
Potassium,water,kilogram,0.0009970572437669899
Biological Oxygen Demand,water,kilogram,0.0009889997850349801
Chemical Oxygen Demand,water,kilogram,0.0009755179049720625
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0009711366235136825
Used Air,air,kilogram,0.0009557979975444461
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.0009456567157895945
Waste water,emissions to water / ocean,kilogram,0.0009426120163758267
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.0009370851691778156
Sulfate Ion,water,kilogram,0.0009353579743487702
Xenon-138,air,kilo Becquerel,0.0008912693216331662
Nitrous Oxide,Emissions / Emissions to air,kilogram,0.0008585786085084869
Calcium,Emissions / Emissions to water,kilogram,0.0008261625485896982
Aluminium,Resources / Resources from ground,kilogram,0.0008164613702634303
Waste Heat,water,megajoule,0.0008136503678758524
Radium-224,water,kilo Becquerel,0.0007862259158498984
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.0007630980618391277
Argon-41,air,kilo Becquerel,0.0007502423510786091
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0007458285621401823
Ground Water,Resources / Resources from water,cubic meter,0.0007278812044058957
Magnesite,soil,kilogram,0.0006747842876629153
Acetic Acid,Emissions / Emissions to air,kilogram,0.0006564781159232175
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.000656252375949463
Thorium-228,water,kilo Becquerel,0.0006235365255945638
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,0.0006188344565771311
Copper,Resources / Resources from ground,kilogram,0.0005624235745929615
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.0005559299979185493
iron,Emissions / Emissions to water,kilogram,0.0005451334028301848
Chromium,Resources / Resources from ground,kilogram,0.0005441444169647053
Inland Water Bodies,land use,square meter-year,0.0005166337434091212
Xenon-131m,air,kilo Becquerel,0.0004987938285190126
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.0004862924241168771
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,0.0004231069620301136
Ammonia,Emissions / Emissions to air,kilogram,0.00041371158664394174
Methanol,Emissions / Emissions to air,kilogram,0.00039545006911381183
Uranium alpha,emissions to water / river,kilo Becquerel,0.00038555250919158413
aluminium,Emissions / Emissions to water,kilogram,0.00037521164825371066
Krypton-85m,air,kilo Becquerel,0.00035748676533997576
Phosphate,Emissions / Emissions to water,kilogram,0.0003550238151096663
Nickel,Resources / Resources from ground,kilogram,0.0003512438803224073
"Suspended Solids, Unspecified",water,kilogram,0.0003418592568378697
Total Organic Carbon,water,kilogram,0.0003315520968491176
Basalt,soil,kilogram,0.0003218846816082715
Ethylene,Emissions / Emissions to air,kilogram,0.00029584606912244616
Water,air,cubic meter,0.0002884825328908059
Sulfate Ion,air,kilogram,0.0002815333478082433
Total Organic Carbon,water,kilogram,0.0002780903205368352
