flow,compartment,unit,amount
Waste Heat,air,megajoule,12.765505441674351
Radon-222,Emissions / Emissions to air,kilo Becquerel,11.719930231761882
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,4.025907022511375
Waste Heat,water,megajoule,2.8520922599084186
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,1.3456536478642684
Natural Gas,Resources / Resources from ground,megajoule,0.32614664106086255
Crude Oil,Resources / Resources from ground,megajoule,0.2934984373935082
Water,Emissions / Emissions to water,cubic meter,0.25613832162137706
Water to turbine,Resources / Resources from water,cubic meter,0.2556524868750138
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.162097185829128
Uranium,Resources / Resources from ground,megajoule,0.15868369869057344
Waste Heat,air,megajoule,0.13425678689498036
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.10571619137882439
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.06993580581701302
Gravel,soil,kilogram,0.04528883888265188
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.0443151968313478
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.03212762654996742
"Water, salt, ocean",resources / in water,cubic meter,0.026998129501579135
Water,water,cubic meter,0.02698192650749547
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.024118157125803064
Waste Heat,air,megajoule,0.022960468957835073
Hard Coal,Resources / Resources from ground,megajoule,0.021953090185439027
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.019480307740221615
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.018327956422900173
Brown Coal,Resources / Resources from ground,megajoule,0.017723903081440406
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.014317920116795488
Calcite,resources / in ground,kilogram,0.010748340479232512
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.008468200151264309
copper,Emissions / Emissions to water,kilogram,0.007841401989048903
"Energy, Solar, Converted",natural resource,megajoule,0.007801005901922692
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0070927904655592525
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.006531175778205793
calcium,Emissions / Emissions to water,kilogram,0.00327654216889797
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.0031295384686024393
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.0029898889338770404
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.0029823632860147106
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0028062121773407083
Chloride,Emissions / Emissions to water,kilogram,0.0025921089981510172
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0023416346473369384
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.002294442905632088
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0022708181568170936
Bromine,Emissions / Emissions to water,kilogram,0.00217344207321251
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.0020809773221507214
Clay,soil,kilogram,0.0019570684683871123
aluminium,Emissions / Emissions to water,kilogram,0.0018741312210315232
iron,Emissions / Emissions to water,kilogram,0.0017063734806940707
Chemically polluted water,emissions to water / river,kilogram,0.0015849716754993781
"Forest, Intensive",Land use / Land occupation,square meter-year,0.0014945866257658027
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.0014351402526303519
antimony,Emissions / Emissions to water,kilogram,0.0013344536817246895
"Volume Occupied, Reservoir",land use,cubic meter-year,0.0012377646114763775
Forest,Land use / Land occupation,square meter-year,0.0011594239932299355
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.0011024686228761084
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.0011024686228761056
river water,Resources / Resources from water,cubic meter,0.0010701737188473102
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00101746170518146
Iron,Resources / Resources from ground,kilogram,0.0009214405675220923
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0009083979135175686
Xenon-135,air,kilo Becquerel,0.0008267637602010543
Silicon,Emissions / Emissions to water,kilogram,0.000766789029136993
chloride,Emissions / Emissions to water,kilogram,0.0007522852725613174
Antimony,Emissions / Emissions to water,kilogram,0.0007231078744977904
Platinum,air,kilogram,0.0007216403015484683
Sodium chloride,resources / in ground,kilogram,0.0006759151168663863
Waste water,emissions to water / river,kilogram,0.000643798631507808
titanium,Emissions / Emissions to water,kilogram,0.0005888633264549345
Xenon-135m,air,kilo Becquerel,0.0005274069135834091
Waste Heat,soil,megajoule,0.0005229538050120096
Sodium,"emissions to water / groundwater, long-term",kilogram,0.0005118261806738014
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.0004997592755141209
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.0004936704801383546
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0004553028494166198
Chemical Oxygen Demand,water,kilogram,0.0004337204133627514
Biological Oxygen Demand,water,kilogram,0.0004267684857522889
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.0004172814353614902
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.000414648641701767
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0004068969983530604
Air,air,kilogram,0.00038561348639971996
Waste Heat,water,megajoule,0.0003760138724955424
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0003232162791297987
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.0003206797175186552
lead,Emissions / Emissions to water,kilogram,0.0002861431424483061
Chloride,Emissions / Emissions to water,kilogram,0.00027627983360104034
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.00027411572179652534
Water To Cooling,Resources / Resources from water,cubic meter,0.0002443244015488246
Used Air,air,kilogram,0.00024043787840865056
Waste water,emissions to water / ocean,kilogram,0.0002371208497634092
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0002366700562234498
bromine,Emissions / Emissions to water,kilogram,0.00023195013970690406
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.00022915120645030203
Industrial Area,Land use / Land occupation,square meter-year,0.00022721824507829875
nickel,Emissions / Emissions to water,kilogram,0.00021951130847104605
Nitrate,Emissions / Emissions to water,kilogram,0.00021629649502319113
"To Arable, Non-irrigated",Land use / Land transformation,square meter,0.00020384589388909685
Lead-210,water,kilo Becquerel,0.00020306925691002898
Total Organic Carbon,water,kilogram,0.00019524470840982252
Radium-228,water,kilo Becquerel,0.00019163300719209468
"From Arable, Non-irrigated",Land use / Land transformation,square meter,0.0001883014039696629
"DOC, Dissolved Organic Carbon",water,kilogram,0.00018824707389771052
Sodium,water,kilogram,0.0001832206302345871
Sodium,water,kilogram,0.00017835283420580584
Water,Resources / Resources from water,cubic meter,0.0001658116418225276
Sulfate Ion,water,kilogram,0.00014133019937223387
Dolomite,soil,kilogram,0.00013905206501892682
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.00013879206628783917
From Pasture/meadow,Land use / Land transformation,square meter,0.0001373777867744766
magnesium,Emissions / Emissions to water,kilogram,0.00013610159865881774
Peat,Resources / Resources from ground,megajoule,0.00012976880133531456
Radium-228,water,kilo Becquerel,0.00012687148994083454
Dump Site,Land use / Land occupation,square meter-year,0.00012183524635019247
Lead-210,water,kilo Becquerel,0.00012073281201041919
Xenon-138,air,kilo Becquerel,0.00012057342379548295
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.00011458731592011809
Methane (fossil),Emissions / Emissions to air,kilogram,0.00011399365134102681
Thorium-230,water,kilo Becquerel,0.00011137495096976154
zinc,Emissions / Emissions to water,kilogram,0.00010826990059509113
fluoride,Emissions / Emissions to water,kilogram,0.00010601751766573809
Potassium,"emissions to water / groundwater, long-term",kilogram,0.00010342513329286928
Barite,resources / in ground,kilogram,9.002271100541067e-05
Nitrous Oxide,Emissions / Emissions to air,kilogram,8.7503358904481e-05
Water Bodies,land use,square meter-year,8.517353336565869e-05
Nitrate,Emissions / Emissions to water,kilogram,8.389721820846634e-05
Aluminium,Resources / Resources from ground,kilogram,8.299189551592756e-05
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,8.04462811288965e-05
Magnesite,soil,kilogram,7.988916386497395e-05
Cesium-137,Emissions / Emissions to water,kilo Becquerel,7.7992466249758e-05
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,6.973144483291589e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,6.935226077433612e-05
Basalt,soil,kilogram,6.917455991286917e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,6.108544383854121e-05
Xenon-131m,air,kilo Becquerel,6.0332106583404765e-05
Sulfate Ion,water,kilogram,5.957740900910928e-05
Phosphate,Emissions / Emissions to water,kilogram,5.336909636320138e-05
silver,Emissions / Emissions to water,kilogram,5.210792673436305e-05
Titanium,Resources / Resources from ground,kilogram,5.1261111775502465e-05
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,5.1121324752895034e-05
Hypochlorite,water,kilogram,4.934737386735359e-05
Radium-224,water,kilo Becquerel,4.8335340397552705e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,4.8174582969995245e-05
Krypton-85m,air,kilo Becquerel,4.650607274889969e-05
Calcium,Emissions / Emissions to water,kilogram,4.622286420996123e-05
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,4.4374919057491134e-05
Potassium chloride,resources / in ground,kilogram,4.428872064709199e-05
Argon-41,air,kilo Becquerel,4.428603123954335e-05
Calcium,Emissions / Emissions to water,kilogram,4.110840064580431e-05
Methane (fossil),Emissions / Emissions to air,kilogram,4.0162125370280244e-05
Chloride,Emissions / Emissions to soil,kilogram,3.979081165401446e-05
barium,Emissions / Emissions to water,kilogram,3.9680415681057575e-05
