flow,compartment,unit,amount
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,710.0594445710459
Radon-222,Emissions / Emissions to air,kilo Becquerel,181.34927732399566
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,64.22570224334345
Crude Oil,Resources / Resources from ground,megajoule,57.792065402932
Krypton-85,Emissions / Emissions to air,kilo Becquerel,40.36928658628945
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,35.287609252955455
Natural Gas,Resources / Resources from ground,megajoule,16.92855719224187
Waste Heat,air,megajoule,6.463346681390514
Waste Heat,air,megajoule,5.957010378633301
Radon-222,Emissions / Emissions to air,kilo Becquerel,5.8583037730709435
Uranium,Resources / Resources from ground,megajoule,5.59769526205937
Water,Emissions / Emissions to water,cubic meter,3.693293772498207
Water to turbine,Resources / Resources from water,cubic meter,3.5799619515378116
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,2.5856904771152407
Waste Heat,air,megajoule,2.336299610675703
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,1.975120354107442
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,1.8640889042012376
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,1.1504202748145416
Waste Heat,water,megajoule,0.9315197910697895
Hard Coal,Resources / Resources from ground,megajoule,0.7555800533695176
Brown Coal,Resources / Resources from ground,megajoule,0.6856051547829172
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.6686227360439533
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.6044185179417223
Waste Heat,water,megajoule,0.590092336535153
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.305837284476143
"Energy, Solar, Converted",natural resource,megajoule,0.28904759868961266
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.25782818798458396
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.22742743053526457
"Forest, Intensive",Land use / Land occupation,square meter-year,0.19630875615672658
"Water, salt, ocean",resources / in water,cubic meter,0.1709105463778341
Water,water,cubic meter,0.17067643884224007
Gravel,soil,kilogram,0.10713349487880801
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.10261381258077333
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.0889144797507842
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0774459074167257
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.06901687568433662
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.06824883033525612
Water,Resources / Resources from water,cubic meter,0.06514285869727764
Water To Cooling,Resources / Resources from water,cubic meter,0.04949003371214616
Chloride,Emissions / Emissions to water,kilogram,0.04210750264041902
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.04034795990428201
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.037840089624554006
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.03665624740293418
Platinum,air,kilogram,0.03654094865866847
Chemical Oxygen Demand,water,kilogram,0.02888417379819585
Biological Oxygen Demand,water,kilogram,0.028665809845828973
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.027252933520162406
"Volume Occupied, Reservoir",land use,cubic meter-year,0.023733801440508868
Forest,Land use / Land occupation,square meter-year,0.0215926315233125
Calcite,resources / in ground,kilogram,0.0211237127861717
Clay,soil,kilogram,0.0199080174389793
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.019906468261852227
Methane (fossil),Emissions / Emissions to air,kilogram,0.018244829321496108
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.016255352818512404
Agriculture,Land use / Land occupation,square meter-year,0.015699175332649872
calcium,Emissions / Emissions to water,kilogram,0.014574944973246346
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.014141085005182345
Waste Heat,soil,megajoule,0.01331627037900322
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.010267528543247924
Total Organic Carbon,water,kilogram,0.00841639908478808
"DOC, Dissolved Organic Carbon",water,kilogram,0.008405440106663501
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.008033429869796261
Sulfate Ion,water,kilogram,0.007881093122259658
Chemically polluted water,emissions to water / river,kilogram,0.007801989457171661
Peat,Resources / Resources from ground,megajoule,0.007264358179883619
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.006762547659530619
Iron,Resources / Resources from ground,kilogram,0.006683794882850501
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0064918712362879785
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.005855095591859997
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.005713994032373815
Xenon-135,air,kilo Becquerel,0.005626770738493357
Silicon,Emissions / Emissions to water,kilogram,0.005403379386863884
river water,Resources / Resources from water,cubic meter,0.004215783682348032
Sodium chloride,resources / in ground,kilogram,0.0035310572680744283
Waste water,emissions to water / river,kilogram,0.0034974092547439386
Industrial Area,Land use / Land occupation,square meter-year,0.0032967386000797884
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0032571457380260933
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.0031614045294300745
Xenon-135m,air,kilo Becquerel,0.0028998313472929703
magnesium,Emissions / Emissions to water,kilogram,0.002853305546536094
Sodium,"emissions to water / groundwater, long-term",kilogram,0.0026202632605530304
Chloride,Emissions / Emissions to water,kilogram,0.0025055931321176744
Water Bodies,land use,square meter-year,0.002479851535809146
"To Forest, Intensive",Land use / Land transformation,square meter,0.0023137273303019497
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,0.0023106358778526167
"From Forest, Intensive",Land use / Land transformation,square meter,0.00230934043767215
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.002206489777857325
Air,air,kilogram,0.002094829206035832
"To Arable, Non-irrigated",Land use / Land transformation,square meter,0.002021512488130212
"From Arable, Non-irrigated",Land use / Land transformation,square meter,0.001993276337013727
Argon-41,air,kilo Becquerel,0.0018980736973597146
Thorium-230,water,kilo Becquerel,0.0018528700157551723
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.00184107091212125
Ground Water,Resources / Resources from water,cubic meter,0.0018138102492826903
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.0017434864837575224
Potassium,"emissions to water / groundwater, long-term",kilogram,0.001577632172667348
Chloride,Emissions / Emissions to water,kilogram,0.0014242293782035012
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0013528473523468168
Used Air,air,kilogram,0.0013061687614463558
Waste water,emissions to water / ocean,kilogram,0.0012881491414683702
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.0012442600744898996
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.0012314881527157834
"Energy, Geothermal, Converted",natural resource,megajoule,0.0011551249459851101
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.0011013201071059288
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.001084130697951784
Ethylene,Emissions / Emissions to air,kilogram,0.001044449690653658
Dolomite,soil,kilogram,0.0010116544463816507
Lead-210,water,kilo Becquerel,0.0009910667144232177
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.0009909291621131133
Radium-228,water,kilo Becquerel,0.0009889425623787669
Sodium,water,kilogram,0.0009701669451616722
Sulfate Ion,water,kilogram,0.0009633629031918644
aluminium,Emissions / Emissions to water,kilogram,0.0008569337437547944
iron,Emissions / Emissions to water,kilogram,0.0008327081928536081
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.0008124311241594107
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0007679675642880216
chloride,Emissions / Emissions to water,kilogram,0.0006889161994101681
Sodium,water,kilogram,0.0006556556843248639
Aluminium,Resources / Resources from ground,kilogram,0.0006454653284500128
Artificial Areas,Land use / Land occupation,square meter-year,0.0006453697342257745
Water,air,cubic meter,0.0006326246635034172
Phosphate,Emissions / Emissions to water,kilogram,0.0006319439434915896
Radium-228,water,kilo Becquerel,0.0006299278287814952
Lead-210,water,kilo Becquerel,0.0006135233117755189
Chromium,Resources / Resources from ground,kilogram,0.0006102511841738562
Copper,Resources / Resources from ground,kilogram,0.0006083161146753039
Uranium alpha,emissions to water / river,kilo Becquerel,0.0005533402935843548
Dump Site,Land use / Land occupation,square meter-year,0.0005345310426396409
lake water,Resources / Resources from water,cubic meter,0.0005235933170701153
Iodine-131,Emissions / Emissions to air,kilo Becquerel,0.000521568219801202
Xenon-138,air,kilo Becquerel,0.0005026720587656811
Methane (fossil),Emissions / Emissions to air,kilogram,0.0005017021819789505
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.00048729968830297187
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.0004760915151247992
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.0004760915151220464
Basalt,soil,kilogram,0.00046624703101983696
Xenon-131m,air,kilo Becquerel,0.0004635062556696165
Barite,resources / in ground,kilogram,0.00043867698563734717
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.0004023381046197585
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.0003805837404432383
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.00037228304868652893
Particles (> PM10),air,kilogram,0.0003670416153646178
Nickel,Resources / Resources from ground,kilogram,0.0003543129306286447
fluoride,Emissions / Emissions to water,kilogram,0.0003459668412701546
From Pasture/meadow,Land use / Land transformation,square meter,0.00034333456223147556
Phosphate,Emissions / Emissions to water,kilogram,0.00033975414624589956
"Suspended Solids, Unspecified",water,kilogram,0.00032560388794569396
Hypochlorite,water,kilogram,0.0003229899562073683
Inland Water Bodies,land use,square meter-year,0.00031601771813082687
Magnesite,soil,kilogram,0.0003048996336328422
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,0.0003033423417792236
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.0002920265818964736
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.00026594585070423553
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,0.0002654316896854264
Titanium,Resources / Resources from ground,kilogram,0.0002634973951969624
Calcium,Emissions / Emissions to water,kilogram,0.0002560155288300978
Radium-224,water,kilo Becquerel,0.0002493676903117666
Krypton-85m,air,kilo Becquerel,0.00024877424895642866
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.0002472399890174706
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0002428648428089695
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.00024168011412914334
manganese,Emissions / Emissions to water,kilogram,0.0002403055519534893
Iodine-129,Emissions / Emissions to water,kilo Becquerel,0.00023798818953825644
Zinc,Resources / Resources from ground,kilogram,0.00023777142028588832
"Solids, Inorganic",water,kilogram,0.00023665455256192418
Sodium,water,kilogram,0.00023264593735209736
Waste Heat,water,megajoule,0.00023191558453248198
Nitrate,Emissions / Emissions to water,kilogram,0.00020774914781492243
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00020558304215625888
Fluorspar,soil,kilogram,0.00019892331722457483
Thorium-228,water,kilo Becquerel,0.00019836951293196968
Calcium,Emissions / Emissions to water,kilogram,0.00019009510656289746
From Forest,Land use / Land transformation,square meter,0.000181986388236662
Iron,Emissions / Emissions to water,kilogram,0.00017562168228438884
To Forest,Land use / Land transformation,square meter,0.00016883806738142917
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.00016834160725585294
Radium-224,water,kilo Becquerel,0.00015885080581228098
Particles (> PM10),air,kilogram,0.00015006058276879642
Radon-220,air,kilo Becquerel,0.00014443544049885513
Cesium-134,Emissions / Emissions to water,kilo Becquerel,0.00013688271057026274
Uranium alpha,emissions to water / lake,kilo Becquerel,0.0001357441427992822
Nitrate,Emissions / Emissions to water,kilogram,0.00013385746522879706
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.00013050110421176472
"Oils, Unspecified",Emissions / Emissions to water,kilogram,0.00012681216235661336
Thorium-228,water,kilo Becquerel,0.00012602127443454083
"Wood, soft, standing",resources / biotic,cubic meter,0.00012327179025273127
Construction Site,Land use / Land occupation,square meter-year,0.0001222202141692382
Potassium chloride,resources / in ground,kilogram,0.00010722699441224263
Uranium-238,Emissions / Emissions to air,kilo Becquerel,0.00010385116507002054
Particles (PM10),Emissions / Emissions to air,kilogram,0.00010373011486372506
Kaolinite,soil,kilogram,0.0001013503602388289
Methane (biogenic),Emissions / Emissions to air,kilogram,9.143391815223157e-05
"Organic carbon, placed in landfill",resources / in ground,kilogram,9.06487446617625e-05
Krypton-88,air,kilo Becquerel,8.881348949980601e-05
From Unspecified,Land use / Land transformation,square meter,8.85884416705668e-05
Radium-226,Emissions / Emissions to air,kilo Becquerel,8.744564244382008e-05
To Industrial Area,Land use / Land transformation,square meter,8.575405767691882e-05
Krypton-87,air,kilo Becquerel,8.384712734377978e-05
Carbon-14,Emissions / Emissions to water,kilo Becquerel,8.152903276023765e-05
Radon-220,air,kilo Becquerel,8.14718479034823e-05
Propylene,Emissions / Emissions to air,kilogram,8.098326949741902e-05
Polonium-210,water,kilo Becquerel,8.069130252771233e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,8.017130477001302e-05
Chemical Oxygen Demand,water,kilogram,7.991375093015906e-05
Manganese,Resources / Resources from ground,kilogram,7.707449063731325e-05
strontium,Emissions / Emissions to water,kilogram,7.463504322784209e-05
zinc,Emissions / Emissions to water,kilogram,7.379707761508093e-05
"Permanent Crops, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,7.27759277295775e-05
Barium(2+),Emissions / Emissions to water,kilogram,7.277103441950067e-05
Xenon-135,air,kilo Becquerel,7.162960356114372e-05
Hydrogen,air,kilogram,7.146475634861803e-05
Calcium,Emissions / Emissions to water,kilogram,6.831613484806414e-05
Cyanide,Emissions / Emissions to water,kilogram,6.642265835081432e-05
Polonium-210,Emissions / Emissions to air,kilo Becquerel,6.562190458520964e-05
Xenon-133m,air,kilo Becquerel,6.521455189433155e-05
Total Organic Carbon,water,kilogram,6.271181766752443e-05
Bauxite,soil,kilogram,6.054857862822519e-05
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,6.0523529641871386e-05
Xenon-137,air,kilo Becquerel,5.761927503437398e-05
Total Organic Carbon,water,kilogram,5.703170576121685e-05
"Clay, bentonite",resources / in ground,kilogram,5.6954136137935185e-05
Chloride,Emissions / Emissions to soil,kilogram,5.635182564513451e-05
Biological Oxygen Demand,water,kilogram,5.125926434444397e-05
Sulfate Ion,water,kilogram,5.003202622889634e-05
Carbon Monoxide (biogenic),Emissions / Emissions to air,kilogram,4.936207250426739e-05
Particles (PM2.5),Emissions / Emissions to air,kilogram,4.775732129168837e-05
Magnesium,Emissions / Emissions to water,kilogram,4.7234222619520666e-05
Particles (PM10),Emissions / Emissions to air,kilogram,4.5927685169754784e-05
Ethane,Emissions / Emissions to air,kilogram,4.5825715092505225e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,4.33241182080325e-05
Methane (biogenic),Emissions / Emissions to air,kilogram,4.250137792424046e-05
boron,Emissions / Emissions to water,kilogram,3.919712408581213e-05
Sulfur,Resources / Resources from ground,kilogram,3.8262751665111854e-05
Uranium-235,Emissions / Emissions to water,kilo Becquerel,3.748089569333359e-05
Lead-210,Emissions / Emissions to air,kilo Becquerel,3.681072095829833e-05
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,3.652674169461781e-05
copper,Emissions / Emissions to water,kilogram,3.6150132256814446e-05
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,3.56099602655572e-05
Nitrous Oxide,Emissions / Emissions to air,kilogram,3.523278343563149e-05
Potassium,water,kilogram,3.410709233462894e-05
To Arable,Land use / Land transformation,square meter,3.267901479286125e-05
Silicon,Emissions / Emissions to water,kilogram,3.111588404901042e-05
Hydrogen Chloride,Emissions / Emissions to air,kilogram,3.0600965873828846e-05
nickel,Emissions / Emissions to water,kilogram,2.9821375162625695e-05
titanium,Emissions / Emissions to water,kilogram,2.9269485467440567e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,2.9036612077992427e-05
Magnesium,Emissions / Emissions to water,kilogram,2.8885846742003772e-05
