flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,12.911154006241414
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,4.472078107909773
Waste Heat,air,megajoule,2.5068139184191445
Natural Gas,Resources / Resources from ground,megajoule,2.295909624076109
Crude Oil,Resources / Resources from ground,megajoule,0.7515837722632246
Water,Emissions / Emissions to water,cubic meter,0.3097100947209144
Water to turbine,Resources / Resources from water,cubic meter,0.3078462031502314
Waste Heat,water,megajoule,0.2747787306942286
Waste Heat,air,megajoule,0.24883909333976598
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.24427556089715166
"Water, salt, ocean",resources / in water,cubic meter,0.1973506434023797
Water,water,cubic meter,0.19733249468743064
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.18007422966795755
Uranium,Resources / Resources from ground,megajoule,0.17501610941601084
Gravel,soil,kilogram,0.12424735174012728
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.11941680062908884
Hard Coal,Resources / Resources from ground,megajoule,0.10946744797463025
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.10382141805452927
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.1003646080775709
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.09020225801382178
Waste Heat,air,megajoule,0.0659222184305551
Calcite,resources / in ground,kilogram,0.06188354034538054
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.05820808084406036
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.049146582919232316
Brown Coal,Resources / Resources from ground,megajoule,0.03845594403444116
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.030749959125208205
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.019833282906236937
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.019567034090287098
"Energy, Solar, Converted",natural resource,megajoule,0.01592341189224264
Sodium chloride,resources / in ground,kilogram,0.014344490285543006
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.010801562279220148
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.010461787288397473
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.009118223639571049
Chemically polluted water,emissions to water / river,kilogram,0.007405445348216621
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.005561786616728059
"Forest, Intensive",Land use / Land occupation,square meter-year,0.004718459654679684
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.004408715979163554
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.003974774902981118
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.003936979258556215
Chloride,Emissions / Emissions to water,kilogram,0.0036925608652877725
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.002678489849165734
Platinum,air,kilogram,0.0022123217332978397
calcium,Emissions / Emissions to water,kilogram,0.0017543564930167762
"Volume Occupied, Reservoir",land use,cubic meter-year,0.0016951615147537313
Clay,soil,kilogram,0.0016517457123432216
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.0015113772430424789
Chloride,Emissions / Emissions to water,kilogram,0.0014751339281785275
Iron,Resources / Resources from ground,kilogram,0.0014226896569428842
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.0013640724589535443
Water,Resources / Resources from water,cubic meter,0.0011886301067364315
Waste Heat,soil,megajoule,0.0010879881704935596
Sodium,water,kilogram,0.0010396880700130019
Calcium,Emissions / Emissions to water,kilogram,0.001031596857311029
Radium-228,water,kilo Becquerel,0.0010268825565223816
Lead-210,water,kilo Becquerel,0.0010002779255411977
Forest,Land use / Land occupation,square meter-year,0.0009453306448641024
"Solids, Inorganic",water,kilogram,0.0009081161985082435
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0009016445840684321
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.0008492358943835369
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.0008140815133336363
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.0007667860342222379
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0007450352524615047
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.000682782718151866
Water To Cooling,Resources / Resources from water,cubic meter,0.0006605087566416802
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0006255311507072017
Radium-228,water,kilo Becquerel,0.0006141070014077689
Lead-210,water,kilo Becquerel,0.0005836814156713155
Waste Heat,water,megajoule,0.0005504075479291851
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0005288667556182541
Xenon-135,air,kilo Becquerel,0.0004961646188937858
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.0004885440922636459
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.00048788778818499676
Industrial Area,Land use / Land occupation,square meter-year,0.00047311265851254986
Sodium,water,kilogram,0.00046802757830184764
Barite,resources / in ground,kilogram,0.0004552845554205867
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0004520299160846329
Silicon,Emissions / Emissions to water,kilogram,0.0004357886506847942
Peat,Resources / Resources from ground,megajoule,0.00042060304868976617
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00041750106901924244
Methane (fossil),Emissions / Emissions to air,kilogram,0.0004153709346394713
Hypochlorite,water,kilogram,0.0003681505039442495
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.00035295704045490325
Waste water,emissions to water / river,kilogram,0.0003298495860798423
"To Arable, Non-irrigated",Land use / Land transformation,square meter,0.00032052517385667287
Water Bodies,land use,square meter-year,0.00031231765491540543
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,0.00031226346964577357
"From Arable, Non-irrigated",Land use / Land transformation,square meter,0.0002996060683661782
Sodium,"emissions to water / groundwater, long-term",kilogram,0.00028150242227269813
Xenon-135m,air,kilo Becquerel,0.0002784796417626368
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.00026529769471387633
Methane (fossil),Emissions / Emissions to air,kilogram,0.00025926878487768525
Radium-224,water,kilo Becquerel,0.00025892855679306593
magnesium,Emissions / Emissions to water,kilogram,0.00023892028630517195
From Pasture/meadow,Land use / Land transformation,square meter,0.0002184607502887883
Dolomite,soil,kilogram,0.00021111705344396446
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.00020887270879308144
Thorium-228,water,kilo Becquerel,0.00020558324636356829
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.00019762380913010598
Air,air,kilogram,0.00019756868475761884
Calcium,Emissions / Emissions to water,kilogram,0.00018629146317907557
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.0001748431880636388
Radium-224,water,kilo Becquerel,0.00015484941420124398
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,0.00015432472525820279
river water,Resources / Resources from water,cubic meter,0.00014849646638642058
Potassium,"emissions to water / groundwater, long-term",kilogram,0.00013493548006804476
Thorium-230,water,kilo Becquerel,0.0001300276451747797
Waste Heat,water,megajoule,0.00012557575084274513
Used Air,air,kilogram,0.00012318810694776538
Thorium-228,water,kilo Becquerel,0.00012277046845453893
Waste water,emissions to water / ocean,kilogram,0.00012148863063312123
Magnesite,soil,kilogram,0.00011835082464170554
Argon-41,air,kilo Becquerel,0.00011425999986186452
