flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,17607.195587318696
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,6015.69260732392
Waste Heat,air,megajoule,2938.7772969298994
"Waste mass, total, placed in landfill",resources / in ground,kilogram,2359.643309946312
Crude Oil,Resources / Resources from ground,megajoule,2043.706199079744
Waste Heat,water,megajoule,884.4409756596375
Water,Emissions / Emissions to water,cubic meter,384.0963975977526
Water to turbine,Resources / Resources from water,cubic meter,382.6339608264604
Natural Gas,Resources / Resources from ground,megajoule,317.3148530591394
Gravel,soil,kilogram,276.4363708490131
Waste Heat,air,megajoule,253.06064388971404
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,242.15744915706043
Uranium,Resources / Resources from ground,megajoule,238.56619901010404
Radon-222,Emissions / Emissions to air,kilo Becquerel,159.2011938975449
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,154.253896355859
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,146.91983147026735
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,132.37996584428066
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,111.35231768216816
Waste Heat,air,megajoule,76.24330532417224
calcium,Emissions / Emissions to water,kilogram,68.92434104470397
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,66.25387778865523
Sodium,"emissions to water / groundwater, long-term",kilogram,59.078940512510016
Hard Coal,Resources / Resources from ground,megajoule,47.70612158307175
Potassium,"emissions to water / groundwater, long-term",kilogram,46.547029264805566
Brown Coal,Resources / Resources from ground,megajoule,23.97905738418177
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,21.692293707371316
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,20.879245041670114
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,19.463616956344627
Silicon,Emissions / Emissions to water,kilogram,16.710105832085265
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,14.633279428912003
"Water, salt, ocean",resources / in water,cubic meter,13.662675375917987
Water,water,cubic meter,13.636978097528884
carbon dioxide (biogenic),Resources / Resources from air,kilogram,12.049384804256517
magnesium,Emissions / Emissions to water,kilogram,11.890261680760888
"Energy, Solar, Converted",natural resource,megajoule,11.74669287465403
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,9.408600446075267
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,8.361199058769062
Radium-226,Emissions / Emissions to water,kilo Becquerel,8.044335432370548
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,7.638386079474077
Chemically polluted water,emissions to water / river,kilogram,6.882958278849102
Krypton-85,Emissions / Emissions to air,kilo Becquerel,6.848468781142448
aluminium,Emissions / Emissions to water,kilogram,4.762878716130438
Calcite,resources / in ground,kilogram,4.350900045305991
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,4.058431435391827
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,4.011728004801417
Iron,Resources / Resources from ground,kilogram,3.879357545311099
Sulfate,"emissions to water / groundwater, long-term",kilogram,3.6307761932342233
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,3.458517109521066
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,3.094811726241094
Xenon-133,Emissions / Emissions to air,kilo Becquerel,3.0726633920664006
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,2.860354135515611
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,2.62079734853133
"Forest, Intensive",Land use / Land occupation,square meter-year,2.0752563038637213
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,2.0307841431262608
"Volume Occupied, Reservoir",land use,cubic meter-year,1.8643631558698006
Dump Site,Land use / Land occupation,square meter-year,1.6577885889692259
Waste Heat,water,megajoule,1.486904173545675
Waste Heat,soil,megajoule,1.268931345579692
"To Arable, Non-irrigated",Land use / Land transformation,square meter,1.2521980342663306
Xenon-135,air,kilo Becquerel,1.2213039774485412
"From Arable, Non-irrigated",Land use / Land transformation,square meter,1.1606376455509853
Platinum,air,kilogram,1.1132293063751548
barium,Emissions / Emissions to water,kilogram,1.0983689313857283
Sodium,water,kilogram,1.071182756168554
fluoride,Emissions / Emissions to water,kilogram,1.0153588668308564
Chloride,Emissions / Emissions to water,kilogram,1.0045607332823407
Chloride,Emissions / Emissions to water,kilogram,1.0014537538748909
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.9586222196186763
From Pasture/meadow,Land use / Land transformation,square meter,0.9388482304543606
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.9108574655969913
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.9108574655969903
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.9048541407353791
"Organic carbon, placed in landfill",resources / in ground,kilogram,0.8951278391265455
