flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,57801090.884265296
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,20480786.424407523
Water,Emissions / Emissions to water,cubic meter,4592171.536863149
Water to turbine,Resources / Resources from water,cubic meter,4585531.566350792
Waste Heat,air,megajoule,2505639.027863783
Waste Heat,air,megajoule,1461403.1649716755
Hard Coal,Resources / Resources from ground,megajoule,1307537.4834616345
Natural Gas,Resources / Resources from ground,megajoule,1264595.4430685518
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,824459.8059186892
Crude Oil,Resources / Resources from ground,megajoule,821607.7831588079
Uranium,Resources / Resources from ground,megajoule,782438.309100669
Radon-222,Emissions / Emissions to air,kilo Becquerel,532230.5932267895
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,479045.7965038427
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,441518.7028093209
Waste Heat,water,megajoule,344106.1892396387
Waste Heat,air,megajoule,262276.89084720303
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,248524.80032925334
Brown Coal,Resources / Resources from ground,megajoule,196961.33171342994
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,196388.85431366597
Iron,Resources / Resources from ground,kilogram,173472.32316284906
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,152766.06866523667
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,125826.7988145649
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,122465.25613626618
"Water, salt, ocean",resources / in water,cubic meter,101074.12141857125
Water,water,cubic meter,100996.88829559743
Gravel,soil,kilogram,90544.80348783858
Sulfate,"emissions to water / groundwater, long-term",kilogram,82402.35034530915
"Energy, Solar, Converted",natural resource,megajoule,79404.48909125288
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,50941.74843567574
Calcite,resources / in ground,kilogram,42925.93460343871
"Waste mass, total, placed in landfill",resources / in ground,kilogram,37944.60577371177
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,33295.94322262508
calcium,Emissions / Emissions to water,kilogram,30225.543718029756
Dolomite,soil,kilogram,25338.87771319999
Silicon,Emissions / Emissions to water,kilogram,23081.59319279457
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,16410.122316045232
magnesium,Emissions / Emissions to water,kilogram,15389.091404696055
Copper,Resources / Resources from ground,kilogram,12631.890124083247
carbon dioxide (biogenic),Resources / Resources from air,kilogram,12188.571896933396
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,12062.119496555933
"Forest, Intensive",Land use / Land occupation,square meter-year,12001.991968924833
Platinum,air,kilogram,11381.954060628965
Sulfate Ion,water,kilogram,11092.481749288618
Radium-226,Emissions / Emissions to water,kilo Becquerel,8763.545317759696
Potassium,"emissions to water / groundwater, long-term",kilogram,8651.090048352653
"Volume Occupied, Reservoir",land use,cubic meter-year,7596.993119568487
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,7311.683712071988
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,6142.148911694987
Chromium,Resources / Resources from ground,kilogram,5933.330621632282
Krypton-85,Emissions / Emissions to air,kilo Becquerel,5901.58946352747
iron,Emissions / Emissions to water,kilogram,5470.888543817376
Xenon-133,Emissions / Emissions to air,kilo Becquerel,5345.8504995468065
Chemically polluted water,emissions to water / river,kilogram,5280.497879914915
Magnesite,soil,kilogram,4814.677399307652
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,4716.522113012359
Clay,soil,kilogram,4277.1668264077
Strontium-90,Emissions / Emissions to water,kilo Becquerel,4262.988540194941
Waste Heat,soil,megajoule,4168.654885151496
Sodium,"emissions to water / groundwater, long-term",kilogram,4162.5005879747105
Nickel,Resources / Resources from ground,kilogram,3607.1624454961093
Water To Cooling,Resources / Resources from water,cubic meter,3414.882758344088
Dump Site,Land use / Land occupation,square meter-year,3362.8260086241876
Forest,Land use / Land occupation,square meter-year,3348.157500887018
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,3211.7663729650926
Manganese,Resources / Resources from ground,kilogram,2500.9969788287353
Carbon-14,Emissions / Emissions to air,kilo Becquerel,2169.0939889094834
Peat,Resources / Resources from ground,megajoule,2168.9978961094694
Water,Resources / Resources from water,cubic meter,2135.664652428718
aluminium,Emissions / Emissions to water,kilogram,2088.0647756695425
Phosphate,Emissions / Emissions to water,kilogram,2082.0744502858124
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,2070.137801730874
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,1981.5025729984905
Sulfur Dioxide,Emissions / Emissions to air,kilogram,1971.5416581125878
Xenon-135,air,kilo Becquerel,1851.2443015800466
Krypton-85,Emissions / Emissions to air,kilo Becquerel,1819.9723248485668
Industrial Area,Land use / Land occupation,square meter-year,1795.0855433209651
Sulfate Ion,water,kilogram,1791.324991442748
manganese,Emissions / Emissions to water,kilogram,1692.9915674753154
Chloride,Emissions / Emissions to water,kilogram,1634.8555468955487
river water,Resources / Resources from water,cubic meter,1491.873562727658
Phosphate,Emissions / Emissions to water,kilogram,1276.8525326601014
fluoride,Emissions / Emissions to water,kilogram,1120.1555229053783
Xenon-135m,air,kilo Becquerel,967.7494733255126
Chloride,Emissions / Emissions to water,kilogram,947.2579368632738
Water Bodies,land use,square meter-year,834.2378146585022
