flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,22.492188853163576
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,7.988218745733223
Waste Heat,air,megajoule,0.7145557234407346
Natural Gas,Resources / Resources from ground,megajoule,0.5009958511104003
Water,Emissions / Emissions to water,cubic meter,0.41587140868909156
Water to turbine,Resources / Resources from water,cubic meter,0.4146998826227609
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.32156632829242726
Uranium,Resources / Resources from ground,megajoule,0.3042421659412262
Waste Heat,air,megajoule,0.2894053836261193
Waste Heat,air,megajoule,0.2214047444679755
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.20675993507715684
Crude Oil,Resources / Resources from ground,megajoule,0.08738053554167004
Brown Coal,Resources / Resources from ground,megajoule,0.07845028600842582
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.06997289494041754
Hard Coal,Resources / Resources from ground,megajoule,0.06767526726474744
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.06115071129726701
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.057664566128030136
Waste Heat,water,megajoule,0.046224810368543146
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.039800704738276516
"Water, salt, ocean",resources / in water,cubic meter,0.03369542843032579
Water,water,cubic meter,0.033667172075605614
"Energy, Solar, Converted",natural resource,megajoule,0.0317598753593099
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.023537248240377576
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.014554038223133671
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.010548077244514856
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.009472299086252856
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.00809280965983559
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.006762895614596013
Gravel,soil,kilogram,0.006303381714963309
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.0047043515106955005
Platinum,air,kilogram,0.004594358900089307
"Forest, Intensive",Land use / Land occupation,square meter-year,0.004154272403136888
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.003956424640255898
"Volume Occupied, Reservoir",land use,cubic meter-year,0.002904461089292114
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0028103810185640832
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0023323197357076227
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.0019939436705258182
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.001981742638464733
Clay,soil,kilogram,0.001831546894972386
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.0017154035195998442
Waste Heat,soil,megajoule,0.001627951043188123
calcium,Emissions / Emissions to water,kilogram,0.0014229065568926215
Forest,Land use / Land occupation,square meter-year,0.0013785319087817926
Chemically polluted water,emissions to water / river,kilogram,0.0013257543436182844
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0012893938317207958
Calcite,resources / in ground,kilogram,0.0012855569274589545
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.001224311429490559
Water,Resources / Resources from water,cubic meter,0.0009761790519785987
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.000921696302267118
Peat,Resources / Resources from ground,megajoule,0.000876866953416616
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.0008391603750319551
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0008074284290571565
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.0007531731957481081
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.0007333095745491231
Xenon-135,air,kilo Becquerel,0.0006799846329756463
Iron,Resources / Resources from ground,kilogram,0.0006677276204880631
Water To Cooling,Resources / Resources from water,cubic meter,0.0005736114177541692
Silicon,Emissions / Emissions to water,kilogram,0.0004225579004276591
Industrial Area,Land use / Land occupation,square meter-year,0.00035989689713566265
Xenon-135m,air,kilo Becquerel,0.0003462780959663395
Chloride,Emissions / Emissions to water,kilogram,0.0003136237480865572
Water Bodies,land use,square meter-year,0.00031317071229414303
Chloride,Emissions / Emissions to water,kilogram,0.00031104195201666723
magnesium,Emissions / Emissions to water,kilogram,0.00028306259287386095
Sodium,"emissions to water / groundwater, long-term",kilogram,0.00026996420262020277
Hydrogen Sulfide,Emissions / Emissions to air,kilogram,0.0002695510007378794
Waste water,emissions to water / river,kilogram,0.00023969906616194925
Argon-41,air,kilo Becquerel,0.00023798433246906097
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.00023268499213641568
Thorium-230,water,kilo Becquerel,0.00022998412124481266
Radium-228,water,kilo Becquerel,0.00021650459770217292
river water,Resources / Resources from water,cubic meter,0.00021014607449046583
Lead-210,water,kilo Becquerel,0.00020697245067353566
Sodium,water,kilogram,0.00020629893809250919
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.00018258811906496337
Water,air,cubic meter,0.00016777032205390487
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.00015475604007535764
Potassium,"emissions to water / groundwater, long-term",kilogram,0.0001538526641078305
Air,air,kilogram,0.0001435715891054133
Waste Heat,water,megajoule,0.0001347441876175804
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.000133130424307219
Sodium chloride,resources / in ground,kilogram,0.00012829752984875608
Sulfate Ion,water,kilogram,0.00012236059902990363
Potassium,water,kilogram,0.00011497994264954878
Sodium,water,kilogram,0.00011336521307221505
Radium-228,water,kilo Becquerel,0.00010863880409206297
Lead-210,water,kilo Becquerel,0.00010499792265316105
Dolomite,soil,kilogram,0.00010048936298381234
Used Air,air,kilogram,8.951981583051078e-05
Waste water,emissions to water / ocean,kilogram,8.828481993305965e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,8.210665184347621e-05
Barite,resources / in ground,kilogram,7.764935380355843e-05
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,7.115111148763516e-05
Methane (fossil),Emissions / Emissions to air,kilogram,7.077489640583028e-05
Hypochlorite,water,kilogram,7.049007808047709e-05
Methane (fossil),Emissions / Emissions to air,kilogram,6.964098796375446e-05
iron,Emissions / Emissions to water,kilogram,6.942546367643418e-05
Uranium alpha,emissions to water / river,kilo Becquerel,6.872389452189262e-05
Phosphate,Emissions / Emissions to water,kilogram,6.833037631006662e-05
Iodine-131,Emissions / Emissions to air,kilo Becquerel,6.237883437312026e-05
Xenon-138,air,kilo Becquerel,5.9683517019629906e-05
Xenon-131m,air,kilo Becquerel,5.679586570811133e-05
chloride,Emissions / Emissions to water,kilogram,5.6533001946532754e-05
Aluminium,Resources / Resources from ground,kilogram,5.486640111877574e-05
Radium-224,water,kilo Becquerel,5.459172385233608e-05
aluminium,Emissions / Emissions to water,kilogram,5.37504397142621e-05
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,5.156082349987331e-05
Copper,Resources / Resources from ground,kilogram,4.676279652381571e-05
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,4.671696721779241e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,4.6221464446012496e-05
"To Forest, Intensive",Land use / Land transformation,square meter,4.621202541188269e-05
"From Forest, Intensive",Land use / Land transformation,square meter,4.613825521236353e-05
Dump Site,Land use / Land occupation,square meter-year,4.3473034454525105e-05
Thorium-228,water,kilo Becquerel,4.32968786023417e-05
Ground Water,Resources / Resources from water,cubic meter,3.9804766206074804e-05
Calcium,Emissions / Emissions to water,kilogram,3.775847784847469e-05
Inland Water Bodies,land use,square meter-year,3.61396166410575e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,3.386486808265273e-05
Magnesite,soil,kilogram,3.109029442669726e-05
Krypton-85m,air,kilo Becquerel,3.0014815382515292e-05
Waste Heat,water,megajoule,2.9853052416331682e-05
Basalt,soil,kilogram,2.983703545863824e-05
"Solids, Inorganic",water,kilogram,2.9617879543300152e-05
Radium-224,water,kilo Becquerel,2.739393167671792e-05
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,2.61625396528646e-05
Calcium,Emissions / Emissions to water,kilogram,2.5337147789619553e-05
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,2.506593224497475e-05
Sulfate Ion,water,kilogram,2.5044643366013038e-05
Nitrate,Emissions / Emissions to water,kilogram,2.384338813888209e-05
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,2.367691404198224e-05
manganese,Emissions / Emissions to water,kilogram,2.2121016698038592e-05
Mineral Extraction Site,Land use / Land occupation,square meter-year,2.2037530346405954e-05
Thorium-228,water,kilo Becquerel,2.1720525495898415e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,2.095879318362679e-05
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,1.8354151721928394e-05
Radon-220,air,kilo Becquerel,1.7046181574195196e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,1.6654473593153416e-05
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,1.6641931024044418e-05
Uranium alpha,emissions to water / lake,kilo Becquerel,1.662179730070429e-05
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,1.6610037041118875e-05
Chromium,Resources / Resources from ground,kilogram,1.599946913074386e-05
Particles (> PM10),air,kilogram,1.5842451946501556e-05
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,1.3904780849558521e-05
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,1.39047808495583e-05
