flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,1773.2418118367214
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,650.7257719430536
Waste Heat,air,megajoule,55.54231161063035
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,39.31486673366021
Waste Heat,air,megajoule,32.07936170313601
Natural Gas,Resources / Resources from ground,megajoule,27.94520398334881
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,26.18010384828287
Water,Emissions / Emissions to water,cubic meter,25.162529796739577
Water to turbine,Resources / Resources from water,cubic meter,24.655865251842283
Uranium,Resources / Resources from ground,megajoule,24.18837053993279
Crude Oil,Resources / Resources from ground,megajoule,20.65421833965361
Waste Heat,air,megajoule,18.4855925020813
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,18.227937840874898
Radon-222,Emissions / Emissions to air,kilo Becquerel,16.63149085213398
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,14.555241089446648
Hard Coal,Resources / Resources from ground,megajoule,14.28515198301473
Waste Heat,water,megajoule,9.102905326077181
"Waste mass, total, placed in landfill",resources / in ground,kilogram,3.7418262588040094
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,3.364621296351043
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,2.4634075569889853
Krypton-85,Emissions / Emissions to air,kilo Becquerel,2.0590068556851446
"Water, salt, ocean",resources / in water,cubic meter,1.902899090797817
Water,water,cubic meter,1.8752416783900512
Brown Coal,Resources / Resources from ground,megajoule,1.3447377169796184
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,1.0645453663048927
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,1.0237880416892773
Gravel,soil,kilogram,0.960644975098531
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.944545429959716
"Volume Occupied, Reservoir",land use,cubic meter-year,0.7445108104331656
Aluminium,Resources / Resources from ground,kilogram,0.6008940076819766
calcium,Emissions / Emissions to water,kilogram,0.5272914585086177
"Energy, Solar, Converted",natural resource,megajoule,0.5143687163920582
Water To Cooling,Resources / Resources from water,cubic meter,0.4606812466876711
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.4555803626438769
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.40674181538770404
Waste Heat,soil,megajoule,0.2405484294018438
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.21588925381296464
Calcite,resources / in ground,kilogram,0.16822643535279022
Chemically polluted water,emissions to water / river,kilogram,0.12179164881111851
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.12151442294555737
Silicon,Emissions / Emissions to water,kilogram,0.10852663514664701
Sodium chloride,resources / in ground,kilogram,0.10669244225444931
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.10209302321612312
"Forest, Intensive",Land use / Land occupation,square meter-year,0.09784988388818902
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.09502109609087678
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.07985327076581547
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.07731161023067346
Platinum,air,kilogram,0.07392118880851435
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.06598634779415637
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.06574100013758893
Sodium,"emissions to water / groundwater, long-term",kilogram,0.06428239187108038
Iron,Resources / Resources from ground,kilogram,0.051552556263301595
Water,Resources / Resources from water,cubic meter,0.04556886086458392
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.03493759634749925
Chloride,Emissions / Emissions to water,kilogram,0.03437340128806618
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.03427431575816283
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.030465981811852356
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.029117885092954356
Clay,soil,kilogram,0.02704516591296296
aluminium,Emissions / Emissions to water,kilogram,0.025133219532890327
magnesium,Emissions / Emissions to water,kilogram,0.024485733602210416
Water Bodies,land use,square meter-year,0.02386448239360953
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.023704828229733035
Sodium,water,kilogram,0.022586057571678773
Industrial Area,Land use / Land occupation,square meter-year,0.022145329541382795
Chloride,Emissions / Emissions to water,kilogram,0.020849352460102423
Water,air,cubic meter,0.020485942103113986
Thorium-230,water,kilo Becquerel,0.01846203196836352
Ground Water,Resources / Resources from water,cubic meter,0.01789079736873928
river water,Resources / Resources from water,cubic meter,0.017154659636294846
Forest,Land use / Land occupation,square meter-year,0.014826888743927631
Radium-228,water,kilo Becquerel,0.014498418789927097
Lead-210,water,kilo Becquerel,0.01393680995867753
Peat,Resources / Resources from ground,megajoule,0.013865737508051278
Sodium,water,kilogram,0.013218411799729286
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.012600266301515986
Xenon-135,air,kilo Becquerel,0.012231089853648592
Sulfate Ion,water,kilogram,0.011775268975567809
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.011665753828234085
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.010615404782800653
Dump Site,Land use / Land occupation,square meter-year,0.009401594402932924
Radium-228,water,kilo Becquerel,0.009400928470527469
Lead-210,water,kilo Becquerel,0.00939860242929633
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.008625067863366368
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.008625067863366321
Methane (fossil),Emissions / Emissions to air,kilogram,0.008587712928710097
Methane (fossil),Emissions / Emissions to air,kilogram,0.008271022954320854
Waste Heat,water,megajoule,0.008121485804045406
titanium,Emissions / Emissions to water,kilogram,0.0077280576598990815
Dolomite,soil,kilogram,0.007628650687198492
Potassium,"emissions to water / groundwater, long-term",kilogram,0.007002865176828166
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.006665011998822521
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.006559733391658142
Xenon-135m,air,kilo Becquerel,0.006448894030866464
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.006069215755779681
Barite,resources / in ground,kilogram,0.0060654494130023846
Uranium alpha,emissions to water / river,kilo Becquerel,0.005588089623510672
Calcium,Emissions / Emissions to water,kilogram,0.005256057501812855
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.005020080278216639
Waste water,emissions to water / river,kilogram,0.00486527087604338
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.004765461194346767
"Organic carbon, placed in landfill",resources / in ground,kilogram,0.004665578845726676
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.004632348186360094
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.004374835156883526
Radon-220,air,kilo Becquerel,0.004220930259573729
iron,Emissions / Emissions to water,kilogram,0.004216494667630451
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.004186115791783854
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.004005265548751513
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.0038982470433176902
Argon-41,air,kilo Becquerel,0.0037813668920322827
Sulfate Ion,water,kilogram,0.003721070499812349
Phosphate,Emissions / Emissions to water,kilogram,0.003682390247582844
chloride,Emissions / Emissions to water,kilogram,0.0036575006657823127
Radium-224,water,kilo Becquerel,0.0036557972855901046
