flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,111.93982446408278
Waste Heat,air,megajoule,43.79393236684978
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,38.8163399834017
Crude Oil,Resources / Resources from ground,megajoule,14.548909250987649
Waste Heat,water,megajoule,8.200282182685974
Water,Emissions / Emissions to water,cubic meter,2.2885470534669556
Water to turbine,Resources / Resources from water,cubic meter,2.2675203217843807
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,2.0543515988628243
Natural Gas,Resources / Resources from ground,megajoule,1.9989610059446847
Waste Heat,air,megajoule,1.793590808057035
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,1.5626262832946958
Uranium,Resources / Resources from ground,megajoule,1.514637813185369
Radon-222,Emissions / Emissions to air,kilo Becquerel,1.0289116872164712
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.5378813732758174
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.5184920211525418
Gravel,soil,kilogram,0.40037993892887186
Brown Coal,Resources / Resources from ground,megajoule,0.39136510115498113
Calcite,resources / in ground,kilogram,0.38588511674612785
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.37627333824070275
Hard Coal,Resources / Resources from ground,megajoule,0.36748738361504
Waste Heat,air,megajoule,0.24298349163514843
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.23790510215282293
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.2251036316348819
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.18865171570358333
Silicon,Emissions / Emissions to water,kilogram,0.1790427412080737
"Energy, Solar, Converted",natural resource,megajoule,0.12491260393822388
Sodium chloride,resources / in ground,kilogram,0.120473604356175
Chloride,Emissions / Emissions to water,kilogram,0.09363921472520778
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.08384977967596154
"Water, salt, ocean",resources / in water,cubic meter,0.07788912664111348
Water,water,cubic meter,0.07774928444536358
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.07533847905684754
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.056058823646146796
