flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,3.158609981044318
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,1.074003600541275
Waste Heat,air,megajoule,0.3161052193458472
Crude Oil,Resources / Resources from ground,megajoule,0.2503074074906856
calcium,Emissions / Emissions to water,kilogram,0.15592700707014615
Gravel,soil,kilogram,0.15321120676391242
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.13100872376206732
Waste Heat,water,megajoule,0.09237528935019358
Water,Emissions / Emissions to water,cubic meter,0.06754064560147756
Water to turbine,Resources / Resources from water,cubic meter,0.0672192622420859
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.04323058834102297
Uranium,Resources / Resources from ground,megajoule,0.043198886691608214
Waste Heat,air,megajoule,0.03839423985002741
Natural Gas,Resources / Resources from ground,megajoule,0.0372785787970046
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.028837121248526353
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.011947967999487372
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.011871281769805401
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.01157131103291738
aluminium,Emissions / Emissions to water,kilogram,0.011400726408083494
Waste Heat,air,megajoule,0.010966775631537555
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.009823767797797513
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.008764185074032899
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.007184890170206233
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.00639902986825384
Hard Coal,Resources / Resources from ground,megajoule,0.005062643895224853
Sodium,"emissions to water / groundwater, long-term",kilogram,0.0035352444350157304
Brown Coal,Resources / Resources from ground,megajoule,0.0030401562061496985
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.0029924686024430445
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.002577887792706682
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.002462733342297059
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.0020140507428291353
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0018077923300495085
"Energy, Solar, Converted",natural resource,megajoule,0.001668594822719274
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.0016493930009535678
Dump Site,Land use / Land occupation,square meter-year,0.0012824788405923465
"Water, salt, ocean",resources / in water,cubic meter,0.0011974884383137293
Water,water,cubic meter,0.0011934342702946766
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0011176949757123556
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0009339530927631552
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.0007835580968497944
Calcite,resources / in ground,kilogram,0.0007718037715226351
Chemically polluted water,emissions to water / river,kilogram,0.0006998069713046437
Silicon,Emissions / Emissions to water,kilogram,0.0006891512251397764
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.0006181600663273407
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.0006087780352800839
iron,Emissions / Emissions to water,kilogram,0.0006046960536955808
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0005419563223722161
