flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,1.2291978377237394
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,0.4361199714339145
Waste Heat,air,megajoule,0.05143708673109762
Water,Emissions / Emissions to water,cubic meter,0.03835858765014733
Water to turbine,Resources / Resources from water,cubic meter,0.03825360086711709
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.030690968962399468
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.028347778683612577
Waste Heat,air,megajoule,0.019444502909441698
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.017555380277739615
Natural Gas,Resources / Resources from ground,megajoule,0.0170443308036534
Uranium,Resources / Resources from ground,megajoule,0.016841359349385424
Waste Heat,air,megajoule,0.014799270025859953
Crude Oil,Resources / Resources from ground,megajoule,0.01425765624696373
Hard Coal,Resources / Resources from ground,megajoule,0.011918583416240696
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.01144640238943103
Waste Heat,water,megajoule,0.010758752787202496
"Forest, Intensive",Land use / Land occupation,square meter-year,0.00567350585529512
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.0052633796968175025
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.0042635026698369174
Brown Coal,Resources / Resources from ground,megajoule,0.0042562750353284575
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.0033002062631249285
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.002931264047368194
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.0025552357880979405
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0024093457355776437
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.002004496209500252
"Energy, Solar, Converted",natural resource,megajoule,0.0017123019172804285
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0016814701250602976
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.0016333783769322927
Iron,Resources / Resources from ground,kilogram,0.0014533849475788535
"Water, salt, ocean",resources / in water,cubic meter,0.001133933612443599
Water,water,cubic meter,0.001132384224204891
Gravel,soil,kilogram,0.0011216863202465775
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0007104625093258196
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.0004001139540939108
Calcite,resources / in ground,kilogram,0.0003519399246080942
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.00033070211100657795
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.00028132473630486366
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.0002564877912194129
Platinum,air,kilogram,0.0002458328710400924
Forest,Land use / Land occupation,square meter-year,0.00024037004902104886
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.00022550759054168484
Dolomite,soil,kilogram,0.00021253970721197912
"Volume Occupied, Reservoir",land use,cubic meter-year,0.0001617705305749246
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.00012975027672459954
Silicon,Emissions / Emissions to water,kilogram,0.00012206829204121693
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.00011291877712256322
calcium,Emissions / Emissions to water,kilogram,0.00010544680460250449
Waste Heat,soil,megajoule,9.136486148042023e-05
Strontium-90,Emissions / Emissions to water,kilo Becquerel,9.110671267389848e-05
Water To Cooling,Resources / Resources from water,cubic meter,7.707093314350853e-05
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,6.965835954968651e-05
Chemically polluted water,emissions to water / river,kilogram,6.660997771286957e-05
