flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,357.15754462149755
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,126.70030470037527
Water,Emissions / Emissions to water,cubic meter,42.36579077676102
Water to turbine,Resources / Resources from water,cubic meter,42.28328429158708
Waste Heat,air,megajoule,20.652191645131182
Waste Heat,air,megajoule,11.13582530157371
Natural Gas,Resources / Resources from ground,megajoule,8.09052939478036
Crude Oil,Resources / Resources from ground,megajoule,6.582407585821521
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,5.100674896417186
Uranium,Resources / Resources from ground,megajoule,4.849792544655799
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,4.202882935613498
Radon-222,Emissions / Emissions to air,kilo Becquerel,3.307528827712889
Sulfate,"emissions to water / groundwater, long-term",kilogram,3.2889576432750767
Hard Coal,Resources / Resources from ground,megajoule,2.610820844892012
Waste Heat,water,megajoule,2.4242612225079996
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,2.170599164667621
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,1.589162190728228
Brown Coal,Resources / Resources from ground,megajoule,1.1971879655345448
calcium,Emissions / Emissions to water,kilogram,1.0448344854082834
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.9532428077344374
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.9264199580367318
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.9207101268577085
Waste Heat,air,megajoule,0.899993026610045
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.8543928505850912
Gravel,soil,kilogram,0.8272218118863703
"Water, salt, ocean",resources / in water,cubic meter,0.6410960224733927
Water,water,cubic meter,0.6404949265706315
magnesium,Emissions / Emissions to water,kilogram,0.6298868170575137
Copper,Resources / Resources from ground,kilogram,0.5679602789217475
"Energy, Solar, Converted",natural resource,megajoule,0.48226060328436177
Sulfate Ion,water,kilogram,0.47646911614635046
Potassium,"emissions to water / groundwater, long-term",kilogram,0.35419494075491276
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.29057703439651494
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.2893787920566643
Calcite,resources / in ground,kilogram,0.2303774659457507
iron,Emissions / Emissions to water,kilogram,0.2229386618257877
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.1832262943114184
Silicon,Emissions / Emissions to water,kilogram,0.17062893581448652
Sodium,"emissions to water / groundwater, long-term",kilogram,0.12721952842914125
Dump Site,Land use / Land occupation,square meter-year,0.10305072377192079
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.09079600218530645
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.08944070401426585
Clay,soil,kilogram,0.0894109808785433
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.08369487745759487
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.07992644373206138
Phosphate,Emissions / Emissions to water,kilogram,0.07898793508236011
aluminium,Emissions / Emissions to water,kilogram,0.07849243176441849
"Forest, Intensive",Land use / Land occupation,square meter-year,0.07795291701160498
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.07483864770176007
manganese,Emissions / Emissions to water,kilogram,0.07123104184904935
Platinum,air,kilogram,0.06913709254348288
Sulfate Ion,water,kilogram,0.06790213086495875
Forest,Land use / Land occupation,square meter-year,0.06295802983498444
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.06028733511284523
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.06000811903959374
Phosphate,Emissions / Emissions to water,kilogram,0.05072247653731044
"Volume Occupied, Reservoir",land use,cubic meter-year,0.05005601742513593
fluoride,Emissions / Emissions to water,kilogram,0.04848099237130646
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.04794658286032914
river water,Resources / Resources from water,cubic meter,0.03906723801475675
Chemically polluted water,emissions to water / river,kilogram,0.037684700610810674
Iron,Resources / Resources from ground,kilogram,0.03676144250072466
Water To Cooling,Resources / Resources from water,cubic meter,0.036075712731960245
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.03215534807578157
zinc,Emissions / Emissions to water,kilogram,0.03206224782489967
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.026028183131039884
boron,Emissions / Emissions to water,kilogram,0.02407047056776623
Waste Heat,soil,megajoule,0.023223458936553476
Industrial Area,Land use / Land occupation,square meter-year,0.022222357503469875
Calcium,Emissions / Emissions to water,kilogram,0.02037029558672098
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.019437291636997926
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.013619742164087257
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.01338903875213686
Peat,Resources / Resources from ground,megajoule,0.013225989371145271
Calcium,Emissions / Emissions to water,kilogram,0.012941637717784525
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.012806462348359988
Water,Resources / Resources from water,cubic meter,0.012355842602004488
Sodium chloride,resources / in ground,kilogram,0.012258307549284359
Xenon-135,air,kilo Becquerel,0.01113235026172192
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.011054163570189558
strontium,Emissions / Emissions to water,kilogram,0.009599222660058034
Chromium,Resources / Resources from ground,kilogram,0.008429790295271012
Chloride,Emissions / Emissions to water,kilogram,0.008407958232504339
Molybdenum,Resources / Resources from ground,kilogram,0.008379583642502289
Particles (PM2.5),Emissions / Emissions to air,kilogram,0.008138346367391391
Nitrate,Emissions / Emissions to water,kilogram,0.008015585344169317
Particles (PM10),Emissions / Emissions to air,kilogram,0.007096112185302918
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.006981809621600374
Waste Heat,water,megajoule,0.00669906048182301
Chloride,Emissions / Emissions to water,kilogram,0.006484727762071722
Aluminium,Emissions / Emissions to air,kilogram,0.006074371791114411
Waste water,emissions to water / river,kilogram,0.005837507010560679
Xenon-135m,air,kilo Becquerel,0.005804704304794457
Dolomite,soil,kilogram,0.005455901476680565
Lead-210,water,kilo Becquerel,0.005450504601775568
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.005344010239593118
Water Bodies,land use,square meter-year,0.005233879331005977
Aluminium,Resources / Resources from ground,kilogram,0.005008294808277509
Nickel,Resources / Resources from ground,kilogram,0.004838582758620222
copper,Emissions / Emissions to water,kilogram,0.004786766366046479
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.004620400436006177
Radium-228,water,kilo Becquerel,0.004503946901400777
Inland Water Bodies,land use,square meter-year,0.004405348775036364
Sodium,water,kilogram,0.004202319907395917
Magnesium,Emissions / Emissions to water,kilogram,0.003716385623067796
Thorium-230,water,kilo Becquerel,0.0036509101712824906
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0036292498494806813
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.0036289847636248557
Argon-41,air,kilo Becquerel,0.0035857905366385597
Air,air,kilogram,0.0034964681812900216
Carbon disulfide,Emissions / Emissions to air,kilogram,0.003280192667941014
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.0029766744028375076
Radium-228,water,kilo Becquerel,0.002966963501164186
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,0.002853165062387731
Fluorspar,soil,kilogram,0.002850397731992332
Lead-210,water,kilo Becquerel,0.002845202359936193
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.0026090602240480404
Methane (fossil),Emissions / Emissions to air,kilogram,0.002540646239386816
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.0025258470391587625
Sodium,water,kilogram,0.002474837903685974
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.0024545333492622954
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.002434632438026376
Ammonia,Emissions / Emissions to air,kilogram,0.0023925492243980786
Boron,Emissions / Emissions to water,kilogram,0.0023151757425236437
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0022782120106904385
Used Air,air,kilogram,0.0021801192673051085
Waste water,emissions to water / ocean,kilogram,0.0021500428163417416
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.0020833832969196597
Barite,resources / in ground,kilogram,0.0019980276236494137
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.0018655841017618498
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.0018549685591064576
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.001854968559106404
Methane (fossil),Emissions / Emissions to air,kilogram,0.001817525203085288
"To Arable, Non-irrigated",Land use / Land transformation,square meter,0.0018101526371730136
Polonium-210,water,kilo Becquerel,0.0017986668706494468
"From Arable, Non-irrigated",Land use / Land transformation,square meter,0.0017526878692898274
cobalt,Emissions / Emissions to water,kilogram,0.0016906309777925369
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0016141751007759074
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0014388431854111354
chloride,Emissions / Emissions to water,kilogram,0.0014259328472753686
Particles (> PM10),air,kilogram,0.0013880490041380626
Magnesite,soil,kilogram,0.0013736602782195406
From Unspecified,Land use / Land transformation,square meter,0.0013477490329505957
"Traffic Area, Rail Network",Land use / Land occupation,square meter-year,0.0012868750230090253
Nitrate,Emissions / Emissions to water,kilogram,0.001260354278661465
