flow,compartment,unit,amount
Crude Oil,Resources / Resources from ground,megajoule,43.78711157317766
Radon-222,Emissions / Emissions to air,kilo Becquerel,8.298468211966716
Natural Gas,Resources / Resources from ground,megajoule,2.986520406990915
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,2.7672010278161294
Waste Heat,air,megajoule,0.8436112491925335
Waste Heat,air,megajoule,0.6816768914904824
Water,Emissions / Emissions to water,cubic meter,0.20206477013098398
Water to turbine,Resources / Resources from water,cubic meter,0.20112657068417988
Chemically polluted water,emissions to water / river,kilogram,0.1782135962840229
Waste Heat,water,megajoule,0.15877380216696135
Uranium,Resources / Resources from ground,megajoule,0.1129577042210179
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.11171084436974332
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.11005826848441558
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.09506249504006388
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.07847613837719314
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.06820760984780294
Hard Coal,Resources / Resources from ground,megajoule,0.06774677966598919
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.06657765039435527
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.05161693787209493
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.03017053196231674
Brown Coal,Resources / Resources from ground,megajoule,0.027841368868374752
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.025860787156332263
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.025836404290483585
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.02231990149735196
Waste Heat,air,megajoule,0.020031053724769442
Gravel,soil,kilogram,0.019180777168622307
Chloride,Emissions / Emissions to water,kilogram,0.01837811635360921
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.012760220611680459
Radium-228,water,kilo Becquerel,0.012716059872515463
Lead-210,water,kilo Becquerel,0.012065429267439138
"Energy, Solar, Converted",natural resource,megajoule,0.011958061161131588
Methane (fossil),Emissions / Emissions to air,kilogram,0.011772851238118318
Industrial Area,Land use / Land occupation,square meter-year,0.01077438957878303
Sodium,water,kilogram,0.008959333243158
"Water, salt, ocean",resources / in water,cubic meter,0.007520976298119221
Water,water,cubic meter,0.007510127606521945
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.007058923291459385
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.005457436388041418
