flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,26.24160655837861
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,9.332526049612495
Waste Heat,air,megajoule,0.5042421360985236
Water,Emissions / Emissions to water,cubic meter,0.4823817271061403
Water to turbine,Resources / Resources from water,cubic meter,0.48158899892372775
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.37565408517886323
Uranium,Resources / Resources from ground,megajoule,0.35488855849024914
Waste Heat,air,megajoule,0.32453841950247325
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.24098340602296006
Natural Gas,Resources / Resources from ground,megajoule,0.14864475846642142
Brown Coal,Resources / Resources from ground,megajoule,0.09193011144944434
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.08044808230114757
Hard Coal,Resources / Resources from ground,megajoule,0.07636249475124764
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.07172352501418376
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.05566673381489651
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.04135847014190134
"Energy, Solar, Converted",natural resource,megajoule,0.037269539205474066
Crude Oil,Resources / Resources from ground,megajoule,0.029042249755050493
Waste Heat,air,megajoule,0.02654933488615596
Waste Heat,water,megajoule,0.022390843294869907
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.015398784615653
Waste Heat,soil,megajoule,0.014730581228269129
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.010000390872081958
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.009814029952327052
"Water, salt, ocean",resources / in water,cubic meter,0.009696128749058848
Water,water,cubic meter,0.00966454561144823
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.005485392650976072
Platinum,air,kilogram,0.005394460770040422
"Forest, Intensive",Land use / Land occupation,square meter-year,0.004841610033059378
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.004147137617719942
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0039928956891254145
Gravel,soil,kilogram,0.003461102181285375
"Volume Occupied, Reservoir",land use,cubic meter-year,0.003352737255893794
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0027486117328246493
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.0023260397864201233
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0022522600166611875
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.002231333754615564
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.002014906634672625
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.0016144081517637757
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0015364937611063057
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0015149224982641922
Peat,Resources / Resources from ground,megajoule,0.0010300984245329586
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.0009797412159206688
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0009433076827578634
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.000861843465161012
Xenon-135,air,kilo Becquerel,0.0007919040395371223
calcium,Emissions / Emissions to water,kilogram,0.0007785330179802038
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.0007623676726905351
Calcite,resources / in ground,kilogram,0.0007400721597893038
Water To Cooling,Resources / Resources from water,cubic meter,0.0006452400167267918
Iron,Resources / Resources from ground,kilogram,0.0005002762556010972
Silicon,Emissions / Emissions to water,kilogram,0.0004391548936148217
Chemically polluted water,emissions to water / river,kilogram,0.0004314112022461265
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.0004171128410612767
Xenon-135m,air,kilo Becquerel,0.0004021771977132741
Forest,Land use / Land occupation,square meter-year,0.00038235674564357584
Water Bodies,land use,square meter-year,0.0003401453359258665
magnesium,Emissions / Emissions to water,kilogram,0.0003035510769005841
Argon-41,air,kilo Becquerel,0.00027971073985092067
