flow,compartment,unit,amount
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,3.7932148020765974
Water,Emissions / Emissions to water,cubic meter,1.4265428419299637
Water to turbine,Resources / Resources from water,cubic meter,1.4264797023248559
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.6823612034977257
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,0.23307252820848437
Waste Heat,air,megajoule,0.1701032021435218
"Volume Occupied, Reservoir",land use,cubic meter-year,0.1642495566358129
Gravel,soil,kilogram,0.033305231931952936
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.0314894060495142
Waste Heat,air,megajoule,0.016979998359448786
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.009381171437420765
Uranium,Resources / Resources from ground,megajoule,0.009204927602572998
Crude Oil,Resources / Resources from ground,megajoule,0.008797916930952047
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.006056678513439634
Natural Gas,Resources / Resources from ground,megajoule,0.0044682209248083716
Calcite,resources / in ground,kilogram,0.004375697699297569
calcium,Emissions / Emissions to water,kilogram,0.004279684869415568
Waste Heat,water,megajoule,0.004016828520696149
Water Bodies,land use,square meter-year,0.0036246495119556708
Hard Coal,Resources / Resources from ground,megajoule,0.0030830628329836436
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0028668010633231583
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.002051571651386694
Brown Coal,Resources / Resources from ground,megajoule,0.0018608952220613493
Waste Heat,air,megajoule,0.0018087554768906216
Water,air,cubic meter,0.0017528901902320601
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.001683669644886679
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.0013616214340690747
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.0006767174851093526
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.0006647796162353574
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.0005853827438077999
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.0004553812684740159
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.00042706979729076485
"Energy, Solar, Converted",natural resource,megajoule,0.0003773145805957762
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0003339417154893692
"Water, salt, ocean",resources / in water,cubic meter,0.0003088923927337315
Water,water,cubic meter,0.0003080519717814213
Clay,soil,kilogram,0.0002612578151065036
Sodium,"emissions to water / groundwater, long-term",kilogram,0.0002584433794375095
Silicon,Emissions / Emissions to water,kilogram,0.0002300785729511713
Iron,Resources / Resources from ground,kilogram,0.00020783625614433917
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0001829172627163994
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.00017508432744976765
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.00017301344686783147
magnesium,Emissions / Emissions to water,kilogram,0.0001364655981689959
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.00013320341606967836
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.00013119947510763553
carbon dioxide (biogenic),Resources / Resources from air,kilogram,7.550393716818492e-05
Radium-226,Emissions / Emissions to water,kilo Becquerel,6.330580136128785e-05
"Forest, Intensive",Land use / Land occupation,square meter-year,6.186245765333678e-05
Krypton-85,Emissions / Emissions to air,kilo Becquerel,5.905128344542968e-05
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,5.5926750824980835e-05
Water,Resources / Resources from water,cubic meter,5.347319854641627e-05
Xenon-135,air,kilo Becquerel,5.342533566585386e-05
Industrial Area,Land use / Land occupation,square meter-year,4.512209392300885e-05
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,3.976264756260031e-05
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,3.976264756260029e-05
"Organic carbon, placed in landfill",resources / in ground,kilogram,3.889728445433435e-05
Chemically polluted water,emissions to water / river,kilogram,3.56318207334293e-05
Xenon-135m,air,kilo Becquerel,3.4512918139866284e-05
Dolomite,soil,kilogram,3.040775247743358e-05
Carbon-14,Emissions / Emissions to air,kilo Becquerel,2.9789857343964972e-05
Platinum,air,kilogram,2.65244784007631e-05
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,2.64309893078344e-05
From Unspecified,Land use / Land transformation,square meter,2.575925693408599e-05
Dump Site,Land use / Land occupation,square meter-year,2.5549066838741666e-05
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,2.4553284282314323e-05
To Water Bodies,land use,square meter,2.4352585472747987e-05
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,2.3556156345610245e-05
Sulfate Ion,water,kilogram,2.3515144388479147e-05
Chromium,Resources / Resources from ground,kilogram,1.8754657314650196e-05
Waste Heat,soil,megajoule,1.863128403214499e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1.511272210548578e-05
Forest,Land use / Land occupation,square meter-year,1.4046557020163378e-05
Strontium-90,Emissions / Emissions to water,kilo Becquerel,1.3046834733078765e-05
Nickel,Resources / Resources from ground,kilogram,1.0897392022248101e-05
fluoride,Emissions / Emissions to water,kilogram,1.0858878297809092e-05
Mineral Extraction Site,Land use / Land occupation,square meter-year,1.0426851617477941e-05
chloride,Emissions / Emissions to water,kilogram,1.0419033571496697e-05
Water To Cooling,Resources / Resources from water,cubic meter,9.70538143679291e-06
Magnesite,soil,kilogram,9.684903876254973e-06
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,9.67557639764373e-06
Chloride,Emissions / Emissions to water,kilogram,8.934146127341702e-06
Sulfate Ion,water,kilogram,8.382548723975834e-06
river water,Resources / Resources from water,cubic meter,8.273975579802024e-06
Potassium,"emissions to water / groundwater, long-term",kilogram,8.203137002137693e-06
