flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,1.371709882942101
"Heat, waste","emissions to water / groundwater, long-term",megajoule,1.2000918198333697
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,0.46584120964299514
calcium,Emissions / Emissions to water,kilogram,0.38133536085745556
Waste Heat,air,megajoule,0.26202453720758945
Crude Oil,Resources / Resources from ground,megajoule,0.23029172170426754
Gravel,soil,kilogram,0.17417227099699006
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.1447884826309253
Waste Heat,water,megajoule,0.08032397995468862
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.03921526736026095
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.03580465830460542
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.03580465830460542
Water,Emissions / Emissions to water,cubic meter,0.031553170279525915
Natural Gas,Resources / Resources from ground,megajoule,0.03141427980282984
Water to turbine,Resources / Resources from water,cubic meter,0.031231934539746514
Waste Heat,air,megajoule,0.02554734912846516
Uranium,Resources / Resources from ground,megajoule,0.01917165274103452
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.01875370424259265
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.013159170307038526
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.0099494398246226
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.009273381779459838
chloride,Emissions / Emissions to water,kilogram,0.00921712714662241
Waste Heat,air,megajoule,0.008706944841677416
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.008535530404990145
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.008118375188425724
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.007601112720314578
Waste Heat,soil,megajoule,0.006551240754633084
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.005237252213532658
Hard Coal,Resources / Resources from ground,megajoule,0.0036658601110336974
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.003411978412797771
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.002126248257005948
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.002043323317125506
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,0.0018936714045020607
Brown Coal,Resources / Resources from ground,megajoule,0.0018626292381575967
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.001687325490582178
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.0016387430018084714
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0015436778826067464
Dump Site,Land use / Land occupation,square meter-year,0.001505875297978561
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0014073438623796886
"Energy, Solar, Converted",natural resource,megajoule,0.0008902684036594016
"Water, salt, ocean",resources / in water,cubic meter,0.000854364467544193
Water,water,cubic meter,0.0008525433992218765
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0007898898394169393
Calcite,resources / in ground,kilogram,0.000715191743593106
Chemically polluted water,emissions to water / river,kilogram,0.0006133308624113322
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.0004697513850020524
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00037296052566515624
Chloride,Emissions / Emissions to water,kilogram,0.00031766313012761933
Iron,Resources / Resources from ground,kilogram,0.0002753835671553569
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.0002684509052599437
Water,Resources / Resources from water,cubic meter,0.0002677970059629521
Waste Heat,water,megajoule,0.000255432967687567
Construction Site,Land use / Land occupation,square meter-year,0.00025150149784186593
Shrub Land,Land use / Land occupation,square meter-year,0.00025022584763607404
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.0002467860596248105
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.00017000926980026266
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00016655404403091627
"Forest, Intensive",Land use / Land occupation,square meter-year,0.00015384497595594945
"Volume Occupied, Reservoir",land use,cubic meter-year,0.00013743843811907483
tin,Emissions / Emissions to water,kilogram,0.00013400944114988318
lead,Emissions / Emissions to water,kilogram,0.00011404712130556732
Chloride,Emissions / Emissions to water,kilogram,0.00010395654495489042
Methane (fossil),Emissions / Emissions to air,kilogram,0.00010069125251009861
Xenon-135,air,kilo Becquerel,9.837123033423072e-05
cobalt,Emissions / Emissions to water,kilogram,9.365758830783748e-05
Sulfate,"emissions to water / groundwater, long-term",kilogram,9.337716131575546e-05
Platinum,air,kilogram,8.379090881615677e-05
Clay,soil,kilogram,7.74573967986119e-05
Methane (fossil),Emissions / Emissions to air,kilogram,7.605311494693992e-05
Radium-228,water,kilo Becquerel,7.233121575615777e-05
Lead-210,water,kilo Becquerel,7.007880932955143e-05
From Pasture/meadow,Land use / Land transformation,square meter,6.701299212349215e-05
zinc,Emissions / Emissions to water,kilogram,6.659742458811529e-05
Xenon-135m,air,kilo Becquerel,6.298982118502118e-05
Carbon-14,Emissions / Emissions to air,kilo Becquerel,5.825351366907659e-05
Industrial Area,Land use / Land occupation,square meter-year,5.5925095302217036e-05
Sodium,water,kilogram,5.216956782169194e-05
Silicon,Emissions / Emissions to water,kilogram,5.195808236336649e-05
To Forest,Land use / Land transformation,square meter,5.165357299235113e-05
To Dump Site,Land use / Land transformation,square meter,5.0988913531931546e-05
Mineral Extraction Site,Land use / Land occupation,square meter-year,5.091757594279236e-05
From Shrub Land,Land use / Land transformation,square meter,5.026904165478027e-05
From Dump Site,Land use / Land transformation,square meter,5.0121832007001126e-05
To Shrub Land,Land use / Land transformation,square meter,5.004513462857024e-05
Water To Cooling,Resources / Resources from water,cubic meter,4.86848446712324e-05
Radium-228,water,kilo Becquerel,4.86176447663409e-05
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,4.708230449475074e-05
Lead-210,water,kilo Becquerel,4.618132284278171e-05
Dolomite,soil,kilogram,4.043096169167161e-05
Sodium,water,kilogram,3.7548317735209197e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,3.6128672805233635e-05
Barite,resources / in ground,kilogram,3.5104909245299774e-05
Strontium-90,Emissions / Emissions to water,kilo Becquerel,3.4274121031779906e-05
Forest,Land use / Land occupation,square meter-year,2.6930437827270554e-05
Waste water,emissions to water / river,kilogram,2.663084027766506e-05
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,2.5804446993666387e-05
Sodium,"emissions to water / groundwater, long-term",kilogram,2.5057760989256152e-05
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,2.455783582919044e-05
Sodium chloride,resources / in ground,kilogram,2.3345178192470353e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,2.2328139476839563e-05
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,2.2279971635699627e-05
river water,Resources / Resources from water,cubic meter,2.1987705948205e-05
Magnesite,soil,kilogram,2.1431979274053753e-05
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,2.041583676908176e-05
Xenon-133,Emissions / Emissions to air,kilo Becquerel,1.918185667777275e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,1.8563984064666985e-05
Water Bodies,land use,square meter-year,1.8542049143322898e-05
Radium-224,water,kilo Becquerel,1.823834452278231e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,1.643119989143436e-05
magnesium,Emissions / Emissions to water,kilogram,1.613655552428589e-05
Air,air,kilogram,1.5950967682508917e-05
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,1.581361585740043e-05
Krypton-85,Emissions / Emissions to air,kilo Becquerel,1.4799568213614898e-05
