flow,compartment,unit,amount
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,369.0785314701065
Radon-222,Emissions / Emissions to air,kilo Becquerel,218.99565053739522
Waste Heat,air,megajoule,80.00378463550878
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,77.48752491726056
Crude Oil,Resources / Resources from ground,megajoule,55.26997195404485
Natural Gas,Resources / Resources from ground,megajoule,54.89742048120479
Krypton-85,Emissions / Emissions to air,kilo Becquerel,20.91354840938972
Uranium,Resources / Resources from ground,megajoule,16.42571180481872
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,9.077728185340671
Hard Coal,Resources / Resources from ground,megajoule,7.642048251797633
Water,Emissions / Emissions to water,cubic meter,5.090683931178936
Water to turbine,Resources / Resources from water,cubic meter,4.599914986568126
Radon-222,Emissions / Emissions to air,kilo Becquerel,4.551271042142346
Waste Heat,air,megajoule,4.175633474261992
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,4.043793042013331
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,3.1859035821199972
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,3.1195239012343534
Waste Heat,air,megajoule,2.813082948916149
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,1.7495900463987484
Sodium chloride,resources / in ground,kilogram,1.6293836124316996
Brown Coal,Resources / Resources from ground,megajoule,1.2904364352425004
Waste Heat,water,megajoule,1.1207443381216053
"Energy, Solar, Converted",natural resource,megajoule,1.114598559650807
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.94124807879199
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.7110376437467799
Chloride,Emissions / Emissions to water,kilogram,0.6343820066905485
Waste Heat,water,megajoule,0.6336809081482614
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.5458521731295952
Water To Cooling,Resources / Resources from water,cubic meter,0.38220773090047505
Sodium,water,kilogram,0.34227457830419117
Calcite,resources / in ground,kilogram,0.31789947124171464
Gravel,soil,kilogram,0.20129090364561195
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.1576407399822871
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.1444237698977652
"Water, salt, ocean",resources / in water,cubic meter,0.1396695908440616
Water,water,cubic meter,0.1388453566770072
