flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,231.07449321907
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,78.27213667687204
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,35.36171486795843
Waste Heat,air,megajoule,25.93932082861512
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,18.323646873204286
Natural Gas,Resources / Resources from ground,megajoule,7.2164563834193185
Crude Oil,Resources / Resources from ground,megajoule,6.069162599689971
Water,Emissions / Emissions to water,cubic meter,4.935628308355304
Water to turbine,Resources / Resources from water,cubic meter,4.825527780675912
"Forest, Intensive",Land use / Land occupation,square meter-year,4.109338238156112
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,3.4813054249818003
Waste Heat,air,megajoule,3.2762092381768833
Uranium,Resources / Resources from ground,megajoule,3.257717463874904
carbon dioxide (biogenic),Resources / Resources from air,kilogram,3.20423735409592
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,3.151175376744816
Waste Heat,water,megajoule,2.3848319169381145
Radon-222,Emissions / Emissions to air,kilo Becquerel,2.140008593995713
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,1.6489845821705005
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,1.3921355110712734
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.9857701805222308
Waste Heat,air,megajoule,0.9489366474275697
Hard Coal,Resources / Resources from ground,megajoule,0.904885475195624
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.7834607095668845
Gravel,soil,kilogram,0.7503616128629975
Brown Coal,Resources / Resources from ground,megajoule,0.7135104130525798
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.6654166171580125
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.6097332067452261
"Water, salt, ocean",resources / in water,cubic meter,0.5320428217731111
Water,water,cubic meter,0.5317584901348344
"Energy, Solar, Converted",natural resource,megajoule,0.2783878623508328
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.2649467942154073
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.2604119476234669
Calcite,resources / in ground,kilogram,0.17888953767189822
Kaolinite,soil,kilogram,0.15060673071546762
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.1494370531345647
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.14582912931954128
"To Arable, Non-irrigated",Land use / Land transformation,square meter,0.10032239338811105
"From Arable, Non-irrigated",Land use / Land transformation,square meter,0.09996911321464745
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.08603891627568382
Water To Cooling,Resources / Resources from water,cubic meter,0.06020919005809845
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,0.05993438140982132
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.059405282615981034
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.05462316552458254
Water,Resources / Resources from water,cubic meter,0.052951289491142
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0501209541737672
Sodium chloride,resources / in ground,kilogram,0.048131212531077924
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.04590907004453697
"To Forest, Intensive",Land use / Land transformation,square meter,0.044724703920885234
"From Forest, Intensive",Land use / Land transformation,square meter,0.04455723800729341
Platinum,air,kilogram,0.0399176575363859
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.03943098834128519
Waste Heat,soil,megajoule,0.03704167404796213
"Volume Occupied, Reservoir",land use,cubic meter-year,0.036729364216073056
Chemically polluted water,emissions to water / river,kilogram,0.03268912607530076
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.030759580688125163
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.025998103813460828
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.022440209310253277
calcium,Emissions / Emissions to water,kilogram,0.02165824985003055
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.02054551353441814
Chemical Oxygen Demand,water,kilogram,0.019519798808537762
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.015245441455757179
Forest,Land use / Land occupation,square meter-year,0.015186194375995984
Peat,Resources / Resources from ground,megajoule,0.014811746968711934
Iron,Resources / Resources from ground,kilogram,0.01466496417596213
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.012403494098591972
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.011786606142414318
